# event_ticker=KXATPMATCH-25JUL26MOUDE
# final_score=6-4 6-3
# match_winner=Alex de Minaur
# fav_player=Alex de Minaur
# dog_player=Corentin Moutet
# kalshi_date=2025-07-26
timestamp,Alex de Minaur,Corentin Moutet
2025-07-26T13:49:00Z,81.00,
2025-07-26T14:04:00Z,81.00,
2025-07-26T14:27:00Z,81.00,
2025-07-26T14:28:00Z,81.00,19.00
2025-07-26T14:30:00Z,81.00,19.00
2025-07-26T14:37:00Z,81.00,19.96
2025-07-26T15:15:00Z,81.00,20.00
2025-07-26T15:20:00Z,81.00,20.00
2025-07-26T15:41:00Z,81.00,20.00
2025-07-26T15:43:00Z,80.00,20.00
2025-07-26T15:49:00Z,80.00,20.00
2025-07-26T15:57:00Z,80.00,20.00
2025-07-26T16:00:00Z,80.00,20.00
2025-07-26T16:14:00Z,80.00,20.00
2025-07-26T16:17:00Z,80.00,20.00
2025-07-26T16:19:00Z,80.00,20.00
2025-07-26T16:24:00Z,80.00,20.00
2025-07-26T16:50:00Z,80.00,20.00
2025-07-26T17:05:00Z,80.00,20.00
2025-07-26T17:12:00Z,80.00,19.00
2025-07-26T17:13:00Z,80.00,19.00
2025-07-26T17:31:00Z,80.00,19.00
2025-07-26T17:33:00Z,81.00,19.00
2025-07-26T17:48:00Z,81.00,18.00
2025-07-26T17:59:00Z,81.00,18.00
2025-07-26T18:01:00Z,81.00,18.00
2025-07-26T18:14:00Z,82.00,19.00
2025-07-26T18:33:00Z,82.00,19.00
2025-07-26T18:37:00Z,82.00,18.00
2025-07-26T18:51:00Z,82.00,18.00
2025-07-26T19:24:00Z,82.00,18.00
2025-07-26T19:54:00Z,82.00,18.00
2025-07-26T19:56:00Z,82.00,18.00
2025-07-26T20:01:00Z,82.00,19.00
2025-07-26T20:17:00Z,82.00,19.00
2025-07-26T20:19:00Z,82.00,19.00
2025-07-26T20:26:00Z,83.00,19.00
2025-07-26T20:32:00Z,83.00,18.19
2025-07-26T20:34:00Z,83.00,18.00
2025-07-26T20:40:00Z,83.00,18.00
2025-07-26T20:49:00Z,83.00,18.00
2025-07-26T20:50:00Z,83.00,18.00
2025-07-26T20:55:00Z,83.00,18.00
2025-07-26T21:00:00Z,83.00,18.00
2025-07-26T21:01:00Z,83.00,18.00
2025-07-26T21:05:00Z,83.00,18.00
2025-07-26T21:07:00Z,83.00,18.00
2025-07-26T21:14:00Z,83.00,18.00
2025-07-26T21:16:00Z,83.00,18.00
2025-07-26T21:18:00Z,83.00,17.00
2025-07-26T21:23:00Z,83.00,17.00
2025-07-26T21:24:00Z,83.00,18.00
2025-07-26T21:25:00Z,83.00,18.00
2025-07-26T21:27:00Z,83.00,18.00
2025-07-26T21:28:00Z,83.00,18.00
2025-07-26T21:32:00Z,83.00,18.00
2025-07-26T21:35:00Z,83.00,18.00
2025-07-26T21:37:00Z,83.00,18.00
2025-07-26T21:42:00Z,83.00,18.00
2025-07-26T21:50:00Z,83.00,18.00
2025-07-26T21:53:00Z,83.00,18.00
2025-07-26T21:54:00Z,83.79,18.00
2025-07-26T21:55:00Z,83.79,17.00
2025-07-26T21:57:00Z,84.00,17.00
2025-07-26T21:58:00Z,84.00,17.00
2025-07-26T22:01:00Z,84.00,17.52
2025-07-26T22:03:00Z,84.00,17.97
2025-07-26T22:06:00Z,84.00,18.00
2025-07-26T22:08:00Z,84.00,18.00
2025-07-26T22:09:00Z,84.00,18.00
2025-07-26T22:10:00Z,84.00,18.69
2025-07-26T22:11:00Z,84.00,18.46
2025-07-26T22:12:00Z,83.00,18.46
2025-07-26T22:16:00Z,83.00,18.46
2025-07-26T22:22:00Z,83.00,16.00
2025-07-26T22:23:00Z,83.00,18.00
2025-07-26T22:28:00Z,83.00,18.00
2025-07-26T22:29:00Z,83.00,18.00
2025-07-26T22:30:00Z,83.00,18.00
2025-07-26T22:31:00Z,83.00,18.08
2025-07-26T22:41:00Z,83.00,19.00
2025-07-26T22:52:00Z,83.00,19.00
2025-07-26T23:00:00Z,83.00,18.00
2025-07-26T23:03:00Z,82.81,18.00
2025-07-26T23:11:00Z,82.81,18.00
2025-07-26T23:13:00Z,83.00,18.00
2025-07-26T23:14:00Z,83.00,18.00
2025-07-26T23:17:00Z,83.72,18.00
2025-07-26T23:19:00Z,83.72,17.00
2025-07-26T23:21:00Z,83.72,18.00
2025-07-26T23:24:00Z,83.72,18.00
2025-07-26T23:27:00Z,83.72,18.00
2025-07-26T23:34:00Z,84.11,18.00
2025-07-26T23:36:00Z,84.00,16.00
2025-07-26T23:39:00Z,84.00,17.27
2025-07-26T23:44:00Z,84.00,18.00
2025-07-26T23:46:00Z,84.00,18.00
2025-07-26T23:47:00Z,84.00,18.00
2025-07-26T23:48:00Z,84.00,18.00
2025-07-26T23:49:00Z,84.00,16.00
2025-07-26T23:50:00Z,84.00,18.00
2025-07-26T23:51:00Z,84.00,18.00
2025-07-26T23:52:00Z,84.00,18.00
2025-07-26T23:53:00Z,84.00,18.00
2025-07-26T23:54:00Z,84.00,17.00
2025-07-26T23:55:00Z,84.00,16.00
2025-07-26T23:57:00Z,85.00,17.00
2025-07-26T23:58:00Z,84.00,17.00
2025-07-26T23:59:00Z,84.00,17.00
2025-07-27T00:02:00Z,84.00,17.00
2025-07-27T00:05:00Z,84.00,16.00
2025-07-27T00:07:00Z,84.00,17.00
2025-07-27T00:08:00Z,84.00,17.00
2025-07-27T00:09:00Z,84.00,17.00
2025-07-27T00:10:00Z,84.00,17.00
2025-07-27T00:12:00Z,84.00,17.00
2025-07-27T00:14:00Z,85.00,18.00
2025-07-27T00:15:00Z,85.00,17.93
2025-07-27T00:16:00Z,86.00,17.06
2025-07-27T00:17:00Z,85.00,20.00
2025-07-27T00:18:00Z,85.00,19.00
2025-07-27T00:19:00Z,85.00,19.00
2025-07-27T00:20:00Z,85.00,16.56
2025-07-27T00:21:00Z,84.77,16.00
2025-07-27T00:22:00Z,84.77,18.00
2025-07-27T00:23:00Z,82.52,17.17
2025-07-27T00:24:00Z,85.00,18.67
2025-07-27T00:25:00Z,85.00,19.46
2025-07-27T00:26:00Z,85.00,20.00
2025-07-27T00:27:00Z,85.00,16.06
2025-07-27T00:28:00Z,85.00,17.81
2025-07-27T00:29:00Z,85.00,19.56
2025-07-27T00:30:00Z,85.00,18.86
2025-07-27T00:31:00Z,87.00,14.95
2025-07-27T00:32:00Z,87.00,18.13
2025-07-27T00:33:00Z,87.00,19.00
2025-07-27T00:35:00Z,79.93,19.88
2025-07-27T00:36:00Z,83.00,21.05
2025-07-27T00:37:00Z,83.00,19.00
2025-07-27T00:38:00Z,83.00,20.00
2025-07-27T00:39:00Z,83.67,15.00
2025-07-27T00:41:00Z,83.67,24.74
2025-07-27T00:42:00Z,81.58,24.60
2025-07-27T00:43:00Z,80.77,16.12
2025-07-27T00:44:00Z,78.41,23.38
