# event_ticker=KXATPCHALLENGERMATCH-26MAY13RONPDA
# final_score=6-0 7-6(2)
# score_resolution=6-0 7-6
# match_winner=Franco Roncadelli
# fav_player=Franco Roncadelli
# dog_player=Matheus Pucinelli de Almeida
# kalshi_date=2026-05-13
timestamp,Franco Roncadelli,Matheus Pucinelli de Almeida
2026-05-13T07:59:00Z,,56.00
2026-05-13T08:00:00Z,,56.50
2026-05-13T08:01:00Z,,58.00
2026-05-13T10:45:00Z,42.00,58.00
2026-05-13T12:10:00Z,42.00,61.00
2026-05-13T13:19:00Z,42.00,61.00
2026-05-13T13:20:00Z,42.00,61.00
2026-05-13T13:56:00Z,42.00,61.00
2026-05-13T14:11:00Z,42.00,61.00
2026-05-13T14:55:00Z,42.00,60.00
2026-05-13T15:06:00Z,41.00,60.00
2026-05-13T15:24:00Z,41.00,60.00
2026-05-13T15:42:00Z,41.00,60.00
2026-05-13T15:58:00Z,41.14,60.00
2026-05-13T16:06:00Z,41.14,60.00
2026-05-13T16:15:00Z,42.00,60.00
2026-05-13T16:29:00Z,42.00,60.00
2026-05-13T16:32:00Z,42.00,60.00
2026-05-13T17:09:00Z,42.00,60.00
2026-05-13T17:19:00Z,42.00,60.00
2026-05-13T17:22:00Z,42.00,60.00
2026-05-13T17:23:00Z,42.00,60.00
2026-05-13T17:25:00Z,42.00,60.00
2026-05-13T17:28:00Z,42.00,60.00
2026-05-13T17:32:00Z,42.00,60.00
2026-05-13T17:33:00Z,42.00,60.00
2026-05-13T17:35:00Z,42.00,60.00
2026-05-13T17:39:00Z,42.00,60.00
2026-05-13T17:40:00Z,42.00,60.00
2026-05-13T17:45:00Z,42.00,60.00
2026-05-13T17:46:00Z,40.39,60.56
2026-05-13T17:47:00Z,40.39,62.00
2026-05-13T17:49:00Z,40.00,62.00
2026-05-13T17:51:00Z,40.00,62.00
2026-05-13T17:52:00Z,40.00,62.00
2026-05-13T17:53:00Z,40.00,62.00
2026-05-13T17:54:00Z,40.00,62.00
2026-05-13T17:55:00Z,40.00,62.00
2026-05-13T17:56:00Z,40.00,62.00
2026-05-13T17:57:00Z,40.00,62.00
2026-05-13T17:58:00Z,40.00,62.00
2026-05-13T17:59:00Z,40.00,62.00
