# event_ticker=KXATPCHALLENGERMATCH-26APR30KUZGAD
# final_score=6-4 6-2
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Dimitar Kuzmanov
# kalshi_date=2026-04-30
timestamp,Dimitar Kuzmanov,Buvaysar Gadamauri
2026-04-29T20:55:00Z,56.00,
2026-04-29T22:49:00Z,57.00,
2026-04-29T23:08:00Z,57.00,
2026-04-29T23:32:00Z,56.00,
2026-04-30T03:22:00Z,57.00,
2026-04-30T04:22:00Z,58.00,
2026-04-30T04:25:00Z,58.00,44.00
2026-04-30T04:26:00Z,58.00,44.00
2026-04-30T04:36:00Z,58.00,44.00
2026-04-30T04:58:00Z,56.00,44.00
2026-04-30T05:02:00Z,57.00,44.00
2026-04-30T05:08:00Z,58.00,44.00
2026-04-30T05:09:00Z,58.00,44.00
2026-04-30T05:20:00Z,58.00,44.00
2026-04-30T05:21:00Z,58.00,44.00
2026-04-30T05:26:00Z,58.00,44.00
2026-04-30T05:27:00Z,58.00,44.00
2026-04-30T05:30:00Z,58.00,44.00
2026-04-30T05:31:00Z,58.00,43.00
2026-04-30T05:32:00Z,58.00,43.00
2026-04-30T05:34:00Z,58.00,43.00
2026-04-30T05:38:00Z,58.00,43.00
2026-04-30T05:43:00Z,58.00,43.00
2026-04-30T05:44:00Z,58.00,43.00
2026-04-30T05:46:00Z,58.00,43.00
2026-04-30T05:55:00Z,58.00,43.00
2026-04-30T06:04:00Z,58.00,43.00
2026-04-30T06:05:00Z,58.00,43.00
2026-04-30T06:06:00Z,58.00,43.00
2026-04-30T06:07:00Z,58.00,43.00
2026-04-30T06:08:00Z,58.00,43.00
2026-04-30T06:12:00Z,58.00,44.00
2026-04-30T06:15:00Z,58.18,44.00
2026-04-30T06:19:00Z,59.00,44.00
2026-04-30T06:20:00Z,59.00,44.95
2026-04-30T06:21:00Z,59.00,44.00
2026-04-30T06:22:00Z,59.00,44.00
2026-04-30T06:23:00Z,59.00,44.23
2026-04-30T06:25:00Z,59.00,44.97
2026-04-30T06:27:00Z,59.00,45.00
2026-04-30T06:28:00Z,59.00,45.00
2026-04-30T06:30:00Z,59.00,45.00
2026-04-30T06:35:00Z,59.00,45.00
2026-04-30T06:36:00Z,55.08,44.26
2026-04-30T06:38:00Z,58.00,44.26
2026-04-30T06:40:00Z,58.00,44.26
2026-04-30T06:41:00Z,58.00,44.26
2026-04-30T06:42:00Z,58.68,45.00
2026-04-30T06:43:00Z,59.46,45.00
2026-04-30T06:44:00Z,59.46,45.00
2026-04-30T06:45:00Z,59.00,45.00
2026-04-30T06:46:00Z,59.00,44.00
2026-04-30T06:47:00Z,59.00,44.00
2026-04-30T06:49:00Z,58.73,44.00
2026-04-30T06:50:00Z,56.00,44.00
2026-04-30T06:51:00Z,58.00,44.03
2026-04-30T06:52:00Z,58.91,44.03
2026-04-30T06:53:00Z,61.52,46.00
2026-04-30T06:54:00Z,61.00,46.00
2026-04-30T06:55:00Z,64.94,46.00
2026-04-30T06:56:00Z,77.50,42.67
2026-04-30T06:57:00Z,60.41,41.00
2026-04-30T06:58:00Z,55.61,44.34
2026-04-30T06:59:00Z,57.00,44.00
2026-04-30T07:00:00Z,57.75,44.05
2026-04-30T09:01:00Z,2.78,98.45
