# event_ticker=KXATPMATCH-25OCT03CERMAN
# final_score=7-6(3) 7-6(4)
# score_resolution=6-7 6-7
# match_winner=Francisco Cerundolo
# fav_player=Adrian Mannarino
# dog_player=Francisco Cerundolo
# kalshi_date=2025-10-03
timestamp,Adrian Mannarino,Francisco Cerundolo
2025-10-02T20:43:00Z,,50.00
2025-10-02T20:51:00Z,,50.00
2025-10-02T21:04:00Z,52.00,50.00
2025-10-02T21:35:00Z,52.00,50.00
2025-10-02T21:36:00Z,52.00,49.00
2025-10-02T22:04:00Z,52.00,49.00
2025-10-02T22:11:00Z,52.00,49.00
2025-10-02T22:33:00Z,52.00,49.00
2025-10-02T22:58:00Z,47.00,49.00
2025-10-02T23:02:00Z,47.00,49.00
2025-10-02T23:19:00Z,47.00,55.00
2025-10-02T23:50:00Z,48.00,55.00
2025-10-03T00:26:00Z,48.00,55.00
2025-10-03T01:00:00Z,48.00,53.00
2025-10-03T01:14:00Z,48.00,53.00
2025-10-03T01:19:00Z,48.00,53.00
2025-10-03T01:23:00Z,48.00,53.00
2025-10-03T01:26:00Z,48.00,53.00
2025-10-03T01:33:00Z,48.00,53.00
2025-10-03T01:34:00Z,48.00,53.00
2025-10-03T01:36:00Z,48.00,53.00
2025-10-03T01:38:00Z,48.00,53.00
2025-10-03T01:46:00Z,48.00,53.00
2025-10-03T02:00:00Z,48.00,53.00
2025-10-03T02:13:00Z,48.00,53.00
2025-10-03T02:22:00Z,48.00,53.00
2025-10-03T02:43:00Z,48.00,53.00
2025-10-03T02:45:00Z,48.73,53.00
2025-10-03T02:46:00Z,48.73,53.00
2025-10-03T02:56:00Z,48.73,52.00
2025-10-03T03:11:00Z,48.00,52.00
2025-10-03T03:12:00Z,48.00,52.00
2025-10-03T03:13:00Z,48.96,52.00
2025-10-03T03:25:00Z,50.00,52.00
2025-10-03T03:27:00Z,50.00,51.00
2025-10-03T03:30:00Z,50.00,51.00
2025-10-03T03:32:00Z,50.00,51.00
2025-10-03T03:36:00Z,50.00,51.00
2025-10-03T03:40:00Z,50.00,51.00
2025-10-03T03:41:00Z,50.00,51.00
2025-10-03T03:42:00Z,50.00,51.00
2025-10-03T03:44:00Z,49.00,51.00
2025-10-03T03:45:00Z,49.00,51.00
2025-10-03T03:46:00Z,49.00,51.00
2025-10-03T03:47:00Z,49.00,51.00
2025-10-03T03:48:00Z,49.00,51.00
2025-10-03T03:49:00Z,49.65,51.00
2025-10-03T03:50:00Z,50.00,51.00
2025-10-03T03:51:00Z,49.96,51.00
