# event_ticker=KXATPCHALLENGERMATCH-26MAR03GASGLI
# final_score=6-3 4-2 RET
# match_winner=Hugo Gaston
# fav_player=Hugo Gaston
# dog_player=Daniil Glinka
# kalshi_date=2026-03-03
timestamp,Hugo Gaston,Daniil Glinka
2026-03-03T07:36:00Z,,49.00
2026-03-03T11:01:00Z,63.00,49.00
2026-03-03T12:54:00Z,64.00,49.00
2026-03-03T12:55:00Z,64.00,37.00
2026-03-03T13:12:00Z,64.00,37.00
2026-03-03T13:58:00Z,63.00,37.00
2026-03-03T14:38:00Z,64.00,37.00
2026-03-03T14:49:00Z,64.00,39.00
2026-03-03T15:11:00Z,63.00,39.00
2026-03-03T15:20:00Z,63.00,39.00
2026-03-03T15:22:00Z,63.00,39.00
2026-03-03T15:45:00Z,64.36,39.00
2026-03-03T15:46:00Z,65.00,39.00
2026-03-03T15:53:00Z,65.00,39.00
2026-03-03T16:04:00Z,63.00,39.00
2026-03-03T16:10:00Z,63.00,39.00
2026-03-03T16:12:00Z,63.00,39.00
2026-03-03T16:14:00Z,63.71,39.00
2026-03-03T16:16:00Z,64.00,39.00
2026-03-03T16:17:00Z,64.00,39.00
2026-03-03T16:19:00Z,64.00,39.00
2026-03-03T16:21:00Z,64.00,39.00
2026-03-03T16:23:00Z,64.00,39.00
2026-03-03T16:24:00Z,64.00,38.00
2026-03-03T16:30:00Z,64.00,37.00
2026-03-03T16:31:00Z,64.00,37.00
2026-03-03T16:33:00Z,64.00,37.00
2026-03-03T16:34:00Z,64.00,38.00
2026-03-03T16:35:00Z,64.00,38.00
2026-03-03T16:36:00Z,64.00,38.00
2026-03-03T16:38:00Z,64.00,37.00
2026-03-03T16:39:00Z,64.00,37.00
2026-03-03T16:41:00Z,64.00,37.00
2026-03-03T16:46:00Z,63.00,37.00
2026-03-03T16:47:00Z,64.00,37.00
2026-03-03T16:48:00Z,64.00,37.00
2026-03-03T16:53:00Z,64.00,38.00
2026-03-03T16:56:00Z,64.00,38.00
2026-03-03T17:00:00Z,64.00,38.00
2026-03-03T17:01:00Z,64.00,38.00
2026-03-03T17:03:00Z,64.00,38.00
2026-03-03T17:06:00Z,64.00,38.00
2026-03-03T17:10:00Z,64.00,38.00
2026-03-03T17:12:00Z,64.00,37.00
2026-03-03T17:13:00Z,63.00,37.00
2026-03-03T17:14:00Z,64.00,37.00
2026-03-03T17:15:00Z,64.00,37.00
2026-03-03T17:16:00Z,63.00,38.00
2026-03-03T17:18:00Z,64.00,38.00
2026-03-03T17:19:00Z,64.00,38.00
2026-03-03T17:20:00Z,64.62,38.00
2026-03-03T17:21:00Z,65.00,38.00
2026-03-03T17:22:00Z,65.00,38.00
2026-03-03T17:23:00Z,63.86,35.63
2026-03-03T17:24:00Z,66.44,36.01
2026-03-03T17:25:00Z,62.21,38.19
2026-03-03T17:26:00Z,60.04,39.41
2026-03-03T17:27:00Z,64.69,39.41
2026-03-03T17:28:00Z,65.95,35.28
2026-03-03T17:29:00Z,68.06,31.34
2026-03-03T17:30:00Z,74.51,28.09
2026-03-03T17:31:00Z,78.71,20.18
2026-03-03T17:32:00Z,79.85,21.89
2026-03-03T17:33:00Z,78.33,22.89
2026-03-03T17:34:00Z,74.88,24.60
2026-03-03T17:35:00Z,74.82,26.94
2026-03-03T17:36:00Z,77.69,19.99
2026-03-03T17:37:00Z,81.49,19.45
2026-03-03T17:38:00Z,79.73,20.06
2026-03-03T17:39:00Z,81.24,21.72
2026-03-03T17:40:00Z,82.02,19.33
2026-03-03T17:41:00Z,83.09,17.10
2026-03-03T17:42:00Z,85.18,15.54
2026-03-03T17:43:00Z,85.53,14.92
2026-03-03T17:44:00Z,85.11,16.44
2026-03-03T17:45:00Z,82.62,18.48
2026-03-03T17:46:00Z,82.95,18.03
2026-03-03T17:47:00Z,80.74,18.85
2026-03-03T17:48:00Z,85.02,16.75
2026-03-03T17:49:00Z,87.00,14.44
2026-03-03T17:50:00Z,87.56,13.27
2026-03-03T17:51:00Z,86.43,15.55
2026-03-03T17:52:00Z,84.69,18.93
2026-03-03T17:53:00Z,79.79,19.75
2026-03-03T17:54:00Z,86.89,14.51
2026-03-03T17:55:00Z,86.60,14.00
2026-03-03T17:56:00Z,86.81,13.71
2026-03-03T17:57:00Z,87.16,13.07
2026-03-03T17:58:00Z,87.55,14.10
2026-03-03T17:59:00Z,88.82,10.94
2026-03-03T18:00:00Z,85.53,14.37
2026-03-03T18:01:00Z,86.22,15.58
2026-03-03T18:02:00Z,84.37,16.47
2026-03-03T18:03:00Z,86.19,14.20
2026-03-03T18:04:00Z,88.79,11.46
2026-03-03T18:05:00Z,91.83,9.27
2026-03-03T18:06:00Z,93.71,6.36
2026-03-03T18:07:00Z,92.84,7.52
2026-03-03T18:08:00Z,94.97,6.48
2026-03-03T18:09:00Z,95.23,5.78
2026-03-03T18:10:00Z,95.38,5.00
2026-03-03T18:11:00Z,96.69,3.60
2026-03-03T18:12:00Z,96.28,3.12
2026-03-03T18:13:00Z,97.74,3.42
2026-03-03T18:14:00Z,96.75,4.00
2026-03-03T18:15:00Z,96.02,3.49
2026-03-03T18:16:00Z,97.00,3.08
2026-03-03T18:17:00Z,98.56,1.28
2026-03-03T18:18:00Z,99.00,1.00
2026-03-03T18:19:00Z,99.00,1.00
2026-03-03T18:20:00Z,99.00,1.00
2026-03-03T18:21:00Z,99.00,1.00
2026-03-03T18:22:00Z,99.00,1.00
