# event_ticker=KXATPCHALLENGERMATCH-26MAR31DUTPRA
# final_score=6-4 7-6(6)
# score_resolution=4-6 6-7
# match_winner=Juan Carlos Prado Angelo
# fav_player=Daniel Dutra Da Silva
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-31
timestamp,Daniel Dutra Da Silva,Juan Carlos Prado Angelo
2026-03-31T10:06:00Z,27.00,73.00
2026-03-31T10:18:00Z,27.00,73.00
2026-03-31T10:32:00Z,27.00,73.00
2026-03-31T11:06:00Z,27.00,73.00
2026-03-31T12:00:00Z,27.00,72.00
2026-03-31T13:01:00Z,27.00,71.00
2026-03-31T13:24:00Z,27.00,72.00
2026-03-31T13:36:00Z,28.00,72.00
2026-03-31T13:39:00Z,28.00,69.03
2026-03-31T16:03:00Z,28.00,71.00
2026-03-31T17:53:00Z,28.00,72.00
2026-03-31T18:42:00Z,28.00,72.00
2026-03-31T19:16:00Z,28.00,72.00
2026-03-31T19:18:00Z,28.00,72.00
2026-03-31T19:27:00Z,28.00,70.00
2026-03-31T19:30:00Z,28.00,72.00
2026-03-31T19:53:00Z,28.00,72.00
2026-03-31T20:09:00Z,28.00,72.00
2026-03-31T20:31:00Z,28.00,72.00
2026-03-31T20:36:00Z,29.00,72.00
2026-03-31T20:58:00Z,29.17,72.00
2026-03-31T21:10:00Z,29.17,73.00
2026-03-31T21:13:00Z,30.00,73.00
2026-03-31T21:14:00Z,28.00,72.00
2026-03-31T21:16:00Z,28.00,73.00
2026-03-31T21:17:00Z,28.00,73.00
2026-03-31T21:21:00Z,28.00,72.00
2026-03-31T21:22:00Z,29.84,72.00
2026-03-31T21:29:00Z,29.84,72.00
2026-03-31T21:31:00Z,29.83,72.00
2026-03-31T21:35:00Z,29.00,73.00
2026-03-31T21:36:00Z,29.00,73.00
2026-03-31T21:37:00Z,29.00,73.00
2026-03-31T21:38:00Z,29.00,72.00
2026-03-31T21:39:00Z,29.00,72.00
2026-03-31T21:40:00Z,29.00,72.00
2026-03-31T21:41:00Z,29.00,72.58
2026-03-31T21:42:00Z,29.00,72.58
2026-03-31T21:43:00Z,29.74,72.00
2026-03-31T21:44:00Z,28.78,72.31
2026-03-31T21:45:00Z,31.89,71.01
2026-03-31T21:46:00Z,31.20,68.36
2026-03-31T21:47:00Z,32.66,67.95
2026-03-31T21:48:00Z,36.95,64.45
2026-03-31T21:49:00Z,35.81,67.39
2026-03-31T21:50:00Z,31.35,70.27
2026-03-31T21:51:00Z,34.93,67.92
2026-03-31T21:52:00Z,27.00,72.88
2026-03-31T21:53:00Z,27.57,74.55
2026-03-31T21:54:00Z,24.35,75.99
2026-03-31T21:55:00Z,25.11,76.41
2026-03-31T21:56:00Z,29.27,73.00
2026-03-31T21:57:00Z,27.01,74.00
2026-03-31T21:58:00Z,27.14,72.14
2026-03-31T21:59:00Z,23.90,76.07
2026-03-31T22:00:00Z,20.22,80.48
2026-03-31T22:01:00Z,17.64,82.00
2026-03-31T22:02:00Z,17.00,84.18
2026-03-31T22:03:00Z,14.21,85.91
2026-03-31T22:04:00Z,13.70,88.00
2026-03-31T22:05:00Z,12.63,87.42
2026-03-31T22:06:00Z,15.85,84.00
2026-03-31T22:07:00Z,16.99,84.00
2026-03-31T22:08:00Z,16.69,84.00
2026-03-31T22:09:00Z,15.73,83.18
2026-03-31T22:10:00Z,14.20,87.01
2026-03-31T22:11:00Z,11.99,88.94
2026-03-31T22:12:00Z,13.12,88.94
2026-03-31T22:13:00Z,16.00,85.00
2026-03-31T22:14:00Z,15.40,84.04
2026-03-31T22:15:00Z,16.42,84.00
2026-03-31T22:16:00Z,15.39,84.93
2026-03-31T22:17:00Z,14.00,85.25
2026-03-31T22:18:00Z,19.59,79.71
2026-03-31T22:19:00Z,24.00,78.41
2026-03-31T22:20:00Z,17.50,82.85
2026-03-31T22:21:00Z,17.45,85.00
2026-03-31T22:22:00Z,18.29,82.08
2026-03-31T22:23:00Z,16.33,84.33
2026-03-31T22:24:00Z,15.17,85.33
2026-03-31T22:25:00Z,16.73,82.39
