# event_ticker=KXATPCHALLENGERMATCH-26APR21COPROM
# final_score=6-1 6-0
# match_winner=Filippo Romano
# fav_player=Filippo Romano
# dog_player=Kimmer Coppejans
# kalshi_date=2026-04-21
timestamp,Kimmer Coppejans,Filippo Romano
2026-04-21T01:50:00Z,67.00,
2026-04-21T02:06:00Z,67.00,
2026-04-21T04:32:00Z,68.00,
2026-04-21T06:03:00Z,68.00,32.00
2026-04-21T06:16:00Z,68.00,32.00
2026-04-21T06:40:00Z,68.00,32.00
2026-04-21T07:56:00Z,68.00,32.00
2026-04-21T08:18:00Z,69.00,32.00
2026-04-21T08:31:00Z,69.00,32.00
2026-04-21T09:02:00Z,69.00,32.00
2026-04-21T09:13:00Z,69.00,33.91
2026-04-21T09:27:00Z,69.00,33.91
2026-04-21T09:36:00Z,69.00,33.91
2026-04-21T09:38:00Z,69.00,33.91
2026-04-21T09:42:00Z,69.00,31.00
2026-04-21T09:43:00Z,66.98,33.93
2026-04-21T09:44:00Z,65.00,36.00
2026-04-21T09:45:00Z,64.00,36.00
2026-04-21T09:46:00Z,64.00,35.00
2026-04-21T09:47:00Z,63.00,36.00
2026-04-21T09:48:00Z,57.35,41.00
2026-04-21T09:49:00Z,57.35,43.63
2026-04-21T09:50:00Z,53.67,46.07
2026-04-21T09:51:00Z,48.45,53.40
2026-04-21T09:52:00Z,46.50,53.00
2026-04-21T09:53:00Z,51.05,53.00
2026-04-21T09:54:00Z,55.09,53.00
2026-04-21T09:55:00Z,55.09,50.00
2026-04-21T09:56:00Z,52.55,47.14
2026-04-21T09:57:00Z,52.55,49.20
2026-04-21T09:58:00Z,47.00,54.00
2026-04-21T09:59:00Z,47.48,51.00
2026-04-21T10:00:00Z,47.48,50.00
2026-04-21T10:01:00Z,49.15,53.00
2026-04-21T10:02:00Z,44.00,53.00
2026-04-21T10:03:00Z,44.00,57.00
2026-04-21T10:04:00Z,39.00,61.00
2026-04-21T10:05:00Z,36.00,61.00
2026-04-21T10:06:00Z,34.02,65.00
2026-04-21T10:08:00Z,34.02,67.00
2026-04-21T10:10:00Z,33.00,67.00
2026-04-21T10:11:00Z,33.00,66.00
2026-04-21T10:12:00Z,33.00,66.25
2026-04-21T10:13:00Z,33.00,65.91
2026-04-21T10:16:00Z,37.00,65.91
2026-04-21T10:17:00Z,40.00,65.91
2026-04-21T10:18:00Z,40.00,65.91
2026-04-21T10:19:00Z,40.00,61.00
2026-04-21T10:20:00Z,38.00,62.14
2026-04-21T10:21:00Z,35.00,63.60
2026-04-21T10:22:00Z,35.00,65.03
2026-04-21T10:23:00Z,35.00,66.00
2026-04-21T10:24:00Z,29.09,67.79
2026-04-21T10:25:00Z,29.09,72.00
2026-04-21T10:26:00Z,30.00,78.00
2026-04-21T10:27:00Z,24.06,72.00
2026-04-21T10:28:00Z,20.18,72.00
2026-04-21T10:29:00Z,20.18,82.00
2026-04-21T10:30:00Z,18.02,77.00
2026-04-21T10:31:00Z,18.00,82.00
2026-04-21T10:32:00Z,16.74,84.00
2026-04-21T10:33:00Z,15.67,87.73
2026-04-21T10:34:00Z,10.00,89.67
2026-04-21T10:35:00Z,6.99,94.76
2026-04-21T10:36:00Z,5.00,95.99
2026-04-21T10:37:00Z,4.00,97.66
2026-04-21T10:38:00Z,2.75,96.78
2026-04-21T10:39:00Z,2.05,98.00
2026-04-21T10:40:00Z,2.00,98.09
2026-04-21T10:41:00Z,2.00,99.00
2026-04-21T10:42:00Z,1.37,99.00
2026-04-21T10:43:00Z,1.00,99.00
2026-04-21T10:44:00Z,1.00,99.00
2026-04-21T10:45:00Z,1.00,99.00
2026-04-21T10:46:00Z,1.00,99.00
2026-04-21T10:47:00Z,1.00,99.00
2026-04-21T10:49:00Z,1.00,99.00
2026-04-21T10:50:00Z,1.00,99.00
