# event_ticker=KXATPCHALLENGERMATCH-26MAY05ABOSAK
# final_score=7-6(2) 7-6(7)
# score_resolution=6-7 6-7
# match_winner=Valerio Aboian
# fav_player=Pedro Sakamoto
# dog_player=Valerio Aboian
# kalshi_date=2026-05-05
timestamp,Valerio Aboian,Pedro Sakamoto
2026-05-05T20:50:00Z,47.44,54.35
2026-05-05T20:51:00Z,47.71,53.22
2026-05-05T20:52:00Z,55.53,46.74
2026-05-05T20:53:00Z,55.85,45.99
2026-05-05T20:54:00Z,52.03,49.59
2026-05-05T20:55:00Z,49.49,51.94
2026-05-05T20:56:00Z,46.13,54.13
2026-05-05T20:57:00Z,43.74,60.75
2026-05-05T20:58:00Z,41.02,60.84
2026-05-05T20:59:00Z,45.45,60.19
2026-05-05T21:00:00Z,33.88,67.77
2026-05-05T21:01:00Z,33.00,68.15
2026-05-05T21:02:00Z,36.17,68.27
2026-05-05T21:03:00Z,31.69,67.20
2026-05-05T21:04:00Z,37.40,64.13
2026-05-05T21:05:00Z,41.49,60.07
2026-05-05T21:06:00Z,47.40,53.52
2026-05-05T21:07:00Z,51.44,48.82
2026-05-05T21:08:00Z,47.37,53.75
2026-05-05T21:09:00Z,50.75,50.21
2026-05-05T21:10:00Z,54.43,46.89
2026-05-05T21:11:00Z,54.11,49.41
2026-05-05T21:12:00Z,54.16,47.09
2026-05-05T21:13:00Z,57.69,42.61
2026-05-05T21:14:00Z,53.77,47.86
2026-05-05T21:15:00Z,48.71,51.73
2026-05-05T21:16:00Z,44.24,56.46
2026-05-05T21:17:00Z,45.23,54.52
2026-05-05T21:18:00Z,41.50,60.24
2026-05-05T21:19:00Z,45.86,54.21
2026-05-05T21:20:00Z,48.65,51.29
2026-05-05T21:21:00Z,51.88,49.83
2026-05-05T21:22:00Z,48.40,51.87
2026-05-05T21:23:00Z,49.38,52.52
2026-05-05T21:24:00Z,46.55,54.94
2026-05-05T21:25:00Z,49.90,52.22
2026-05-05T21:26:00Z,52.41,49.53
2026-05-05T21:27:00Z,53.63,46.81
2026-05-05T21:28:00Z,53.75,46.97
2026-05-05T21:29:00Z,52.43,49.99
2026-05-05T21:30:00Z,45.51,54.77
2026-05-05T21:31:00Z,39.35,61.60
2026-05-05T21:32:00Z,35.01,66.35
2026-05-05T21:33:00Z,41.66,58.14
2026-05-05T21:34:00Z,55.24,49.49
2026-05-05T21:35:00Z,61.29,37.75
2026-05-05T21:36:00Z,68.85,29.80
2026-05-05T21:37:00Z,70.57,29.36
2026-05-05T21:38:00Z,69.21,31.66
2026-05-05T21:39:00Z,68.45,33.53
2026-05-05T21:40:00Z,67.91,34.06
2026-05-05T21:41:00Z,66.01,34.90
2026-05-05T21:42:00Z,66.76,35.60
2026-05-05T21:43:00Z,73.07,31.03
2026-05-05T21:44:00Z,75.52,24.08
2026-05-05T21:45:00Z,71.62,31.50
2026-05-05T21:46:00Z,66.10,34.80
2026-05-05T21:47:00Z,64.11,36.93
2026-05-05T21:48:00Z,64.80,37.50
2026-05-05T21:49:00Z,66.92,32.89
2026-05-05T21:50:00Z,69.45,32.30
2026-05-05T21:51:00Z,68.86,32.26
2026-05-05T21:52:00Z,68.14,34.87
