# event_ticker=KXATPCHALLENGERMATCH-26MAR21RONVAR
# final_score=4-6 6-2 6-2
# match_winner=Franco Roncadelli
# fav_player=Franco Roncadelli
# dog_player=Juan Pablo Varillas
# kalshi_date=2026-03-21
timestamp,Franco Roncadelli,Juan Pablo Varillas
2026-03-21T14:27:00Z,,66.00
2026-03-21T14:36:00Z,34.00,66.00
2026-03-21T14:49:00Z,34.00,68.00
2026-03-21T15:07:00Z,34.00,68.00
2026-03-21T15:22:00Z,34.00,68.00
2026-03-21T15:26:00Z,34.00,68.00
2026-03-21T16:23:00Z,34.00,67.00
2026-03-21T18:30:00Z,34.00,67.00
2026-03-21T20:56:00Z,34.00,67.00
2026-03-21T21:00:00Z,34.00,67.00
2026-03-21T21:02:00Z,34.00,67.00
2026-03-21T22:07:00Z,34.00,67.00
2026-03-21T22:21:00Z,34.00,67.00
2026-03-21T22:32:00Z,34.00,67.00
2026-03-21T22:40:00Z,34.00,67.00
2026-03-21T22:47:00Z,34.00,65.00
2026-03-21T22:48:00Z,34.00,67.00
2026-03-21T22:49:00Z,34.00,67.00
2026-03-21T22:54:00Z,34.00,67.00
2026-03-21T22:55:00Z,34.00,67.00
2026-03-21T22:57:00Z,35.13,67.00
2026-03-21T23:25:00Z,35.13,66.97
2026-03-21T23:41:00Z,35.46,64.07
2026-03-21T23:55:00Z,35.46,67.00
2026-03-21T23:56:00Z,36.00,66.86
2026-03-22T00:03:00Z,37.01,62.65
2026-03-22T00:04:00Z,37.00,62.65
2026-03-22T00:05:00Z,40.88,61.00
2026-03-22T00:06:00Z,41.00,62.00
2026-03-22T00:07:00Z,36.60,62.00
2026-03-22T00:08:00Z,33.45,67.00
2026-03-22T00:09:00Z,30.69,69.98
2026-03-22T00:10:00Z,35.98,65.68
2026-03-22T00:11:00Z,40.00,61.00
2026-03-22T00:12:00Z,40.00,61.00
2026-03-22T00:13:00Z,39.40,62.05
2026-03-22T00:14:00Z,39.00,59.05
2026-03-22T00:15:00Z,39.00,62.00
2026-03-22T00:16:00Z,38.48,62.00
2026-03-22T00:18:00Z,33.48,70.74
2026-03-22T00:19:00Z,31.00,74.75
2026-03-22T00:20:00Z,32.86,74.75
2026-03-22T00:21:00Z,33.44,68.21
2026-03-22T00:22:00Z,37.00,68.21
2026-03-22T00:23:00Z,37.86,68.21
2026-03-22T00:24:00Z,37.86,59.00
2026-03-22T00:26:00Z,42.00,57.66
2026-03-22T00:27:00Z,46.54,57.79
2026-03-22T00:28:00Z,40.00,62.00
2026-03-22T00:29:00Z,38.38,61.00
2026-03-22T00:30:00Z,36.00,64.00
2026-03-22T00:31:00Z,35.00,64.00
2026-03-22T00:32:00Z,33.00,67.12
2026-03-22T00:33:00Z,35.08,67.12
2026-03-22T00:34:00Z,35.08,67.78
2026-03-22T00:35:00Z,38.82,63.09
2026-03-22T00:36:00Z,42.10,60.96
2026-03-22T00:37:00Z,43.00,59.91
2026-03-22T00:38:00Z,43.05,57.37
2026-03-22T00:39:00Z,44.96,53.39
2026-03-22T00:40:00Z,53.44,48.20
2026-03-22T00:41:00Z,53.30,51.14
2026-03-22T00:42:00Z,41.34,58.97
2026-03-22T00:43:00Z,40.77,65.36
2026-03-22T00:44:00Z,42.70,58.00
2026-03-22T00:45:00Z,38.98,62.04
2026-03-22T00:46:00Z,33.99,67.99
