# event_ticker=KXATPMATCH-25JUL30YUNSON
# final_score=6-1 6-4
# match_winner=Lorenzo Sonego
# fav_player=Lorenzo Sonego
# dog_player=Yunchaokete Bu
# kalshi_date=2025-07-30
timestamp,Lorenzo Sonego,Yunchaokete Bu
2025-07-30T12:06:00Z,,47.00
2025-07-30T12:07:00Z,,47.00
2025-07-30T12:22:00Z,,47.00
2025-07-30T12:30:00Z,,47.00
2025-07-30T13:02:00Z,52.50,47.00
2025-07-30T13:04:00Z,52.00,47.00
2025-07-30T13:16:00Z,53.00,47.00
2025-07-30T13:28:00Z,53.00,47.00
2025-07-30T13:44:00Z,53.00,47.00
2025-07-30T13:48:00Z,53.00,47.00
2025-07-30T14:00:00Z,53.00,47.00
2025-07-30T14:02:00Z,53.00,47.00
2025-07-30T14:05:00Z,53.00,47.00
2025-07-30T14:12:00Z,53.00,47.00
2025-07-30T14:30:00Z,54.00,47.00
2025-07-30T14:42:00Z,55.00,47.00
2025-07-30T14:53:00Z,55.00,46.00
2025-07-30T15:14:00Z,54.00,46.00
2025-07-30T15:32:00Z,54.00,46.00
2025-07-30T15:35:00Z,54.00,46.97
2025-07-30T15:40:00Z,54.00,46.97
2025-07-30T15:45:00Z,54.00,43.00
2025-07-30T15:52:00Z,53.00,43.00
2025-07-30T15:53:00Z,53.00,43.00
2025-07-30T15:56:00Z,53.00,43.00
2025-07-30T15:57:00Z,53.00,43.00
2025-07-30T16:01:00Z,53.00,43.00
2025-07-30T16:09:00Z,53.00,43.00
2025-07-30T16:10:00Z,53.00,47.00
2025-07-30T16:14:00Z,53.00,47.00
2025-07-30T18:16:00Z,79.72,42.01
