# event_ticker=KXATPCHALLENGERMATCH-26MAY09MIGCAS
# final_score=6-3 6-4
# match_winner=Hernan Casanova
# fav_player=Hernan Casanova
# dog_player=Luis Guto Miguel
# kalshi_date=2026-05-09
timestamp,Luis Guto Miguel,Hernan Casanova
2026-05-09T04:18:00Z,45.00,
2026-05-09T05:02:00Z,45.00,57.00
2026-05-09T05:09:00Z,44.00,57.00
2026-05-09T05:30:00Z,44.00,57.00
2026-05-09T06:02:00Z,44.00,57.00
2026-05-09T06:19:00Z,44.00,57.00
2026-05-09T06:49:00Z,44.00,57.00
2026-05-09T07:52:00Z,44.00,57.22
2026-05-09T07:59:00Z,44.00,58.00
2026-05-09T08:55:00Z,43.00,58.00
2026-05-09T10:22:00Z,43.00,57.00
2026-05-09T12:11:00Z,44.00,57.00
2026-05-09T12:37:00Z,44.00,58.00
2026-05-09T13:02:00Z,43.00,58.00
2026-05-09T13:07:00Z,43.00,58.00
2026-05-09T13:08:00Z,43.00,58.00
2026-05-09T13:14:00Z,43.00,58.00
2026-05-09T13:49:00Z,43.00,58.00
2026-05-09T14:07:00Z,43.00,58.00
2026-05-09T14:15:00Z,43.00,58.00
2026-05-09T14:26:00Z,43.00,58.00
2026-05-09T14:27:00Z,43.00,58.00
2026-05-09T14:31:00Z,43.00,58.00
2026-05-09T14:35:00Z,43.00,57.00
2026-05-09T14:36:00Z,43.00,57.00
2026-05-09T14:38:00Z,45.00,57.00
2026-05-09T14:41:00Z,45.00,57.00
2026-05-09T14:46:00Z,45.00,57.00
2026-05-09T14:51:00Z,45.57,57.00
2026-05-09T14:54:00Z,46.00,57.00
2026-05-09T14:56:00Z,46.00,57.00
2026-05-09T14:59:00Z,46.00,57.00
2026-05-09T15:00:00Z,46.00,57.00
2026-05-09T15:05:00Z,46.00,57.00
2026-05-09T15:06:00Z,46.00,56.14
2026-05-09T15:07:00Z,46.20,56.00
2026-05-09T15:08:00Z,46.20,56.00
2026-05-09T15:11:00Z,46.20,56.00
2026-05-09T15:12:00Z,46.20,54.46
2026-05-09T15:13:00Z,45.00,55.72
2026-05-09T15:14:00Z,44.69,56.51
2026-05-09T15:15:00Z,42.67,58.49
