# event_ticker=KXATPCHALLENGERMATCH-26MAR23ABOJOH
# final_score=6-2 5-7 6-4
# match_winner=Garrett Johns
# fav_player=Garrett Johns
# dog_player=Valerio Aboian
# kalshi_date=2026-03-23
timestamp,Garrett Johns,Valerio Aboian
2026-03-23T09:09:00Z,58.00,44.00
2026-03-23T09:55:00Z,58.00,49.00
2026-03-23T09:56:00Z,60.00,49.00
2026-03-23T11:04:00Z,60.00,46.00
2026-03-23T11:23:00Z,59.00,46.00
2026-03-23T11:24:00Z,59.00,46.00
2026-03-23T11:25:00Z,59.00,46.00
2026-03-23T11:27:00Z,59.00,46.00
2026-03-23T11:28:00Z,59.00,46.00
2026-03-23T11:29:00Z,59.00,46.00
2026-03-23T11:31:00Z,59.00,46.00
2026-03-23T11:33:00Z,59.00,46.00
2026-03-23T11:35:00Z,59.00,46.00
2026-03-23T11:37:00Z,59.00,46.00
2026-03-23T11:40:00Z,59.00,46.00
2026-03-23T11:42:00Z,59.00,46.00
2026-03-23T11:44:00Z,59.00,46.00
2026-03-23T11:46:00Z,59.00,46.00
2026-03-23T11:48:00Z,59.00,46.00
2026-03-23T11:50:00Z,59.00,46.00
2026-03-23T11:52:00Z,59.00,46.77
2026-03-23T11:53:00Z,59.00,46.05
2026-03-23T12:14:00Z,59.00,49.55
2026-03-23T12:59:00Z,50.00,49.55
2026-03-23T13:43:00Z,50.00,49.55
2026-03-23T14:22:00Z,51.00,49.55
2026-03-23T14:27:00Z,51.00,52.00
2026-03-23T14:41:00Z,51.00,52.00
2026-03-23T14:51:00Z,51.00,50.00
2026-03-23T15:20:00Z,50.00,50.00
2026-03-23T17:05:00Z,50.00,52.00
2026-03-23T17:51:00Z,48.00,52.00
2026-03-23T17:52:00Z,48.00,52.00
2026-03-23T18:00:00Z,48.00,51.00
2026-03-23T18:02:00Z,50.00,52.16
2026-03-23T18:03:00Z,50.77,52.16
2026-03-23T18:04:00Z,51.00,52.16
2026-03-23T18:09:00Z,51.00,52.78
2026-03-23T18:11:00Z,51.00,52.98
2026-03-23T18:14:00Z,51.00,52.98
2026-03-23T18:15:00Z,51.90,50.00
2026-03-23T18:17:00Z,51.29,50.22
2026-03-23T18:20:00Z,54.00,49.36
2026-03-23T18:21:00Z,54.00,49.36
2026-03-23T18:22:00Z,54.00,46.36
2026-03-23T18:23:00Z,58.00,45.00
2026-03-23T18:24:00Z,59.00,45.00
2026-03-23T18:25:00Z,58.63,43.00
2026-03-23T18:26:00Z,61.00,39.46
2026-03-23T18:27:00Z,63.65,43.88
2026-03-23T18:28:00Z,67.96,38.92
2026-03-23T18:29:00Z,68.21,43.88
2026-03-23T18:30:00Z,68.40,39.40
2026-03-23T18:31:00Z,61.59,40.58
2026-03-23T18:32:00Z,58.89,42.68
2026-03-23T18:33:00Z,56.87,45.64
2026-03-23T18:34:00Z,56.05,43.60
2026-03-23T18:35:00Z,62.71,35.10
2026-03-23T18:36:00Z,68.32,36.02
2026-03-23T18:37:00Z,70.52,29.14
