# event_ticker=KXATPCHALLENGERMATCH-26MAR31RIBDEL
# final_score=4-6 6-1 6-2
# score_resolution=6-4 1-6 2-6
# match_winner=Hugo Dellien
# fav_player=Eduardo Ribeiro
# dog_player=Hugo Dellien
# kalshi_date=2026-03-31
timestamp,Eduardo Ribeiro,Hugo Dellien
2026-03-31T03:38:00Z,,70.00
2026-03-31T05:46:00Z,25.00,70.00
2026-03-31T06:04:00Z,25.00,76.00
2026-03-31T07:01:00Z,25.00,76.00
2026-03-31T07:51:00Z,25.00,71.00
2026-03-31T07:53:00Z,25.00,71.00
2026-03-31T10:17:00Z,25.00,71.32
2026-03-31T10:33:00Z,25.00,72.00
2026-03-31T11:06:00Z,25.00,72.00
2026-03-31T11:51:00Z,25.00,72.00
2026-03-31T12:00:00Z,29.00,72.00
2026-03-31T12:11:00Z,28.00,72.00
2026-03-31T12:31:00Z,28.00,72.00
2026-03-31T12:34:00Z,28.00,72.00
2026-03-31T12:43:00Z,28.00,72.00
2026-03-31T12:48:00Z,28.00,72.00
2026-03-31T12:59:00Z,29.00,72.00
2026-03-31T13:07:00Z,29.00,72.00
2026-03-31T13:08:00Z,29.00,72.00
2026-03-31T13:21:00Z,29.00,72.00
2026-03-31T13:23:00Z,29.00,72.00
2026-03-31T13:24:00Z,29.00,72.00
2026-03-31T13:25:00Z,29.00,72.00
2026-03-31T13:27:00Z,29.00,73.00
2026-03-31T13:31:00Z,30.00,73.00
2026-03-31T13:32:00Z,28.00,75.00
2026-03-31T13:36:00Z,24.77,78.22
2026-03-31T13:37:00Z,34.63,77.24
2026-03-31T13:38:00Z,40.57,74.96
2026-03-31T13:39:00Z,38.56,72.27
2026-03-31T13:40:00Z,29.58,72.99
2026-03-31T13:41:00Z,26.00,75.59
2026-03-31T13:42:00Z,25.23,76.17
2026-03-31T13:43:00Z,23.37,76.96
2026-03-31T13:44:00Z,22.99,77.84
2026-03-31T13:45:00Z,23.02,77.84
2026-03-31T13:46:00Z,23.00,77.75
2026-03-31T13:47:00Z,23.91,75.37
2026-03-31T13:48:00Z,27.34,73.99
2026-03-31T13:49:00Z,29.25,73.88
2026-03-31T13:50:00Z,31.00,72.38
2026-03-31T13:51:00Z,27.78,73.27
2026-03-31T13:52:00Z,27.00,75.00
2026-03-31T13:53:00Z,25.77,75.00
2026-03-31T13:54:00Z,25.11,72.25
2026-03-31T13:55:00Z,29.93,72.25
2026-03-31T13:56:00Z,34.79,70.74
2026-03-31T13:57:00Z,33.05,67.63
2026-03-31T13:58:00Z,39.52,60.23
2026-03-31T13:59:00Z,46.80,53.00
2026-03-31T14:00:00Z,46.48,55.33
2026-03-31T14:01:00Z,43.83,59.98
2026-03-31T14:02:00Z,45.72,55.67
2026-03-31T14:03:00Z,50.47,50.15
2026-03-31T14:04:00Z,52.00,47.16
2026-03-31T14:05:00Z,48.35,49.25
2026-03-31T14:06:00Z,49.82,49.63
2026-03-31T14:07:00Z,54.04,46.94
2026-03-31T14:08:00Z,49.52,48.90
2026-03-31T14:09:00Z,52.55,51.05
2026-03-31T14:10:00Z,55.77,45.77
2026-03-31T14:11:00Z,59.78,41.84
2026-03-31T14:12:00Z,61.03,41.51
2026-03-31T14:13:00Z,63.83,39.68
2026-03-31T14:14:00Z,61.81,38.38
2026-03-31T14:15:00Z,59.96,40.76
2026-03-31T14:16:00Z,59.96,41.42
2026-03-31T14:17:00Z,62.97,39.52
2026-03-31T14:18:00Z,65.54,36.35
2026-03-31T14:19:00Z,65.83,34.91
2026-03-31T14:20:00Z,61.67,39.50
2026-03-31T14:21:00Z,51.97,47.63
2026-03-31T14:22:00Z,49.13,51.27
2026-03-31T14:23:00Z,51.95,52.81
2026-03-31T14:24:00Z,51.80,45.94
