# event_ticker=KXATPCHALLENGERMATCH-26MAR26COUVAS
# final_score=6-3 6-2
# match_winner=Alexander Vasilev
# fav_player=Alexander Vasilev
# dog_player=Eliakim Coulibaly
# kalshi_date=2026-03-26
timestamp,Alexander Vasilev,Eliakim Coulibaly
2026-03-27T00:13:00Z,56.00,46.00
2026-03-27T00:19:00Z,52.00,46.00
2026-03-27T00:32:00Z,60.00,46.00
2026-03-27T00:47:00Z,50.00,46.00
2026-03-27T01:24:00Z,50.00,41.65
2026-03-27T01:27:00Z,50.00,41.00
2026-03-27T01:28:00Z,58.93,34.67
2026-03-27T01:29:00Z,58.93,32.11
2026-03-27T01:30:00Z,63.78,31.98
2026-03-27T01:32:00Z,63.78,35.21
2026-03-27T01:34:00Z,63.78,38.00
2026-03-27T01:37:00Z,62.00,38.00
2026-03-27T01:53:00Z,62.00,46.01
2026-03-27T01:54:00Z,63.00,40.90
2026-03-27T02:01:00Z,61.00,40.90
2026-03-27T02:03:00Z,61.00,41.00
2026-03-27T02:12:00Z,61.00,41.00
2026-03-27T02:22:00Z,61.00,41.00
2026-03-27T02:23:00Z,61.00,35.00
2026-03-27T02:27:00Z,61.00,35.00
2026-03-27T02:28:00Z,61.00,53.00
2026-03-27T02:36:00Z,61.00,35.00
2026-03-27T03:10:00Z,63.00,39.00
2026-03-27T03:11:00Z,63.00,39.00
2026-03-27T03:32:00Z,63.00,39.83
2026-03-27T03:40:00Z,63.00,39.00
2026-03-27T03:44:00Z,63.00,39.00
2026-03-27T03:46:00Z,60.00,39.00
2026-03-27T03:47:00Z,60.00,39.00
2026-03-27T03:48:00Z,60.00,41.57
2026-03-27T03:50:00Z,60.00,45.00
2026-03-27T03:51:00Z,60.00,41.32
2026-03-27T03:55:00Z,56.00,46.00
2026-03-27T03:58:00Z,56.00,41.00
2026-03-27T04:01:00Z,56.00,37.00
2026-03-27T04:05:00Z,56.00,43.00
2026-03-27T04:08:00Z,56.00,43.00
2026-03-27T04:13:00Z,56.00,43.00
2026-03-27T04:14:00Z,56.00,40.00
2026-03-27T04:23:00Z,56.00,43.00
2026-03-27T04:35:00Z,61.61,43.00
2026-03-27T04:42:00Z,62.00,43.00
2026-03-27T04:46:00Z,62.38,43.00
2026-03-27T04:51:00Z,62.38,40.00
2026-03-27T04:59:00Z,62.38,40.61
2026-03-27T05:00:00Z,64.00,40.61
2026-03-27T05:02:00Z,64.00,41.00
2026-03-27T05:04:00Z,64.00,41.00
2026-03-27T05:09:00Z,64.00,42.00
2026-03-27T05:10:00Z,63.00,39.00
2026-03-27T05:11:00Z,63.00,39.00
2026-03-27T05:12:00Z,63.00,42.00
2026-03-27T05:13:00Z,62.00,40.00
2026-03-27T05:16:00Z,60.00,42.44
2026-03-27T05:20:00Z,61.00,43.88
2026-03-27T05:21:00Z,61.00,44.77
2026-03-27T05:24:00Z,62.00,40.00
2026-03-27T05:25:00Z,62.00,43.00
2026-03-27T05:26:00Z,62.07,43.00
2026-03-27T05:27:00Z,62.94,39.25
2026-03-27T05:29:00Z,63.00,39.00
2026-03-27T05:30:00Z,63.00,39.00
2026-03-27T05:32:00Z,63.00,42.29
2026-03-27T05:33:00Z,63.00,43.00
2026-03-27T05:36:00Z,62.00,43.00
2026-03-27T05:37:00Z,62.00,43.00
2026-03-27T05:38:00Z,58.60,43.00
2026-03-27T05:39:00Z,58.60,43.00
2026-03-27T05:43:00Z,62.00,43.00
2026-03-27T05:44:00Z,62.00,43.00
2026-03-27T05:46:00Z,62.00,43.00
2026-03-27T05:47:00Z,62.00,43.00
