# event_ticker=KXATPMATCH-26JAN05DIMCAR
# final_score=6-3 6-2
# match_winner=Grigor Dimitrov
# fav_player=Grigor Dimitrov
# dog_player=Pablo Carreno Busta
# kalshi_date=2026-01-05
timestamp,Grigor Dimitrov,Pablo Carreno Busta
2026-01-05T22:09:00Z,66.00,
2026-01-05T22:12:00Z,66.00,
2026-01-05T22:28:00Z,66.00,
2026-01-05T22:43:00Z,66.00,37.00
2026-01-05T22:57:00Z,66.00,37.00
2026-01-05T23:00:00Z,65.00,37.00
2026-01-06T00:09:00Z,66.00,37.00
2026-01-06T00:40:00Z,66.00,37.00
2026-01-06T00:47:00Z,66.00,37.00
2026-01-06T00:52:00Z,66.00,37.00
2026-01-06T01:28:00Z,66.00,35.99
2026-01-06T02:06:00Z,66.00,36.00
2026-01-06T02:50:00Z,66.00,36.00
2026-01-06T03:01:00Z,66.00,36.00
2026-01-06T03:27:00Z,66.00,36.00
2026-01-06T03:33:00Z,66.00,36.00
2026-01-06T03:34:00Z,66.00,36.00
2026-01-06T04:00:00Z,66.00,36.00
2026-01-06T04:09:00Z,66.00,36.00
2026-01-06T04:21:00Z,66.00,36.00
2026-01-06T04:36:00Z,66.00,36.00
2026-01-06T04:40:00Z,66.00,36.00
2026-01-06T04:49:00Z,66.00,36.00
2026-01-06T04:54:00Z,66.00,36.00
2026-01-06T04:56:00Z,66.00,36.00
2026-01-06T05:12:00Z,66.00,36.00
2026-01-06T05:21:00Z,66.00,36.00
2026-01-06T05:24:00Z,66.00,36.00
2026-01-06T05:26:00Z,66.00,36.00
2026-01-06T05:29:00Z,66.00,36.00
2026-01-06T05:41:00Z,66.00,36.00
2026-01-06T05:42:00Z,66.00,36.00
2026-01-06T05:43:00Z,66.00,36.00
2026-01-06T05:45:00Z,66.00,36.00
2026-01-06T05:49:00Z,66.09,36.00
2026-01-06T05:53:00Z,67.00,36.00
2026-01-06T05:57:00Z,67.00,33.30
2026-01-06T05:58:00Z,67.00,33.30
2026-01-06T05:59:00Z,67.00,33.30
2026-01-06T06:01:00Z,67.00,36.00
2026-01-06T06:04:00Z,67.00,36.00
