# event_ticker=KXATPMATCH-26APR14BERTOP
# final_score=6-1 6-4
# match_winner=Zizou Bergs
# fav_player=Zizou Bergs
# dog_player=Marko ToPo
# kalshi_date=2026-04-14
timestamp,Zizou Bergs,Marko ToPo
2026-04-14T02:17:00Z,,21.59
2026-04-14T02:21:00Z,79.00,21.59
2026-04-14T02:25:00Z,79.00,21.59
2026-04-14T02:33:00Z,78.00,21.59
2026-04-14T02:34:00Z,78.00,21.59
2026-04-14T02:38:00Z,78.00,21.59
2026-04-14T02:39:00Z,78.00,21.59
2026-04-14T02:40:00Z,79.00,21.59
2026-04-14T02:41:00Z,79.00,21.59
2026-04-14T02:48:00Z,78.00,21.59
2026-04-14T02:49:00Z,78.00,21.59
2026-04-14T02:50:00Z,78.00,21.59
2026-04-14T02:51:00Z,78.00,21.59
2026-04-14T02:52:00Z,78.00,21.59
2026-04-14T02:53:00Z,78.00,21.59
2026-04-14T02:54:00Z,78.00,21.59
2026-04-14T02:55:00Z,78.00,21.59
2026-04-14T02:56:00Z,78.00,21.59
2026-04-14T02:58:00Z,78.00,21.59
2026-04-14T02:59:00Z,78.00,21.59
2026-04-14T03:00:00Z,78.00,21.59
2026-04-14T03:01:00Z,78.00,21.59
2026-04-14T03:02:00Z,78.00,21.59
2026-04-14T03:03:00Z,78.00,21.59
2026-04-14T03:04:00Z,78.00,21.59
2026-04-14T03:05:00Z,78.00,21.59
2026-04-14T03:06:00Z,78.00,22.00
2026-04-14T03:08:00Z,78.00,22.00
2026-04-14T03:10:00Z,78.00,22.00
2026-04-14T03:26:00Z,78.00,20.00
2026-04-14T03:27:00Z,80.00,20.00
2026-04-14T03:56:00Z,80.00,20.00
2026-04-14T03:57:00Z,80.00,20.00
2026-04-14T04:01:00Z,79.00,20.00
2026-04-14T04:13:00Z,78.67,20.00
2026-04-14T04:19:00Z,78.00,20.00
2026-04-14T04:20:00Z,78.00,20.00
2026-04-14T04:22:00Z,78.00,20.00
2026-04-14T04:23:00Z,78.00,20.00
2026-04-14T04:24:00Z,78.00,20.00
2026-04-14T04:25:00Z,78.00,20.00
2026-04-14T04:27:00Z,79.03,20.00
2026-04-14T04:31:00Z,79.00,20.00
2026-04-14T04:32:00Z,79.00,20.00
2026-04-14T04:33:00Z,79.00,20.00
2026-04-14T04:34:00Z,79.00,20.00
2026-04-14T04:35:00Z,79.00,20.00
2026-04-14T04:42:00Z,79.00,20.00
2026-04-14T04:43:00Z,79.00,20.00
2026-04-14T04:44:00Z,79.00,20.00
2026-04-14T04:45:00Z,79.00,20.00
2026-04-14T04:46:00Z,79.86,21.00
2026-04-14T04:47:00Z,79.00,21.00
2026-04-14T04:48:00Z,79.00,21.00
2026-04-14T04:52:00Z,80.00,21.00
2026-04-14T04:59:00Z,80.00,21.00
2026-04-14T05:01:00Z,80.00,21.00
2026-04-14T05:02:00Z,80.00,21.00
2026-04-14T05:04:00Z,80.00,21.00
2026-04-14T05:05:00Z,80.00,21.00
2026-04-14T05:09:00Z,79.00,21.00
2026-04-14T05:11:00Z,79.00,21.00
