# event_ticker=KXATPCHALLENGERMATCH-26MAR09TABNIS
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Clement Tabur
# fav_player=Kei Nishikori
# dog_player=Clement Tabur
# kalshi_date=2026-03-09
timestamp,Kei Nishikori,Clement Tabur
2026-03-09T08:19:00Z,92.00,
2026-03-09T09:24:00Z,55.89,45.00
2026-03-09T09:42:00Z,59.00,45.00
2026-03-09T09:54:00Z,59.00,45.00
2026-03-09T09:55:00Z,59.00,41.00
2026-03-09T11:30:00Z,56.00,44.00
2026-03-09T11:36:00Z,56.00,44.00
2026-03-09T11:40:00Z,56.00,44.00
2026-03-09T12:00:00Z,56.00,44.00
2026-03-09T12:27:00Z,57.00,44.00
2026-03-09T13:00:00Z,56.00,44.00
2026-03-09T13:47:00Z,56.00,44.00
2026-03-09T14:04:00Z,57.00,44.00
2026-03-09T14:22:00Z,59.06,44.00
2026-03-09T14:24:00Z,59.00,44.00
2026-03-09T14:33:00Z,61.64,44.00
2026-03-09T14:40:00Z,61.64,42.00
2026-03-09T14:44:00Z,60.00,42.00
2026-03-09T14:49:00Z,60.00,42.00
2026-03-09T14:51:00Z,60.00,42.00
2026-03-09T15:16:00Z,60.00,42.00
2026-03-09T15:21:00Z,60.00,42.00
2026-03-09T15:34:00Z,61.00,42.00
2026-03-09T15:35:00Z,61.00,42.00
2026-03-09T15:37:00Z,61.00,42.00
2026-03-09T15:54:00Z,62.00,42.00
2026-03-09T15:56:00Z,62.00,40.00
2026-03-09T16:09:00Z,61.00,40.00
2026-03-09T16:19:00Z,61.00,40.00
2026-03-09T16:20:00Z,60.69,40.00
2026-03-09T16:43:00Z,62.00,40.00
2026-03-09T16:45:00Z,62.00,40.00
2026-03-09T16:47:00Z,62.00,40.00
2026-03-09T16:54:00Z,62.00,40.00
2026-03-09T16:55:00Z,62.00,40.00
2026-03-09T16:57:00Z,63.00,40.00
2026-03-09T17:01:00Z,62.00,40.00
2026-03-09T17:05:00Z,62.00,40.00
2026-03-09T17:07:00Z,62.00,40.00
2026-03-09T17:12:00Z,62.00,40.00
2026-03-09T17:14:00Z,63.00,40.00
2026-03-09T17:25:00Z,63.00,40.00
2026-03-09T17:27:00Z,62.50,40.00
2026-03-09T17:29:00Z,63.00,40.00
2026-03-09T17:30:00Z,63.00,40.00
2026-03-09T17:31:00Z,63.00,40.00
2026-03-09T17:33:00Z,62.00,40.00
2026-03-09T17:34:00Z,62.00,40.99
2026-03-09T17:37:00Z,62.90,40.00
2026-03-09T17:38:00Z,63.00,40.00
2026-03-09T17:39:00Z,62.00,40.59
2026-03-09T17:41:00Z,62.35,40.77
2026-03-09T17:43:00Z,62.00,40.77
2026-03-09T17:44:00Z,62.58,40.00
2026-03-09T17:45:00Z,63.00,39.83
2026-03-09T17:46:00Z,64.00,39.83
2026-03-09T17:48:00Z,64.04,39.83
2026-03-09T17:49:00Z,64.00,38.00
2026-03-09T17:50:00Z,64.00,38.30
2026-03-09T17:51:00Z,63.82,39.10
2026-03-09T17:52:00Z,62.88,39.00
2026-03-09T17:53:00Z,62.62,40.00
