# event_ticker=KXATPCHALLENGERMATCH-26MAR26FICSCH
# final_score=6-3 7-5
# match_winner=Juan Pablo Ficovich
# fav_player=Juan Pablo Ficovich
# dog_player=Tristan Schoolkate
# kalshi_date=2026-03-26
timestamp,Juan Pablo Ficovich,Tristan Schoolkate
2026-03-26T09:15:00Z,,51.00
2026-03-26T09:17:00Z,,58.00
2026-03-26T09:19:00Z,,78.62
2026-03-26T09:20:00Z,38.20,82.00
2026-03-26T09:26:00Z,38.20,72.00
2026-03-26T09:40:00Z,26.00,72.00
2026-03-26T10:08:00Z,27.00,72.00
2026-03-26T10:27:00Z,27.00,71.00
2026-03-26T10:32:00Z,27.00,71.00
2026-03-26T10:40:00Z,30.00,71.00
2026-03-26T10:54:00Z,30.00,71.00
2026-03-26T12:58:00Z,30.00,70.00
2026-03-26T13:11:00Z,30.00,70.00
2026-03-26T13:14:00Z,30.00,71.00
2026-03-26T13:22:00Z,30.00,71.00
2026-03-26T13:23:00Z,30.00,71.00
2026-03-26T13:32:00Z,30.00,70.93
2026-03-26T13:33:00Z,30.00,70.50
2026-03-26T13:36:00Z,30.00,71.00
2026-03-26T13:37:00Z,30.00,71.00
2026-03-26T13:40:00Z,30.00,70.00
2026-03-26T13:42:00Z,30.00,71.00
2026-03-26T13:51:00Z,30.00,70.00
2026-03-26T13:52:00Z,30.00,70.00
2026-03-26T13:53:00Z,30.00,71.00
2026-03-26T13:54:00Z,30.00,70.00
2026-03-26T13:57:00Z,30.00,72.00
2026-03-26T14:38:00Z,30.00,71.00
2026-03-26T15:30:00Z,30.00,71.00
2026-03-26T15:40:00Z,30.00,71.00
2026-03-26T16:14:00Z,30.00,71.00
2026-03-26T16:19:00Z,30.00,71.00
2026-03-26T16:21:00Z,31.00,71.00
2026-03-26T16:24:00Z,31.00,71.00
2026-03-26T16:27:00Z,31.00,71.00
2026-03-26T16:31:00Z,31.00,71.00
2026-03-26T16:32:00Z,31.00,71.00
2026-03-26T16:42:00Z,31.00,71.00
2026-03-26T16:48:00Z,31.00,71.00
2026-03-26T16:55:00Z,31.00,71.00
2026-03-26T17:06:00Z,29.00,71.00
2026-03-26T17:21:00Z,29.00,71.00
2026-03-26T17:30:00Z,29.00,71.00
2026-03-26T17:32:00Z,29.00,71.00
2026-03-26T17:59:00Z,29.00,69.98
2026-03-26T19:45:00Z,29.00,70.00
2026-03-26T19:46:00Z,29.00,71.25
2026-03-26T20:02:00Z,29.00,72.00
2026-03-26T20:16:00Z,29.00,72.00
2026-03-26T20:18:00Z,29.00,72.00
2026-03-26T20:23:00Z,29.00,72.00
2026-03-26T20:25:00Z,28.35,72.00
2026-03-26T20:31:00Z,30.00,72.00
2026-03-26T20:34:00Z,30.00,70.00
2026-03-26T20:40:00Z,30.00,72.00
2026-03-26T20:43:00Z,30.00,72.00
2026-03-26T20:44:00Z,30.00,72.00
2026-03-26T20:48:00Z,30.00,72.00
2026-03-26T20:49:00Z,30.00,72.00
2026-03-26T20:50:00Z,30.00,71.00
2026-03-26T20:51:00Z,30.00,71.00
2026-03-26T20:52:00Z,30.00,71.00
2026-03-26T20:58:00Z,30.00,71.99
2026-03-26T20:59:00Z,30.00,71.99
2026-03-26T21:00:00Z,30.00,72.00
2026-03-26T21:02:00Z,30.00,72.41
2026-03-26T21:03:00Z,29.99,72.94
2026-03-26T21:04:00Z,30.00,72.80
2026-03-26T21:05:00Z,30.00,72.00
2026-03-26T21:06:00Z,30.00,73.00
2026-03-26T21:07:00Z,31.06,73.00
2026-03-26T21:08:00Z,26.88,72.01
2026-03-26T21:09:00Z,27.00,74.98
2026-03-26T21:10:00Z,27.02,74.84
2026-03-26T21:11:00Z,29.99,72.00
2026-03-26T21:12:00Z,30.39,70.45
2026-03-26T21:13:00Z,31.61,70.82
2026-03-26T21:14:00Z,31.18,69.29
2026-03-26T21:15:00Z,31.37,68.03
