# event_ticker=KXATPCHALLENGERMATCH-26MAY20NEDALK
# final_score=6-1 6-4
# match_winner=Andrej Nedic
# fav_player=Andrej Nedic
# dog_player=Mert Alkaya
# kalshi_date=2026-05-20
timestamp,Andrej Nedic,Mert Alkaya
2026-05-20T23:01:00Z,,36.00
2026-05-21T02:31:00Z,66.00,36.00
2026-05-21T03:08:00Z,66.00,36.00
2026-05-21T03:32:00Z,66.00,36.00
2026-05-21T03:55:00Z,66.00,36.00
2026-05-21T04:17:00Z,66.00,36.00
2026-05-21T04:36:00Z,66.00,36.00
2026-05-21T04:38:00Z,66.00,36.00
2026-05-21T04:40:00Z,66.00,36.00
2026-05-21T04:44:00Z,66.00,36.00
2026-05-21T06:36:00Z,66.00,36.00
2026-05-21T07:01:00Z,66.00,36.00
2026-05-21T09:03:00Z,66.00,40.00
2026-05-21T09:06:00Z,66.43,40.00
2026-05-21T09:07:00Z,65.00,35.00
2026-05-21T09:08:00Z,63.00,35.00
2026-05-21T09:09:00Z,64.49,35.00
2026-05-21T09:10:00Z,71.00,32.00
2026-05-21T09:13:00Z,64.50,32.00
2026-05-21T09:14:00Z,61.91,32.00
2026-05-21T09:17:00Z,65.00,32.00
2026-05-21T09:18:00Z,65.00,36.00
2026-05-21T09:19:00Z,65.00,30.00
2026-05-21T09:21:00Z,72.96,30.00
2026-05-21T09:22:00Z,75.66,33.76
2026-05-21T09:23:00Z,76.00,33.76
2026-05-21T09:24:00Z,79.00,33.76
2026-05-21T09:25:00Z,78.00,23.00
2026-05-21T09:26:00Z,75.78,24.00
2026-05-21T09:27:00Z,76.00,24.00
2026-05-21T09:28:00Z,82.00,24.00
2026-05-21T09:29:00Z,85.19,16.35
2026-05-21T09:30:00Z,87.00,15.00
2026-05-21T09:31:00Z,87.00,14.00
2026-05-21T09:32:00Z,84.87,14.00
2026-05-21T09:34:00Z,84.87,14.00
2026-05-21T09:35:00Z,87.00,14.00
2026-05-21T09:36:00Z,88.00,14.00
2026-05-21T09:38:00Z,89.00,12.00
2026-05-21T09:39:00Z,89.95,12.00
2026-05-21T09:40:00Z,90.00,11.00
2026-05-21T09:42:00Z,91.00,11.00
2026-05-21T09:44:00Z,91.00,12.00
2026-05-21T09:45:00Z,91.00,8.00
2026-05-21T09:46:00Z,91.00,8.00
2026-05-21T09:47:00Z,93.49,8.00
2026-05-21T09:48:00Z,93.00,8.00
2026-05-21T09:49:00Z,90.01,10.00
2026-05-21T09:50:00Z,89.00,12.00
2026-05-21T09:52:00Z,89.91,12.00
2026-05-21T09:53:00Z,88.00,12.00
2026-05-21T09:54:00Z,84.67,20.00
2026-05-21T09:56:00Z,84.67,21.00
2026-05-21T09:57:00Z,84.67,21.00
2026-05-21T09:58:00Z,87.00,21.00
2026-05-21T09:59:00Z,87.00,14.99
2026-05-21T10:01:00Z,91.00,14.99
2026-05-21T10:02:00Z,90.18,10.00
2026-05-21T10:03:00Z,93.00,10.00
2026-05-21T10:04:00Z,93.00,10.00
2026-05-21T10:05:00Z,93.00,7.04
2026-05-21T10:06:00Z,93.00,7.00
2026-05-21T10:07:00Z,95.39,4.96
2026-05-21T10:08:00Z,96.00,4.00
2026-05-21T10:09:00Z,98.00,4.00
2026-05-21T10:10:00Z,99.00,1.00
2026-05-21T10:11:00Z,97.50,2.63
2026-05-21T10:12:00Z,97.50,1.00
2026-05-21T10:15:00Z,99.00,1.00
2026-05-21T10:16:00Z,98.94,3.21
2026-05-21T10:17:00Z,98.12,5.00
2026-05-21T10:18:00Z,95.22,6.24
2026-05-21T10:19:00Z,94.27,6.24
2026-05-21T10:20:00Z,92.51,7.07
2026-05-21T10:21:00Z,91.00,8.92
2026-05-21T10:22:00Z,95.05,4.00
2026-05-21T10:23:00Z,95.67,3.00
2026-05-21T10:24:00Z,97.60,2.22
2026-05-21T10:26:00Z,99.00,2.22
