# event_ticker=KXATPMATCH-26FEB13TABETC
# final_score=1-6 6-3 6-4
# score_resolution=6-1 3-6 4-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Alejandro Tabilo
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-02-13
timestamp,Alejandro Tabilo,Tomas Martin Etcheverry
2026-02-13T04:21:00Z,,61.00
2026-02-13T04:29:00Z,,61.00
2026-02-13T04:34:00Z,40.92,61.00
2026-02-13T04:37:00Z,40.00,61.00
2026-02-13T04:42:00Z,40.91,61.00
2026-02-13T04:55:00Z,40.91,61.00
2026-02-13T04:57:00Z,40.83,61.00
2026-02-13T05:02:00Z,40.00,61.00
2026-02-13T05:04:00Z,40.71,61.00
2026-02-13T05:05:00Z,40.00,61.00
2026-02-13T05:10:00Z,40.00,61.00
2026-02-13T05:13:00Z,40.00,61.00
2026-02-13T05:20:00Z,40.00,61.00
2026-02-13T05:23:00Z,40.00,61.00
2026-02-13T05:26:00Z,40.00,61.00
2026-02-13T05:31:00Z,41.00,61.00
2026-02-13T05:32:00Z,41.00,61.00
2026-02-13T05:33:00Z,41.00,61.00
2026-02-13T05:41:00Z,41.00,61.00
2026-02-13T05:42:00Z,41.00,61.00
2026-02-13T05:43:00Z,41.00,61.00
2026-02-13T05:46:00Z,41.00,61.00
2026-02-13T05:58:00Z,41.00,61.00
2026-02-13T06:00:00Z,41.00,59.00
2026-02-13T06:04:00Z,41.00,60.00
2026-02-13T06:12:00Z,41.00,60.00
2026-02-13T06:13:00Z,41.00,60.00
2026-02-13T06:14:00Z,41.00,60.00
2026-02-13T06:16:00Z,41.00,60.00
2026-02-13T06:21:00Z,41.00,60.00
2026-02-13T06:31:00Z,41.00,60.00
2026-02-13T06:33:00Z,41.00,60.00
2026-02-13T06:35:00Z,41.85,60.00
2026-02-13T06:45:00Z,42.00,60.00
2026-02-13T06:46:00Z,42.00,60.00
2026-02-13T06:55:00Z,41.00,60.00
2026-02-13T06:57:00Z,41.00,60.00
2026-02-13T07:28:00Z,41.00,60.00
2026-02-13T07:55:00Z,41.00,61.00
2026-02-13T08:32:00Z,41.00,61.00
2026-02-13T09:05:00Z,41.00,61.00
2026-02-13T09:07:00Z,41.00,61.00
2026-02-13T09:14:00Z,39.00,61.00
2026-02-13T09:17:00Z,41.00,61.00
2026-02-13T09:26:00Z,41.00,61.00
2026-02-13T09:38:00Z,41.00,61.00
2026-02-13T09:49:00Z,41.00,61.00
2026-02-13T09:50:00Z,41.00,59.00
2026-02-13T09:54:00Z,41.23,59.00
2026-02-13T10:00:00Z,41.23,61.00
2026-02-13T10:04:00Z,41.23,61.00
