# event_ticker=KXATPCHALLENGERMATCH-26MAR23SHIIMA
# final_score=6-4 6-1
# match_winner=Masamichi Imamura
# fav_player=Masamichi Imamura
# dog_player=Sanhui Shin
# kalshi_date=2026-03-23
timestamp,Masamichi Imamura,Sanhui Shin
2026-03-23T15:01:00Z,,27.00
2026-03-23T15:27:00Z,,27.00
2026-03-23T15:44:00Z,,27.00
2026-03-23T15:49:00Z,73.00,27.00
2026-03-23T15:51:00Z,73.00,27.00
2026-03-23T15:53:00Z,73.00,27.00
2026-03-23T17:07:00Z,74.00,27.00
2026-03-23T18:50:00Z,74.00,27.00
2026-03-23T19:00:00Z,74.00,27.00
2026-03-23T19:04:00Z,74.00,27.00
2026-03-23T19:33:00Z,74.00,27.00
2026-03-23T22:20:00Z,75.00,27.00
2026-03-23T23:06:00Z,75.00,25.00
2026-03-23T23:17:00Z,75.00,27.00
2026-03-24T00:15:00Z,75.00,27.00
2026-03-24T00:31:00Z,75.00,27.00
2026-03-24T00:33:00Z,75.00,27.00
2026-03-24T00:52:00Z,75.00,25.00
2026-03-24T00:59:00Z,75.00,26.00
2026-03-24T01:21:00Z,75.00,26.00
2026-03-24T01:26:00Z,75.00,26.00
2026-03-24T01:28:00Z,75.00,26.00
2026-03-24T01:29:00Z,75.00,26.00
2026-03-24T02:04:00Z,75.00,26.00
2026-03-24T02:05:00Z,75.00,26.00
2026-03-24T02:07:00Z,75.00,26.00
2026-03-24T02:08:00Z,75.00,26.00
2026-03-24T02:16:00Z,75.00,26.00
2026-03-24T02:21:00Z,75.00,26.00
2026-03-24T02:25:00Z,75.00,27.00
2026-03-24T02:27:00Z,75.00,27.00
2026-03-24T02:28:00Z,75.00,27.00
2026-03-24T02:29:00Z,75.00,27.00
2026-03-24T02:34:00Z,75.00,27.00
2026-03-24T02:36:00Z,75.00,27.00
2026-03-24T02:37:00Z,75.00,27.00
2026-03-24T02:38:00Z,75.00,27.00
2026-03-24T02:39:00Z,75.00,27.00
2026-03-24T02:42:00Z,75.00,27.00
2026-03-24T02:44:00Z,75.00,27.00
2026-03-24T02:45:00Z,75.00,27.00
2026-03-24T02:46:00Z,75.00,27.00
2026-03-24T02:47:00Z,75.00,27.00
2026-03-24T02:48:00Z,75.00,27.00
2026-03-24T02:49:00Z,78.00,23.35
2026-03-24T02:50:00Z,77.80,24.16
2026-03-24T02:51:00Z,74.77,26.04
2026-03-24T02:52:00Z,71.68,31.08
2026-03-24T02:53:00Z,68.94,33.82
2026-03-24T02:54:00Z,60.83,40.00
2026-03-24T02:55:00Z,61.63,39.58
2026-03-24T02:56:00Z,63.00,38.37
2026-03-24T02:57:00Z,56.35,44.31
2026-03-24T02:58:00Z,55.28,46.48
2026-03-24T02:59:00Z,59.50,41.73
2026-03-24T03:00:00Z,61.08,39.72
2026-03-24T03:01:00Z,67.00,39.11
2026-03-24T03:02:00Z,72.80,28.33
2026-03-24T03:03:00Z,75.48,24.00
2026-03-24T03:04:00Z,78.00,21.87
2026-03-24T03:05:00Z,80.93,19.16
2026-03-24T03:06:00Z,80.93,19.02
2026-03-24T03:07:00Z,80.93,20.04
2026-03-24T03:08:00Z,82.61,19.13
2026-03-24T03:09:00Z,82.61,11.72
2026-03-24T03:10:00Z,87.00,12.30
2026-03-24T03:11:00Z,86.89,15.45
2026-03-24T03:12:00Z,83.81,16.86
2026-03-24T03:13:00Z,87.00,13.78
2026-03-24T03:14:00Z,88.54,11.49
2026-03-24T03:15:00Z,88.54,11.48
2026-03-24T03:16:00Z,90.00,12.69
2026-03-24T03:17:00Z,86.82,13.98
2026-03-24T03:18:00Z,81.32,19.41
2026-03-24T03:19:00Z,79.09,20.00
2026-03-24T03:20:00Z,84.27,16.99
2026-03-24T03:21:00Z,87.71,14.80
2026-03-24T03:22:00Z,88.96,12.28
2026-03-24T03:23:00Z,91.00,9.86
2026-03-24T03:24:00Z,90.00,9.90
2026-03-24T03:25:00Z,87.70,12.41
2026-03-24T03:26:00Z,86.11,13.94
2026-03-24T03:27:00Z,86.11,16.35
2026-03-24T03:28:00Z,81.53,19.17
2026-03-24T03:29:00Z,81.37,19.56
2026-03-24T03:30:00Z,83.67,16.17
2026-03-24T03:31:00Z,85.78,12.71
2026-03-24T03:32:00Z,89.78,9.04
2026-03-24T03:33:00Z,91.00,8.48
2026-03-24T03:34:00Z,90.00,10.70
2026-03-24T03:35:00Z,88.00,13.80
2026-03-24T03:36:00Z,85.04,17.60
2026-03-24T03:37:00Z,84.17,17.33
2026-03-24T03:38:00Z,84.57,16.37
2026-03-24T03:39:00Z,82.86,18.12
2026-03-24T03:40:00Z,82.16,20.02
2026-03-24T03:41:00Z,85.78,16.09
2026-03-24T03:42:00Z,89.23,11.09
2026-03-24T03:43:00Z,90.00,11.56
2026-03-24T03:44:00Z,90.07,10.81
2026-03-24T03:45:00Z,90.89,9.88
2026-03-24T03:46:00Z,92.64,7.99
2026-03-24T03:47:00Z,93.00,7.61
2026-03-24T03:48:00Z,93.43,6.53
2026-03-24T03:49:00Z,92.00,7.74
2026-03-24T03:50:00Z,96.31,3.57
2026-03-24T03:51:00Z,97.35,2.77
2026-03-24T03:52:00Z,98.74,2.24
2026-03-24T03:53:00Z,97.21,3.52
2026-03-24T03:54:00Z,98.42,2.05
2026-03-24T03:55:00Z,98.99,1.32
2026-03-24T03:56:00Z,98.17,1.01
2026-03-24T03:57:00Z,98.17,1.00
2026-03-24T03:58:00Z,99.00,1.00
2026-03-24T04:00:00Z,99.00,1.00
2026-03-24T04:02:00Z,99.00,1.00
2026-03-24T04:03:00Z,99.00,1.00
2026-03-24T04:04:00Z,99.00,1.00
2026-03-24T04:05:00Z,99.00,1.00
2026-03-24T04:06:00Z,99.00,1.00
2026-03-24T04:08:00Z,99.00,1.00
2026-03-24T04:09:00Z,99.00,1.00
2026-03-24T04:14:00Z,99.00,1.00
2026-03-24T04:17:00Z,99.00,1.00
