# event_ticker=KXATPCHALLENGERMATCH-26APR10SAIROD
# final_score=6-3 6-4
# match_winner=Jurij Rodionov
# fav_player=Jurij Rodionov
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-04-10
timestamp,Jurij Rodionov,Nikolas Sanchez Izquierdo
2026-04-10T00:58:00Z,,36.00
2026-04-10T01:45:00Z,65.00,36.00
2026-04-10T02:28:00Z,66.00,36.00
2026-04-10T02:29:00Z,66.00,36.00
2026-04-10T02:30:00Z,66.00,34.00
2026-04-10T02:55:00Z,66.00,34.00
2026-04-10T02:59:00Z,66.00,34.00
2026-04-10T03:04:00Z,65.00,34.00
2026-04-10T03:46:00Z,65.00,34.00
2026-04-10T04:28:00Z,65.00,36.00
2026-04-10T04:56:00Z,65.00,36.00
2026-04-10T05:06:00Z,65.00,36.00
2026-04-10T05:22:00Z,64.16,36.00
2026-04-10T05:25:00Z,66.00,36.00
2026-04-10T05:42:00Z,66.00,36.00
2026-04-10T05:57:00Z,66.00,36.00
2026-04-10T06:00:00Z,66.00,36.00
2026-04-10T06:50:00Z,67.00,36.00
2026-04-10T07:11:00Z,67.00,36.00
2026-04-10T07:27:00Z,66.00,36.00
2026-04-10T07:43:00Z,66.00,36.00
2026-04-10T08:01:00Z,66.30,36.00
2026-04-10T08:13:00Z,67.00,36.00
2026-04-10T08:23:00Z,67.00,35.00
2026-04-10T08:26:00Z,67.00,35.00
2026-04-10T08:32:00Z,67.00,35.00
2026-04-10T08:44:00Z,66.43,35.00
2026-04-10T08:55:00Z,67.00,35.00
2026-04-10T08:58:00Z,67.00,35.00
2026-04-10T09:17:00Z,67.00,35.00
2026-04-10T09:21:00Z,67.00,35.00
2026-04-10T09:33:00Z,67.00,35.00
2026-04-10T10:26:00Z,67.00,35.00
2026-04-10T10:28:00Z,67.00,35.00
2026-04-10T10:34:00Z,67.00,35.00
2026-04-10T10:45:00Z,67.00,35.00
2026-04-10T10:52:00Z,67.00,35.00
2026-04-10T11:00:00Z,67.00,35.00
2026-04-10T11:27:00Z,67.00,35.00
2026-04-10T11:34:00Z,67.00,35.00
2026-04-10T11:40:00Z,67.00,35.00
2026-04-10T11:47:00Z,67.00,35.00
2026-04-10T11:48:00Z,67.00,35.00
2026-04-10T11:51:00Z,67.00,35.00
2026-04-10T11:59:00Z,67.00,35.00
2026-04-10T12:04:00Z,66.99,35.00
2026-04-10T12:07:00Z,66.34,35.00
2026-04-10T12:11:00Z,66.84,35.00
2026-04-10T12:13:00Z,66.00,35.00
2026-04-10T12:14:00Z,67.00,35.00
2026-04-10T12:15:00Z,67.00,35.00
2026-04-10T12:20:00Z,67.00,35.00
2026-04-10T12:21:00Z,67.00,35.00
2026-04-10T12:26:00Z,67.00,35.00
2026-04-10T12:27:00Z,67.00,35.00
