# event_ticker=KXATPCHALLENGERMATCH-26APR04NEUGIL
# final_score=6-3 3-1
# score_resolution=3-6 1-3
# match_winner=Lukas Neumayer
# fav_player=Felix Gill
# dog_player=Lukas Neumayer
# kalshi_date=2026-04-04
timestamp,Felix Gill,Lukas Neumayer
2026-04-04T14:21:00Z,39.19,
2026-04-04T14:26:00Z,39.19,96.00
2026-04-04T14:29:00Z,44.02,96.00
2026-04-04T14:30:00Z,37.32,96.00
2026-04-04T14:31:00Z,45.00,96.00
2026-04-04T14:32:00Z,45.00,96.00
2026-04-04T14:34:00Z,45.00,96.00
2026-04-04T14:36:00Z,45.00,95.00
2026-04-04T14:37:00Z,45.00,95.00
2026-04-04T14:38:00Z,40.00,95.00
2026-04-04T14:40:00Z,45.00,95.00
2026-04-04T14:47:00Z,40.00,95.00
2026-04-04T14:56:00Z,40.00,59.98
2026-04-04T15:00:00Z,43.00,59.98
2026-04-04T15:01:00Z,41.00,62.00
2026-04-04T15:02:00Z,42.00,62.00
2026-04-04T15:03:00Z,41.00,62.00
2026-04-04T15:04:00Z,41.00,62.00
2026-04-04T15:05:00Z,41.00,63.00
2026-04-04T15:06:00Z,41.00,63.55
2026-04-04T15:07:00Z,40.00,63.55
2026-04-04T15:08:00Z,40.00,63.00
2026-04-04T15:09:00Z,40.00,66.00
2026-04-04T15:10:00Z,40.00,65.85
2026-04-04T15:16:00Z,40.00,62.00
2026-04-04T15:20:00Z,40.00,63.45
2026-04-04T15:21:00Z,40.00,63.00
2026-04-04T15:22:00Z,41.00,63.90
2026-04-04T15:24:00Z,38.88,63.90
2026-04-04T15:25:00Z,38.10,69.18
2026-04-04T15:26:00Z,38.10,66.00
2026-04-04T15:27:00Z,38.10,66.00
2026-04-04T15:29:00Z,38.48,63.44
2026-04-04T15:30:00Z,38.00,63.73
2026-04-04T15:31:00Z,36.00,64.54
2026-04-04T15:32:00Z,39.00,64.00
2026-04-04T15:33:00Z,35.88,64.00
2026-04-04T15:34:00Z,39.00,64.00
2026-04-04T15:35:00Z,39.00,63.00
2026-04-04T15:36:00Z,35.47,69.45
2026-04-04T15:37:00Z,36.21,69.45
2026-04-04T15:38:00Z,35.69,67.00
2026-04-04T15:39:00Z,36.64,67.00
2026-04-04T15:40:00Z,38.19,65.00
2026-04-04T15:41:00Z,38.90,63.07
2026-04-04T15:42:00Z,37.72,63.15
2026-04-04T15:43:00Z,32.86,71.30
2026-04-04T15:44:00Z,27.28,73.02
2026-04-04T15:45:00Z,24.66,74.59
2026-04-04T15:46:00Z,24.66,74.25
2026-04-04T15:47:00Z,23.90,78.00
2026-04-04T15:48:00Z,21.32,79.00
2026-04-04T15:49:00Z,22.76,79.23
2026-04-04T15:50:00Z,18.00,81.94
2026-04-04T15:51:00Z,20.65,82.11
2026-04-04T15:52:00Z,15.79,85.00
2026-04-04T15:53:00Z,13.00,85.00
2026-04-04T15:54:00Z,14.08,87.00
2026-04-04T15:55:00Z,14.98,87.00
2026-04-04T15:56:00Z,15.02,86.00
2026-04-04T15:57:00Z,13.00,86.00
2026-04-04T15:58:00Z,13.00,86.00
2026-04-04T15:59:00Z,14.00,86.73
2026-04-04T16:00:00Z,14.00,88.00
2026-04-04T16:01:00Z,13.02,87.36
2026-04-04T16:02:00Z,13.02,88.00
2026-04-04T16:03:00Z,13.00,89.47
2026-04-04T16:04:00Z,12.00,87.00
2026-04-04T16:05:00Z,14.50,86.39
2026-04-04T16:06:00Z,15.00,86.00
2026-04-04T16:07:00Z,16.85,86.00
2026-04-04T16:08:00Z,14.94,87.88
