# event_ticker=KXATPCHALLENGERMATCH-26FEB24TAKCLA
# final_score=6-4 6-1
# match_winner=Jay Clarke
# fav_player=Jay Clarke
# dog_player=Yusuke Takahashi
# kalshi_date=2026-02-24
timestamp,Jay Clarke,Yusuke Takahashi
2026-02-24T02:18:00Z,,28.00
2026-02-24T04:09:00Z,75.00,28.00
2026-02-24T04:49:00Z,75.00,28.00
2026-02-24T04:52:00Z,75.00,28.00
2026-02-24T04:54:00Z,75.00,28.00
2026-02-24T04:59:00Z,75.00,29.00
2026-02-24T05:09:00Z,74.00,29.00
2026-02-24T05:23:00Z,74.00,25.20
2026-02-24T05:28:00Z,74.00,28.00
2026-02-24T06:01:00Z,74.00,27.00
2026-02-24T06:06:00Z,74.00,27.85
2026-02-24T06:07:00Z,73.00,27.85
2026-02-24T06:14:00Z,73.00,28.00
2026-02-24T06:17:00Z,74.00,28.00
2026-02-24T06:18:00Z,74.00,28.00
2026-02-24T06:27:00Z,74.00,28.00
2026-02-24T07:17:00Z,74.00,27.00
2026-02-24T07:19:00Z,74.00,27.00
2026-02-24T07:20:00Z,74.00,27.00
2026-02-24T07:33:00Z,74.00,27.00
2026-02-24T07:35:00Z,74.00,27.00
2026-02-24T07:44:00Z,74.00,27.00
2026-02-24T07:48:00Z,74.00,27.00
2026-02-24T08:06:00Z,74.00,27.00
2026-02-24T08:18:00Z,74.00,27.00
2026-02-24T08:21:00Z,74.00,27.00
2026-02-24T08:33:00Z,74.00,27.00
2026-02-24T08:53:00Z,74.00,27.00
2026-02-24T09:38:00Z,74.00,27.00
2026-02-24T09:39:00Z,74.00,24.00
2026-02-24T09:43:00Z,74.00,27.00
2026-02-24T10:00:00Z,76.00,27.00
2026-02-24T10:02:00Z,76.00,27.00
2026-02-24T10:05:00Z,76.00,27.00
2026-02-24T10:12:00Z,76.00,24.00
2026-02-24T10:18:00Z,76.00,27.00
2026-02-24T10:19:00Z,76.00,27.00
2026-02-24T10:31:00Z,76.00,27.00
2026-02-24T10:43:00Z,76.00,27.00
2026-02-24T10:47:00Z,76.00,24.00
2026-02-24T10:52:00Z,76.00,27.00
2026-02-24T11:02:00Z,76.00,27.00
2026-02-24T11:08:00Z,76.00,27.00
2026-02-24T11:10:00Z,76.00,27.00
