# event_ticker=KXATPCHALLENGERMATCH-26MAY13SCHCIN
# final_score=6-4 6-1
# match_winner=Federico Cina
# fav_player=Federico Cina
# dog_player=Joel Schwaerzler
# kalshi_date=2026-05-13
timestamp,Joel Schwaerzler,Federico Cina
2026-05-12T21:55:00Z,56.00,
2026-05-12T22:06:00Z,57.00,
2026-05-12T22:12:00Z,57.00,
2026-05-12T22:48:00Z,57.00,
2026-05-13T00:01:00Z,57.00,
2026-05-13T00:35:00Z,58.00,
2026-05-13T02:34:00Z,58.00,44.00
2026-05-13T02:52:00Z,58.00,44.00
2026-05-13T03:00:00Z,58.00,44.00
2026-05-13T03:02:00Z,58.00,44.00
2026-05-13T03:32:00Z,58.00,44.00
2026-05-13T03:51:00Z,58.00,44.00
2026-05-13T03:53:00Z,58.00,44.00
2026-05-13T04:09:00Z,58.00,44.00
2026-05-13T04:25:00Z,58.00,44.00
2026-05-13T04:30:00Z,58.00,44.00
2026-05-13T04:31:00Z,58.00,44.00
2026-05-13T04:53:00Z,58.00,44.00
2026-05-13T04:56:00Z,58.00,44.00
2026-05-13T04:59:00Z,58.00,44.97
2026-05-13T05:05:00Z,58.00,44.97
2026-05-13T05:08:00Z,58.00,44.97
2026-05-13T05:11:00Z,57.91,45.00
2026-05-13T05:12:00Z,58.00,45.00
2026-05-13T05:13:00Z,55.61,45.00
2026-05-13T05:21:00Z,56.00,45.00
2026-05-13T05:36:00Z,56.00,45.00
2026-05-13T05:37:00Z,56.00,45.00
2026-05-13T05:38:00Z,57.00,45.00
2026-05-13T05:58:00Z,57.00,45.00
2026-05-13T06:33:00Z,57.00,45.00
2026-05-13T06:48:00Z,57.00,45.00
2026-05-13T07:03:00Z,57.00,45.00
2026-05-13T07:04:00Z,57.79,45.00
2026-05-13T07:14:00Z,58.00,45.00
2026-05-13T07:36:00Z,58.00,45.00
2026-05-13T07:38:00Z,58.00,45.00
2026-05-13T07:43:00Z,58.00,45.00
2026-05-13T07:46:00Z,58.00,45.00
2026-05-13T08:15:00Z,58.00,45.00
2026-05-13T08:40:00Z,56.68,45.00
2026-05-13T08:42:00Z,58.00,45.00
