# event_ticker=KXATPCHALLENGERMATCH-26MAY26BADSAN
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Devin Badenhorst
# fav_player=Akira Santillan
# dog_player=Devin Badenhorst
# kalshi_date=2026-05-26
timestamp,Devin Badenhorst,Akira Santillan
2026-05-26T00:39:00Z,,66.00
2026-05-26T02:28:00Z,36.00,66.00
2026-05-26T03:36:00Z,36.00,67.00
2026-05-26T05:09:00Z,36.00,67.00
2026-05-26T07:57:00Z,36.00,65.00
2026-05-26T08:33:00Z,36.00,65.00
2026-05-26T09:11:00Z,37.00,65.00
2026-05-26T09:12:00Z,37.00,65.00
2026-05-26T09:21:00Z,37.00,66.00
2026-05-26T10:20:00Z,37.00,66.00
2026-05-26T10:46:00Z,37.00,62.00
2026-05-26T10:47:00Z,36.98,62.00
2026-05-26T10:48:00Z,36.00,62.00
2026-05-26T10:49:00Z,37.81,57.00
2026-05-26T10:50:00Z,49.74,50.00
2026-05-26T10:52:00Z,59.00,40.00
2026-05-26T10:53:00Z,61.00,40.00
2026-05-26T10:54:00Z,61.00,40.00
2026-05-26T10:55:00Z,61.00,41.50
2026-05-26T10:58:00Z,60.17,40.00
2026-05-26T10:59:00Z,63.00,40.00
2026-05-26T11:00:00Z,63.00,40.00
2026-05-26T11:01:00Z,63.00,36.21
2026-05-26T11:04:00Z,62.00,38.70
2026-05-26T11:05:00Z,62.00,38.00
2026-05-26T11:06:00Z,62.00,38.00
2026-05-26T11:07:00Z,65.00,37.00
2026-05-26T11:08:00Z,65.00,36.00
2026-05-26T11:09:00Z,65.00,34.48
2026-05-26T11:10:00Z,61.00,38.25
2026-05-26T11:11:00Z,59.00,40.51
2026-05-26T11:12:00Z,59.00,38.00
2026-05-26T11:13:00Z,64.04,34.00
2026-05-26T11:14:00Z,65.00,34.00
2026-05-26T11:15:00Z,66.76,34.00
2026-05-26T11:16:00Z,69.64,28.50
2026-05-26T11:17:00Z,79.34,17.40
2026-05-26T11:18:00Z,83.00,18.19
2026-05-26T11:19:00Z,78.00,22.00
2026-05-26T11:20:00Z,75.83,22.32
2026-05-26T11:21:00Z,78.63,24.95
2026-05-26T11:22:00Z,86.02,24.95
2026-05-26T11:23:00Z,90.00,12.00
2026-05-26T11:24:00Z,87.13,12.05
2026-05-26T11:25:00Z,86.00,13.00
2026-05-26T11:26:00Z,86.00,13.00
2026-05-26T11:27:00Z,86.04,13.00
2026-05-26T11:28:00Z,89.00,10.00
2026-05-26T11:29:00Z,89.00,8.33
2026-05-26T11:30:00Z,94.98,5.67
2026-05-26T11:31:00Z,96.31,3.46
2026-05-26T11:32:00Z,97.50,1.92
2026-05-26T11:33:00Z,98.00,2.83
2026-05-26T11:34:00Z,98.78,2.83
2026-05-26T11:35:00Z,99.00,1.00
2026-05-26T11:36:00Z,99.00,1.00
2026-05-26T11:37:00Z,99.00,1.00
