# event_ticker=KXATPCHALLENGERMATCH-26MAR18KUKCAR
# final_score=6-1 3-6 6-2
# score_resolution=1-6 6-3 2-6
# match_winner=Roberto Carballes Baena
# fav_player=Mikhail Kukushkin
# dog_player=Roberto Carballes Baena
# kalshi_date=2026-03-18
timestamp,Mikhail Kukushkin,Roberto Carballes Baena
2026-03-18T02:19:00Z,,68.00
2026-03-18T02:33:00Z,,66.00
2026-03-18T03:08:00Z,,68.00
2026-03-18T03:35:00Z,,68.00
2026-03-18T03:42:00Z,,67.86
2026-03-18T04:19:00Z,,68.00
2026-03-18T04:22:00Z,35.00,68.00
2026-03-18T04:27:00Z,35.00,68.00
2026-03-18T04:32:00Z,35.00,66.00
2026-03-18T04:54:00Z,35.00,66.00
2026-03-18T05:08:00Z,35.00,67.00
2026-03-18T05:26:00Z,35.00,67.00
2026-03-18T05:32:00Z,35.00,67.00
2026-03-18T05:35:00Z,35.00,67.00
2026-03-18T05:42:00Z,35.00,67.00
2026-03-18T05:45:00Z,35.00,67.00
2026-03-18T05:49:00Z,35.00,68.00
2026-03-18T05:50:00Z,35.00,68.00
2026-03-18T06:07:00Z,34.00,68.00
2026-03-18T07:11:00Z,34.00,68.00
2026-03-18T07:20:00Z,35.00,68.00
2026-03-18T07:30:00Z,35.00,68.00
2026-03-18T08:41:00Z,34.00,68.00
2026-03-18T09:11:00Z,34.00,67.00
2026-03-18T09:15:00Z,34.00,67.00
2026-03-18T09:39:00Z,34.00,67.00
2026-03-18T09:46:00Z,35.00,67.00
2026-03-18T09:57:00Z,34.00,67.00
2026-03-18T10:29:00Z,35.00,67.00
2026-03-18T10:48:00Z,35.00,67.00
2026-03-18T11:10:00Z,34.00,67.00
2026-03-18T11:14:00Z,34.00,68.00
2026-03-18T11:27:00Z,34.00,68.28
2026-03-18T11:39:00Z,34.00,69.00
2026-03-18T11:43:00Z,34.00,70.00
2026-03-18T11:44:00Z,34.00,70.00
2026-03-18T11:49:00Z,34.00,70.00
2026-03-18T11:50:00Z,34.00,70.00
2026-03-18T11:58:00Z,34.00,70.00
2026-03-18T12:01:00Z,31.00,70.00
2026-03-18T12:02:00Z,31.00,70.00
2026-03-18T12:04:00Z,31.00,70.00
2026-03-18T12:07:00Z,32.00,70.00
2026-03-18T12:10:00Z,32.00,70.00
2026-03-18T12:11:00Z,33.00,70.00
2026-03-18T12:12:00Z,33.00,70.00
2026-03-18T12:17:00Z,33.00,70.00
2026-03-18T12:18:00Z,33.00,70.00
2026-03-18T12:19:00Z,33.00,70.00
2026-03-18T12:20:00Z,33.00,70.00
2026-03-18T12:21:00Z,33.00,70.00
2026-03-18T12:23:00Z,33.00,70.00
2026-03-18T12:24:00Z,33.00,70.00
2026-03-18T12:25:00Z,33.00,70.00
2026-03-18T12:26:00Z,33.00,70.00
2026-03-18T12:27:00Z,33.00,70.00
2026-03-18T12:28:00Z,33.00,70.00
2026-03-18T12:29:00Z,33.00,70.00
2026-03-18T12:30:00Z,33.00,71.11
2026-03-18T12:31:00Z,33.00,71.00
2026-03-18T12:32:00Z,32.00,71.00
2026-03-18T12:33:00Z,32.00,71.00
2026-03-18T12:34:00Z,32.00,71.00
2026-03-18T12:35:00Z,32.00,71.00
2026-03-18T12:36:00Z,32.00,71.00
