# event_ticker=KXATPMATCH-26MAR04TSISHA
# final_score=6-2 3-6 6-4
# match_winner=Denis Shapovalov
# fav_player=Denis Shapovalov
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-03-04
timestamp,Denis Shapovalov,Stefanos Tsitsipas
2026-03-04T17:18:00Z,47.00,
2026-03-04T17:22:00Z,47.00,54.00
2026-03-04T17:23:00Z,47.00,54.00
2026-03-04T17:35:00Z,47.00,54.00
2026-03-04T17:37:00Z,47.00,54.00
2026-03-04T17:44:00Z,47.00,54.00
2026-03-04T17:51:00Z,47.00,54.00
2026-03-04T17:58:00Z,47.00,54.00
2026-03-04T18:01:00Z,47.00,54.00
2026-03-04T18:07:00Z,47.00,54.00
2026-03-04T18:09:00Z,47.00,53.00
2026-03-04T18:10:00Z,47.00,53.00
2026-03-04T18:13:00Z,47.00,54.00
2026-03-04T18:23:00Z,46.00,54.00
2026-03-04T18:24:00Z,46.00,54.00
2026-03-04T18:27:00Z,46.00,54.00
2026-03-04T18:32:00Z,46.00,54.00
2026-03-04T18:48:00Z,47.00,54.00
2026-03-04T18:52:00Z,47.00,54.00
2026-03-04T18:55:00Z,47.00,54.00
2026-03-04T18:56:00Z,47.00,54.00
2026-03-04T18:57:00Z,47.00,54.00
2026-03-04T19:02:00Z,47.00,54.00
2026-03-04T19:07:00Z,47.00,53.00
2026-03-04T19:09:00Z,47.00,53.00
2026-03-04T19:12:00Z,47.00,53.00
2026-03-04T19:17:00Z,47.00,53.00
2026-03-04T19:25:00Z,47.00,54.00
2026-03-04T19:27:00Z,47.02,54.00
2026-03-04T19:28:00Z,48.00,54.00
2026-03-04T19:30:00Z,48.00,53.00
2026-03-04T19:31:00Z,48.00,54.00
2026-03-04T19:46:00Z,48.00,54.00
2026-03-04T19:53:00Z,48.00,54.00
2026-03-04T19:55:00Z,48.00,54.00
2026-03-04T20:04:00Z,48.00,54.00
2026-03-04T20:08:00Z,48.00,54.00
2026-03-04T20:09:00Z,48.00,54.00
2026-03-04T20:19:00Z,48.00,54.00
2026-03-04T20:20:00Z,48.00,54.00
2026-03-04T20:31:00Z,48.00,54.00
2026-03-04T20:33:00Z,48.00,54.00
2026-03-04T20:37:00Z,48.00,54.00
2026-03-04T20:39:00Z,48.00,54.00
2026-03-04T20:41:00Z,48.00,54.00
2026-03-04T20:44:00Z,48.00,54.00
2026-03-04T20:46:00Z,48.00,54.00
2026-03-04T20:49:00Z,48.00,54.00
2026-03-04T20:50:00Z,48.00,54.00
2026-03-04T20:56:00Z,48.00,54.00
2026-03-04T21:00:00Z,48.00,54.00
2026-03-04T21:02:00Z,48.00,54.00
2026-03-04T21:10:00Z,48.00,54.00
