# event_ticker=KXATPCHALLENGERMATCH-26JUN02MARKOP
# final_score=6-0 6-4
# match_winner=Vit Kopriva
# fav_player=Vit Kopriva
# dog_player=Andrej Martin
# kalshi_date=2026-06-02
timestamp,Andrej Martin,Vit Kopriva
2026-06-01T23:59:00Z,16.00,84.00
2026-06-02T00:00:00Z,16.00,84.00
2026-06-02T00:02:00Z,17.00,84.00
2026-06-02T01:05:00Z,17.00,84.00
2026-06-02T01:45:00Z,17.00,84.00
2026-06-02T01:47:00Z,17.00,86.00
2026-06-02T03:01:00Z,17.00,86.00
2026-06-02T03:15:00Z,16.00,86.00
2026-06-02T03:29:00Z,16.00,86.00
2026-06-02T03:30:00Z,16.00,86.00
2026-06-02T04:05:00Z,16.00,86.00
2026-06-02T04:21:00Z,16.00,86.00
2026-06-02T04:26:00Z,16.00,86.00
2026-06-02T04:44:00Z,16.00,86.00
2026-06-02T04:45:00Z,16.00,86.00
2026-06-02T05:05:00Z,15.00,86.00
2026-06-02T05:08:00Z,15.00,86.00
2026-06-02T05:37:00Z,15.00,86.59
2026-06-02T05:49:00Z,15.00,86.59
2026-06-02T05:50:00Z,14.00,86.59
2026-06-02T06:02:00Z,16.00,86.59
2026-06-02T06:15:00Z,16.00,87.00
2026-06-02T06:43:00Z,16.00,87.00
2026-06-02T07:03:00Z,15.00,87.00
2026-06-02T07:04:00Z,15.00,87.00
2026-06-02T07:17:00Z,15.00,87.00
2026-06-02T07:19:00Z,15.00,87.00
2026-06-02T08:20:00Z,15.00,87.00
2026-06-02T08:25:00Z,15.00,86.00
2026-06-02T09:25:00Z,15.60,86.00
2026-06-02T10:18:00Z,15.60,84.28
2026-06-02T10:19:00Z,19.00,84.28
2026-06-02T10:20:00Z,20.00,81.20
2026-06-02T10:21:00Z,15.00,85.00
2026-06-02T10:22:00Z,14.15,85.00
2026-06-02T10:23:00Z,15.71,85.00
2026-06-02T10:24:00Z,17.97,85.00
2026-06-02T10:25:00Z,17.00,83.00
2026-06-02T10:26:00Z,13.98,83.00
2026-06-02T10:27:00Z,12.00,87.00
2026-06-02T10:28:00Z,10.00,90.46
2026-06-02T10:29:00Z,10.00,90.46
2026-06-02T10:30:00Z,10.00,89.00
2026-06-02T10:31:00Z,9.39,89.00
2026-06-02T10:32:00Z,8.93,89.00
2026-06-02T10:33:00Z,7.00,92.00
2026-06-02T10:34:00Z,8.00,92.00
2026-06-02T10:35:00Z,6.00,93.88
2026-06-02T10:37:00Z,5.00,93.88
2026-06-02T10:39:00Z,5.00,96.00
2026-06-02T10:40:00Z,5.00,96.00
2026-06-02T10:41:00Z,4.00,96.00
2026-06-02T10:44:00Z,4.00,96.00
2026-06-02T10:45:00Z,4.00,96.00
2026-06-02T10:46:00Z,3.00,97.00
2026-06-02T10:48:00Z,3.00,98.00
2026-06-02T10:50:00Z,2.00,98.00
2026-06-02T10:51:00Z,2.00,98.00
2026-06-02T10:53:00Z,5.00,98.00
2026-06-02T10:54:00Z,3.00,98.00
2026-06-02T10:55:00Z,3.00,98.00
2026-06-02T10:56:00Z,3.00,98.00
2026-06-02T10:57:00Z,3.04,98.00
2026-06-02T10:58:00Z,3.00,98.00
2026-06-02T10:59:00Z,3.08,97.00
2026-06-02T11:00:00Z,3.01,97.00
2026-06-02T11:01:00Z,3.11,97.00
2026-06-02T11:02:00Z,3.00,97.00
2026-06-02T11:03:00Z,3.00,98.00
2026-06-02T11:04:00Z,5.00,96.00
2026-06-02T11:05:00Z,4.00,96.00
2026-06-02T11:06:00Z,4.00,97.00
2026-06-02T11:07:00Z,4.00,97.99
2026-06-02T11:09:00Z,3.00,97.02
2026-06-02T11:10:00Z,3.00,97.84
2026-06-02T11:11:00Z,5.00,96.00
2026-06-02T11:12:00Z,5.00,96.00
2026-06-02T11:13:00Z,5.38,96.00
2026-06-02T11:14:00Z,4.08,96.95
2026-06-02T11:15:00Z,4.80,96.95
2026-06-02T11:16:00Z,4.00,97.00
2026-06-02T11:17:00Z,4.41,95.07
2026-06-02T11:18:00Z,3.11,95.62
2026-06-02T11:19:00Z,2.92,97.04
2026-06-02T11:20:00Z,4.25,96.28
2026-06-02T11:21:00Z,5.17,95.09
2026-06-02T11:22:00Z,6.20,95.78
2026-06-02T11:23:00Z,7.36,94.00
2026-06-02T11:24:00Z,6.94,92.84
2026-06-02T11:25:00Z,4.00,95.50
2026-06-02T11:27:00Z,5.07,95.00
2026-06-02T11:28:00Z,4.12,96.71
2026-06-02T11:29:00Z,2.44,98.04
2026-06-02T11:30:00Z,2.56,97.78
