# event_ticker=KXATPCHALLENGERMATCH-26FEB12SIMSEK
# final_score=4-6 7-5 7-6(1)
# score_resolution=4-6 7-5 7-6
# match_winner=Ilia Simakin
# fav_player=Ilia Simakin
# dog_player=Philip Sekulic
# kalshi_date=2026-02-12
timestamp,Ilia Simakin,Philip Sekulic
2026-02-11T22:22:00Z,73.00,27.00
2026-02-11T22:48:00Z,73.00,29.00
2026-02-11T23:07:00Z,73.00,29.00
2026-02-12T01:22:00Z,74.00,29.00
2026-02-12T01:34:00Z,74.00,29.00
2026-02-12T02:19:00Z,74.00,26.00
2026-02-12T02:21:00Z,74.00,26.00
2026-02-12T02:26:00Z,74.00,26.00
2026-02-12T03:07:00Z,74.00,27.00
2026-02-12T03:20:00Z,74.00,27.00
2026-02-12T03:25:00Z,74.00,27.00
2026-02-12T03:46:00Z,74.00,27.00
2026-02-12T03:51:00Z,74.00,27.00
2026-02-12T04:00:00Z,74.00,27.00
2026-02-12T04:09:00Z,74.00,27.00
2026-02-12T04:10:00Z,74.00,27.00
2026-02-12T04:18:00Z,75.00,27.00
2026-02-12T04:29:00Z,75.00,27.00
2026-02-12T04:31:00Z,75.00,27.00
2026-02-12T04:34:00Z,75.00,27.00
2026-02-12T04:35:00Z,75.50,27.00
2026-02-12T04:42:00Z,75.50,26.00
2026-02-12T04:51:00Z,76.00,26.00
2026-02-12T04:55:00Z,76.00,26.00
2026-02-12T04:58:00Z,76.00,26.00
2026-02-12T05:00:00Z,76.00,26.00
2026-02-12T05:01:00Z,76.00,26.00
2026-02-12T05:10:00Z,74.00,26.00
2026-02-12T05:12:00Z,74.00,26.00
2026-02-12T05:14:00Z,74.00,26.00
2026-02-12T05:15:00Z,74.00,26.00
2026-02-12T05:16:00Z,74.00,27.00
2026-02-12T05:17:00Z,74.00,27.00
2026-02-12T05:20:00Z,74.00,27.00
2026-02-12T05:24:00Z,74.00,27.00
2026-02-12T05:25:00Z,74.00,27.00
2026-02-12T05:30:00Z,74.00,27.00
2026-02-12T05:32:00Z,74.00,27.00
2026-02-12T05:35:00Z,74.00,27.00
2026-02-12T05:40:00Z,74.00,27.00
2026-02-12T05:42:00Z,74.00,27.00
2026-02-12T05:44:00Z,74.00,27.00
2026-02-12T05:48:00Z,74.00,27.00
2026-02-12T05:51:00Z,74.00,26.00
2026-02-12T05:53:00Z,74.00,26.00
2026-02-12T05:54:00Z,74.00,27.00
2026-02-12T05:55:00Z,74.00,27.00
2026-02-12T05:56:00Z,74.00,27.00
2026-02-12T05:57:00Z,74.00,27.00
