# event_ticker=KXATPCHALLENGERMATCH-26MAY17CERCOL
# final_score=5-7 6-1 7-6(4)
# score_resolution=7-5 1-6 6-7
# match_winner=Juan Manuel Cerundolo
# fav_player=Raphael Collignon
# dog_player=Juan Manuel Cerundolo
# kalshi_date=2026-05-17
timestamp,Juan Manuel Cerundolo,Raphael Collignon
2026-05-17T02:28:00Z,,69.00
2026-05-17T03:11:00Z,31.00,69.00
2026-05-17T03:20:00Z,31.00,69.00
2026-05-17T03:33:00Z,31.88,69.00
2026-05-17T03:36:00Z,32.00,69.00
2026-05-17T04:14:00Z,32.00,69.00
2026-05-17T04:22:00Z,31.58,69.00
2026-05-17T04:25:00Z,31.58,69.00
2026-05-17T04:32:00Z,32.00,69.00
2026-05-17T05:56:00Z,32.00,69.00
2026-05-17T05:57:00Z,32.00,70.00
2026-05-17T06:06:00Z,32.00,70.00
2026-05-17T06:13:00Z,31.00,70.00
2026-05-17T06:18:00Z,31.00,70.00
2026-05-17T06:24:00Z,31.00,69.00
2026-05-17T06:33:00Z,31.16,69.00
2026-05-17T06:36:00Z,30.00,69.00
2026-05-17T06:38:00Z,32.00,69.00
2026-05-17T06:53:00Z,32.00,69.00
2026-05-17T07:20:00Z,32.00,69.00
2026-05-17T07:36:00Z,32.00,69.00
2026-05-17T08:06:00Z,32.00,69.00
2026-05-17T09:19:00Z,31.00,69.00
2026-05-17T09:55:00Z,31.00,69.00
2026-05-17T10:19:00Z,31.00,69.00
2026-05-17T10:20:00Z,31.00,69.00
2026-05-17T10:37:00Z,31.00,69.00
2026-05-17T10:58:00Z,31.00,69.00
2026-05-17T11:16:00Z,31.00,69.00
2026-05-17T11:44:00Z,31.00,69.00
2026-05-17T11:50:00Z,31.00,69.00
2026-05-17T11:51:00Z,33.00,69.00
2026-05-17T11:59:00Z,33.00,69.00
2026-05-17T12:00:00Z,33.00,69.00
2026-05-17T12:20:00Z,33.00,69.00
2026-05-17T12:27:00Z,33.00,69.00
2026-05-17T12:40:00Z,33.00,69.00
2026-05-17T12:49:00Z,33.00,69.00
2026-05-17T12:56:00Z,32.00,69.00
2026-05-17T12:58:00Z,32.00,69.00
2026-05-17T13:01:00Z,32.00,69.00
2026-05-17T13:02:00Z,33.00,69.00
2026-05-17T13:05:00Z,33.00,69.00
2026-05-17T13:07:00Z,33.00,69.00
2026-05-17T13:09:00Z,31.64,69.00
2026-05-17T13:10:00Z,33.00,69.00
2026-05-17T13:11:00Z,33.00,69.00
2026-05-17T13:12:00Z,33.00,69.00
2026-05-17T13:13:00Z,33.00,69.00
2026-05-17T13:14:00Z,33.00,69.00
2026-05-17T13:27:00Z,33.00,69.00
2026-05-17T13:30:00Z,33.00,69.00
2026-05-17T13:34:00Z,32.83,69.00
2026-05-17T13:44:00Z,33.00,69.00
2026-05-17T13:45:00Z,32.00,69.00
2026-05-17T13:46:00Z,33.00,69.00
2026-05-17T13:47:00Z,33.00,69.00
2026-05-17T13:51:00Z,33.00,69.00
2026-05-17T13:57:00Z,33.00,69.10
2026-05-17T13:59:00Z,33.00,69.10
2026-05-17T14:00:00Z,33.00,69.10
2026-05-17T14:01:00Z,33.00,70.00
2026-05-17T14:04:00Z,33.00,70.00
2026-05-17T14:05:00Z,33.00,70.00
2026-05-17T14:06:00Z,31.01,70.00
2026-05-17T14:07:00Z,33.00,70.00
2026-05-17T14:08:00Z,31.01,70.00
2026-05-17T14:09:00Z,31.81,69.67
2026-05-17T14:10:00Z,33.03,67.09
2026-05-17T14:11:00Z,34.37,67.87
2026-05-17T14:12:00Z,34.11,68.58
2026-05-17T14:13:00Z,32.04,68.86
2026-05-17T14:14:00Z,34.95,66.45
2026-05-17T14:15:00Z,33.28,68.29
2026-05-17T14:16:00Z,33.89,69.54
