# event_ticker=KXATPCHALLENGERMATCH-26MAY18MRVFOR
# final_score=4-6 6-4 6-2
# score_resolution=6-4 4-6 2-6
# match_winner=Maxim Mrva
# fav_player=Jonas Forejtek
# dog_player=Maxim Mrva
# kalshi_date=2026-05-18
timestamp,Maxim Mrva,Jonas Forejtek
2026-05-18T05:56:00Z,,59.00
2026-05-18T07:21:00Z,,59.00
2026-05-18T07:53:00Z,,59.00
2026-05-18T08:24:00Z,,59.00
2026-05-18T08:48:00Z,,59.00
2026-05-18T10:16:00Z,,59.00
2026-05-18T10:33:00Z,,59.00
2026-05-18T10:44:00Z,,59.00
2026-05-18T10:50:00Z,,59.00
2026-05-18T11:05:00Z,39.00,59.00
2026-05-18T11:31:00Z,39.00,62.00
2026-05-18T12:31:00Z,39.00,62.00
2026-05-18T12:41:00Z,39.00,62.00
2026-05-18T13:02:00Z,39.00,62.00
2026-05-18T13:14:00Z,39.00,62.00
2026-05-18T14:21:00Z,39.00,62.00
2026-05-18T14:25:00Z,39.00,62.00
2026-05-18T14:39:00Z,39.00,62.00
2026-05-18T14:46:00Z,39.00,63.00
2026-05-18T15:02:00Z,38.24,63.00
2026-05-18T15:04:00Z,38.24,62.00
2026-05-18T15:06:00Z,39.00,62.00
2026-05-18T15:07:00Z,39.00,62.00
2026-05-18T15:11:00Z,39.00,62.00
2026-05-18T15:17:00Z,40.20,59.00
2026-05-18T15:18:00Z,40.20,61.98
2026-05-18T15:19:00Z,38.49,60.87
2026-05-18T15:20:00Z,38.49,65.00
2026-05-18T15:21:00Z,36.00,65.57
2026-05-18T15:22:00Z,35.03,66.25
2026-05-18T15:23:00Z,35.03,66.73
2026-05-18T15:24:00Z,25.50,71.06
2026-05-18T15:25:00Z,25.75,74.01
2026-05-18T15:26:00Z,27.01,73.46
2026-05-18T15:27:00Z,28.00,71.62
2026-05-18T15:29:00Z,22.00,78.00
2026-05-18T15:30:00Z,23.00,77.76
2026-05-18T15:31:00Z,23.00,78.00
2026-05-18T15:32:00Z,18.00,81.30
2026-05-18T15:33:00Z,18.00,83.00
2026-05-18T15:34:00Z,19.00,82.00
2026-05-18T15:35:00Z,21.00,80.07
2026-05-18T15:37:00Z,21.00,79.05
2026-05-18T15:38:00Z,17.78,82.00
2026-05-18T15:39:00Z,17.00,84.00
2026-05-18T15:40:00Z,17.00,84.00
2026-05-18T15:41:00Z,19.98,80.00
2026-05-18T15:42:00Z,19.98,80.00
2026-05-18T15:43:00Z,19.98,81.00
2026-05-18T15:44:00Z,19.98,79.00
2026-05-18T15:45:00Z,21.61,79.00
2026-05-18T15:46:00Z,21.61,78.00
2026-05-18T15:47:00Z,24.93,75.88
2026-05-18T15:48:00Z,28.42,71.02
2026-05-18T15:49:00Z,32.00,66.54
2026-05-18T15:50:00Z,32.74,68.00
2026-05-18T15:51:00Z,35.00,68.00
2026-05-18T15:52:00Z,31.59,69.54
2026-05-18T15:53:00Z,21.53,76.74
2026-05-18T15:54:00Z,20.00,80.36
2026-05-18T15:55:00Z,19.00,80.36
2026-05-18T15:56:00Z,19.00,82.00
2026-05-18T15:57:00Z,16.00,83.94
2026-05-18T15:58:00Z,20.07,82.51
