# event_ticker=KXATPCHALLENGERMATCH-26MAY12MANGOM
# final_score=6-4 7-6(5)
# score_resolution=6-4 7-6
# match_winner=Federico Agustin Gomez
# fav_player=Federico Agustin Gomez
# dog_player=Skander Mansouri
# kalshi_date=2026-05-12
timestamp,Skander Mansouri,Federico Agustin Gomez
2026-05-11T22:24:00Z,16.00,
2026-05-11T22:32:00Z,16.00,
2026-05-12T00:17:00Z,16.00,
2026-05-12T01:58:00Z,14.38,
2026-05-12T03:08:00Z,14.38,88.00
2026-05-12T03:19:00Z,14.00,88.00
2026-05-12T04:25:00Z,16.00,88.00
2026-05-12T05:34:00Z,16.00,87.00
2026-05-12T05:35:00Z,15.00,86.00
2026-05-12T05:57:00Z,15.00,86.00
2026-05-12T06:22:00Z,15.00,86.00
2026-05-12T06:42:00Z,15.00,86.00
2026-05-12T07:05:00Z,15.00,86.00
2026-05-12T07:59:00Z,15.00,86.00
2026-05-12T08:00:00Z,15.00,86.00
2026-05-12T08:02:00Z,15.00,86.00
2026-05-12T08:36:00Z,15.00,86.00
2026-05-12T09:07:00Z,16.00,86.00
2026-05-12T09:14:00Z,20.00,86.00
2026-05-12T09:19:00Z,19.53,86.00
2026-05-12T09:24:00Z,11.00,90.00
2026-05-12T09:26:00Z,10.00,91.00
2026-05-12T09:28:00Z,8.00,91.00
2026-05-12T09:29:00Z,9.00,93.00
2026-05-12T09:30:00Z,9.00,91.00
2026-05-12T09:31:00Z,9.00,91.00
2026-05-12T09:32:00Z,10.05,91.00
2026-05-12T09:34:00Z,10.05,91.00
2026-05-12T09:35:00Z,9.86,92.00
2026-05-12T09:37:00Z,9.86,88.00
2026-05-12T09:38:00Z,9.86,91.00
2026-05-12T09:40:00Z,10.00,91.00
2026-05-12T09:41:00Z,9.00,91.00
2026-05-12T09:43:00Z,8.72,92.00
2026-05-12T09:47:00Z,8.72,90.00
2026-05-12T09:48:00Z,12.66,88.00
2026-05-12T09:50:00Z,15.43,84.00
2026-05-12T09:51:00Z,21.96,84.00
2026-05-12T09:54:00Z,11.00,84.00
2026-05-12T09:57:00Z,7.00,84.00
2026-05-12T09:59:00Z,6.00,84.00
2026-05-12T10:00:00Z,6.00,84.00
2026-05-12T10:01:00Z,7.00,84.00
2026-05-12T10:02:00Z,6.13,94.00
2026-05-12T10:03:00Z,4.59,96.00
2026-05-12T10:04:00Z,4.00,96.00
2026-05-12T10:05:00Z,6.00,94.55
2026-05-12T10:06:00Z,7.00,95.00
2026-05-12T10:07:00Z,7.00,95.00
2026-05-12T10:08:00Z,7.00,95.00
2026-05-12T10:09:00Z,5.80,95.00
2026-05-12T10:10:00Z,7.00,95.00
2026-05-12T10:12:00Z,7.00,95.00
2026-05-12T10:13:00Z,8.00,92.00
2026-05-12T10:16:00Z,9.95,92.00
2026-05-12T10:17:00Z,14.98,85.65
2026-05-12T10:18:00Z,18.26,81.13
2026-05-12T10:19:00Z,17.00,86.00
2026-05-12T10:20:00Z,18.64,87.00
2026-05-12T10:22:00Z,19.86,87.00
2026-05-12T10:24:00Z,23.00,77.00
2026-05-12T10:25:00Z,20.00,77.00
2026-05-12T10:27:00Z,20.00,78.00
2026-05-12T10:29:00Z,20.00,81.00
2026-05-12T10:30:00Z,13.00,81.00
2026-05-12T10:31:00Z,14.00,81.00
2026-05-12T10:32:00Z,17.00,81.00
2026-05-12T10:33:00Z,11.00,81.00
2026-05-12T10:34:00Z,4.00,92.67
2026-05-12T10:37:00Z,6.28,92.67
2026-05-12T10:39:00Z,6.44,92.67
2026-05-12T10:40:00Z,4.95,92.67
2026-05-12T10:41:00Z,4.00,96.00
2026-05-12T10:42:00Z,6.02,94.03
2026-05-12T10:44:00Z,6.02,94.00
2026-05-12T10:46:00Z,6.02,94.18
2026-05-12T10:47:00Z,5.00,96.00
2026-05-12T10:48:00Z,5.00,97.00
2026-05-12T10:49:00Z,2.00,97.57
2026-05-12T10:50:00Z,2.00,98.00
2026-05-12T10:51:00Z,2.00,98.00
2026-05-12T10:53:00Z,1.50,97.00
2026-05-12T10:54:00Z,1.50,95.50
2026-05-12T10:55:00Z,1.50,93.64
2026-05-12T10:56:00Z,1.50,93.14
2026-05-12T10:57:00Z,1.50,89.55
2026-05-12T10:58:00Z,13.18,87.72
2026-05-12T10:59:00Z,14.69,85.00
2026-05-12T11:00:00Z,15.00,85.00
2026-05-12T11:01:00Z,12.97,85.00
2026-05-12T11:02:00Z,13.98,86.00
2026-05-12T11:03:00Z,15.22,85.56
2026-05-12T11:04:00Z,14.54,84.19
2026-05-12T11:05:00Z,12.70,86.74
2026-05-12T11:06:00Z,12.70,87.00
2026-05-12T11:07:00Z,12.00,87.00
2026-05-12T11:08:00Z,10.24,91.46
2026-05-12T11:09:00Z,11.20,88.92
2026-05-12T11:10:00Z,18.40,84.19
2026-05-12T11:11:00Z,13.91,92.22
2026-05-12T11:12:00Z,13.38,89.67
2026-05-12T11:13:00Z,1.34,98.48
2026-05-12T11:14:00Z,1.34,99.00
2026-05-12T11:19:00Z,1.00,99.00
2026-05-12T11:20:00Z,1.00,99.00
