# event_ticker=KXATPCHALLENGERMATCH-26MAY26VUJNAP
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Stefano Napolitano
# fav_player=Stefan Vujic
# dog_player=Stefano Napolitano
# kalshi_date=2026-05-26
timestamp,Stefan Vujic,Stefano Napolitano
2026-05-26T05:46:00Z,9.00,
2026-05-26T05:48:00Z,9.00,
2026-05-26T08:00:00Z,8.00,
2026-05-26T08:26:00Z,9.00,
2026-05-26T11:54:00Z,9.00,
2026-05-26T12:47:00Z,9.99,
2026-05-26T13:28:00Z,9.99,92.00
2026-05-26T13:41:00Z,9.00,92.00
2026-05-26T13:52:00Z,10.00,92.00
2026-05-26T14:03:00Z,10.00,92.00
2026-05-26T14:09:00Z,10.00,92.00
2026-05-26T15:02:00Z,10.00,92.00
2026-05-26T15:04:00Z,10.00,92.00
2026-05-26T15:10:00Z,10.00,92.00
2026-05-26T15:15:00Z,7.67,92.00
2026-05-26T15:16:00Z,7.67,92.00
2026-05-26T15:17:00Z,10.00,92.00
2026-05-26T15:19:00Z,10.00,92.00
2026-05-26T15:20:00Z,10.00,92.00
2026-05-26T15:21:00Z,9.81,92.00
2026-05-26T15:22:00Z,10.00,92.00
2026-05-26T15:26:00Z,9.00,93.00
2026-05-26T15:27:00Z,5.21,94.49
2026-05-26T15:28:00Z,5.00,96.00
2026-05-26T15:29:00Z,5.00,96.00
2026-05-26T15:30:00Z,5.00,96.00
2026-05-26T15:31:00Z,5.00,96.00
2026-05-26T15:32:00Z,4.00,96.00
2026-05-26T15:33:00Z,3.36,96.97
2026-05-26T15:34:00Z,3.00,97.00
2026-05-26T15:35:00Z,3.00,97.00
2026-05-26T15:36:00Z,4.00,97.00
2026-05-26T15:37:00Z,4.00,97.00
2026-05-26T15:38:00Z,2.96,97.00
2026-05-26T15:39:00Z,4.21,97.00
2026-05-26T15:40:00Z,3.08,97.00
2026-05-26T15:41:00Z,3.08,98.00
2026-05-26T15:42:00Z,3.00,98.00
2026-05-26T15:45:00Z,3.00,98.00
2026-05-26T15:46:00Z,3.00,97.00
2026-05-26T15:47:00Z,2.25,98.00
2026-05-26T15:48:00Z,2.00,98.00
2026-05-26T15:49:00Z,2.40,99.00
2026-05-26T15:50:00Z,2.93,98.67
2026-05-26T15:51:00Z,2.00,99.00
2026-05-26T15:52:00Z,2.00,98.00
2026-05-26T15:53:00Z,2.00,98.00
2026-05-26T15:54:00Z,2.00,98.00
2026-05-26T15:55:00Z,2.00,98.00
2026-05-26T15:56:00Z,2.00,98.00
2026-05-26T15:57:00Z,2.00,98.00
2026-05-26T15:59:00Z,2.02,98.00
2026-05-26T16:00:00Z,3.00,98.00
2026-05-26T16:01:00Z,3.00,98.00
2026-05-26T16:02:00Z,2.78,98.00
2026-05-26T16:03:00Z,3.00,98.31
2026-05-26T16:04:00Z,3.00,98.31
2026-05-26T16:05:00Z,3.00,98.31
2026-05-26T16:06:00Z,3.00,97.98
2026-05-26T16:07:00Z,2.02,98.00
2026-05-26T16:08:00Z,2.00,98.00
2026-05-26T16:09:00Z,2.10,98.00
2026-05-26T16:10:00Z,2.20,98.00
2026-05-26T16:12:00Z,2.00,98.00
2026-05-26T16:13:00Z,1.00,98.00
2026-05-26T16:14:00Z,2.00,98.00
2026-05-26T16:15:00Z,1.98,98.00
2026-05-26T16:16:00Z,2.00,98.00
2026-05-26T16:17:00Z,1.53,98.00
2026-05-26T16:18:00Z,2.00,98.00
2026-05-26T16:19:00Z,1.00,98.00
2026-05-26T16:20:00Z,2.00,98.00
2026-05-26T16:21:00Z,2.00,99.00
2026-05-26T16:23:00Z,2.00,99.00
2026-05-26T16:24:00Z,2.00,99.00
2026-05-26T16:25:00Z,2.00,99.00
2026-05-26T16:26:00Z,2.00,99.00
2026-05-26T16:27:00Z,2.77,98.11
2026-05-26T16:28:00Z,2.00,99.00
2026-05-26T16:29:00Z,2.00,99.00
2026-05-26T16:30:00Z,1.62,99.00
2026-05-26T16:31:00Z,3.23,97.99
2026-05-26T16:32:00Z,2.00,97.99
2026-05-26T16:33:00Z,2.06,97.99
2026-05-26T16:34:00Z,2.00,99.00
2026-05-26T16:35:00Z,2.00,99.00
2026-05-26T16:36:00Z,2.00,99.00
2026-05-26T16:37:00Z,2.00,99.00
2026-05-26T16:38:00Z,2.76,98.59
2026-05-26T16:39:00Z,2.10,98.02
2026-05-26T16:40:00Z,2.91,97.95
2026-05-26T16:41:00Z,4.70,96.08
2026-05-26T16:42:00Z,4.81,96.49
2026-05-26T16:43:00Z,3.48,98.81
2026-05-26T16:44:00Z,1.61,98.67
2026-05-26T16:45:00Z,1.90,99.00
2026-05-26T16:46:00Z,1.00,99.00
2026-05-26T16:47:00Z,2.00,99.00
2026-05-26T16:48:00Z,2.00,99.00
2026-05-26T16:49:00Z,2.00,99.00
2026-05-26T16:50:00Z,1.00,99.00
2026-05-26T16:52:00Z,1.00,99.00
