# event_ticker=KXATPCHALLENGERMATCH-26MAR17CATHAY
# final_score=6-3 7-6(4)
# score_resolution=3-6 6-7
# match_winner=Alejandro Hayen
# fav_player=Robin Catry
# dog_player=Alejandro Hayen
# kalshi_date=2026-03-17
timestamp,Robin Catry,Alejandro Hayen
2026-03-17T07:59:00Z,84.98,
2026-03-17T08:00:00Z,86.89,
2026-03-17T08:01:00Z,87.00,
2026-03-17T08:37:00Z,87.00,
2026-03-17T08:44:00Z,87.00,13.10
2026-03-17T08:51:00Z,87.00,10.00
2026-03-17T10:05:00Z,87.00,12.00
2026-03-17T10:32:00Z,90.26,9.00
2026-03-17T11:37:00Z,90.26,11.00
2026-03-17T12:35:00Z,90.26,11.00
2026-03-17T12:38:00Z,90.00,11.00
2026-03-17T12:52:00Z,90.00,11.00
2026-03-17T13:02:00Z,90.00,11.00
2026-03-17T14:09:00Z,90.00,11.00
2026-03-17T14:55:00Z,90.00,11.00
2026-03-17T15:18:00Z,90.00,10.00
2026-03-17T15:37:00Z,90.00,10.00
2026-03-17T16:05:00Z,90.00,10.00
2026-03-17T16:06:00Z,90.00,10.00
2026-03-17T16:07:00Z,90.00,10.00
2026-03-17T16:12:00Z,90.00,10.00
2026-03-17T16:50:00Z,90.00,10.00
2026-03-17T17:01:00Z,90.00,10.00
2026-03-17T17:02:00Z,90.00,10.00
2026-03-17T17:06:00Z,90.00,10.00
2026-03-17T17:19:00Z,90.00,11.00
2026-03-17T17:21:00Z,90.00,11.00
2026-03-17T17:29:00Z,90.00,11.00
2026-03-17T17:39:00Z,90.00,11.00
2026-03-17T17:46:00Z,90.00,11.00
2026-03-17T17:51:00Z,90.00,11.00
2026-03-17T18:00:00Z,90.00,12.00
2026-03-17T18:02:00Z,91.00,12.00
2026-03-17T18:03:00Z,91.00,12.00
2026-03-17T18:04:00Z,88.00,12.00
2026-03-17T18:06:00Z,91.00,11.97
2026-03-17T18:07:00Z,91.00,11.85
2026-03-17T18:08:00Z,91.00,11.80
2026-03-17T18:09:00Z,91.00,9.65
2026-03-17T18:10:00Z,91.00,12.59
