# event_ticker=KXATPMATCH-25AUG19VANARN
# final_score=6-3 6-3
# match_winner=Botic van de Zandschulp
# fav_player=Botic Van de Zandschulp
# dog_player=Matteo Arnaldi
# kalshi_date=2025-08-19
timestamp,Botic Van de Zandschulp,Matteo Arnaldi
2025-08-19T12:46:00Z,49.51,
2025-08-19T13:26:00Z,49.51,54.00
2025-08-19T13:54:00Z,49.51,53.00
2025-08-19T14:55:00Z,49.51,55.00
2025-08-19T15:35:00Z,49.51,55.00
2025-08-19T15:42:00Z,46.00,55.00
2025-08-19T16:00:00Z,46.00,55.00
2025-08-19T16:16:00Z,47.00,55.00
2025-08-19T17:00:00Z,47.00,54.00
2025-08-19T17:36:00Z,47.00,54.00
2025-08-19T17:39:00Z,47.00,54.00
2025-08-19T17:53:00Z,47.00,54.00
2025-08-19T18:36:00Z,47.00,53.00
2025-08-19T19:29:00Z,47.00,53.00
2025-08-19T19:30:00Z,48.00,53.00
2025-08-19T20:06:00Z,48.00,53.00
2025-08-19T20:07:00Z,48.00,53.00
2025-08-19T20:22:00Z,48.00,53.00
2025-08-19T20:23:00Z,48.00,53.00
2025-08-19T20:27:00Z,48.00,53.00
2025-08-19T20:34:00Z,47.00,53.00
2025-08-19T20:41:00Z,47.00,53.00
2025-08-19T20:48:00Z,47.00,53.00
2025-08-19T20:56:00Z,47.00,53.00
2025-08-19T21:05:00Z,47.00,53.00
2025-08-19T21:17:00Z,47.00,53.00
2025-08-19T21:21:00Z,48.00,53.00
2025-08-19T21:22:00Z,48.00,53.00
2025-08-19T21:24:00Z,48.00,53.00
2025-08-19T21:46:00Z,48.00,53.00
2025-08-19T21:51:00Z,48.00,53.39
2025-08-19T21:52:00Z,48.00,54.00
2025-08-19T21:55:00Z,48.00,54.00
2025-08-19T21:56:00Z,48.00,54.00
2025-08-19T21:57:00Z,48.50,54.00
2025-08-19T22:00:00Z,48.00,54.00
2025-08-19T22:01:00Z,50.15,54.00
2025-08-19T22:02:00Z,49.00,54.00
2025-08-19T22:03:00Z,49.00,54.00
2025-08-19T22:04:00Z,49.00,54.00
2025-08-19T22:05:00Z,49.08,54.00
2025-08-19T22:06:00Z,49.08,53.00
2025-08-19T22:07:00Z,49.45,53.08
2025-08-19T22:08:00Z,54.16,51.02
2025-08-19T22:09:00Z,48.08,53.76
2025-08-19T22:10:00Z,47.92,52.81
2025-08-19T22:11:00Z,47.04,54.00
2025-08-19T22:12:00Z,46.00,54.00
2025-08-19T22:13:00Z,45.00,55.12
2025-08-19T22:14:00Z,45.00,55.78
2025-08-19T22:15:00Z,46.00,57.00
2025-08-19T22:16:00Z,46.00,55.61
2025-08-19T22:17:00Z,53.00,55.61
2025-08-19T22:18:00Z,53.00,55.00
2025-08-19T22:19:00Z,53.00,52.37
2025-08-19T22:20:00Z,53.00,47.00
2025-08-19T22:21:00Z,54.22,46.00
2025-08-19T22:23:00Z,49.00,53.73
2025-08-19T22:24:00Z,50.00,53.94
2025-08-19T22:25:00Z,50.00,57.91
2025-08-19T22:29:00Z,52.34,48.22
2025-08-19T22:30:00Z,62.12,40.18
2025-08-19T22:31:00Z,63.00,40.18
2025-08-19T22:32:00Z,66.00,40.18
2025-08-19T22:33:00Z,66.00,40.18
2025-08-19T22:34:00Z,66.00,36.00
