# event_ticker=KXATPCHALLENGERMATCH-26MAY05RODPER
# final_score=7-6(3) 6-2
# score_resolution=7-6 6-2
# match_winner=Lorenzo Joaquin Rodriguez
# fav_player=Lorenzo Joaquin Rodriguez
# dog_player=Jose Pereira
# kalshi_date=2026-05-05
timestamp,Lorenzo Joaquin Rodriguez,Jose Pereira
2026-05-05T11:54:00Z,,24.00
2026-05-05T14:46:00Z,,22.00
2026-05-05T15:36:00Z,76.64,23.02
2026-05-05T15:56:00Z,76.64,24.00
2026-05-05T16:00:00Z,76.64,25.96
2026-05-05T16:01:00Z,76.64,27.00
2026-05-05T16:03:00Z,76.00,25.00
2026-05-05T16:16:00Z,74.00,25.00
2026-05-05T16:19:00Z,74.00,27.00
2026-05-05T16:50:00Z,74.00,25.00
2026-05-05T16:54:00Z,73.00,25.00
2026-05-05T16:55:00Z,73.00,25.00
2026-05-05T16:56:00Z,73.00,25.00
2026-05-05T17:39:00Z,76.00,25.00
2026-05-05T17:49:00Z,76.00,25.00
2026-05-05T17:52:00Z,76.00,25.00
2026-05-05T18:57:00Z,76.00,26.00
2026-05-05T19:01:00Z,76.00,27.00
2026-05-05T19:09:00Z,75.00,27.00
2026-05-05T19:26:00Z,76.00,27.00
2026-05-05T19:33:00Z,76.00,27.00
2026-05-05T19:36:00Z,76.00,27.00
2026-05-05T19:37:00Z,76.00,26.00
2026-05-05T19:38:00Z,76.00,26.00
2026-05-05T19:58:00Z,76.00,26.00
2026-05-05T20:01:00Z,76.00,26.00
2026-05-05T20:28:00Z,76.00,26.00
2026-05-05T20:31:00Z,76.00,26.00
2026-05-05T20:40:00Z,76.00,26.00
2026-05-05T20:46:00Z,76.00,26.00
2026-05-05T20:48:00Z,76.00,26.00
2026-05-05T20:49:00Z,76.00,25.00
2026-05-05T20:57:00Z,75.00,25.00
2026-05-05T21:01:00Z,76.00,25.00
2026-05-05T21:10:00Z,76.00,25.00
2026-05-05T21:14:00Z,76.00,25.00
2026-05-05T21:15:00Z,76.00,25.00
2026-05-05T21:16:00Z,76.00,25.00
2026-05-05T21:17:00Z,76.00,25.00
2026-05-05T21:19:00Z,76.00,25.00
2026-05-05T21:28:00Z,76.00,25.00
2026-05-05T21:30:00Z,76.00,25.00
