# event_ticker=KXATPMATCH-25JUL29SHATIE
# final_score=7-6(4) 7-5
# score_resolution=6-7 5-7
# match_winner=Learner Tien
# fav_player=Denis Shapovalov
# dog_player=Learner Tien
# kalshi_date=2025-07-29
timestamp,Denis Shapovalov,Learner Tien
2025-07-29T15:02:00Z,,38.00
2025-07-29T15:03:00Z,64.00,38.00
2025-07-29T15:09:00Z,64.00,39.00
2025-07-29T15:14:00Z,62.86,39.00
2025-07-29T15:43:00Z,63.00,39.00
2025-07-29T16:24:00Z,62.00,39.00
2025-07-29T18:03:00Z,62.00,38.00
2025-07-29T18:52:00Z,62.09,38.00
2025-07-29T19:10:00Z,64.00,38.00
2025-07-29T19:47:00Z,64.00,38.00
2025-07-29T19:58:00Z,62.00,38.00
2025-07-29T20:00:00Z,62.00,39.00
2025-07-29T20:10:00Z,62.00,39.00
2025-07-29T20:11:00Z,62.00,39.00
2025-07-29T20:36:00Z,61.00,39.00
2025-07-29T20:50:00Z,61.00,39.00
2025-07-29T20:53:00Z,61.00,40.00
2025-07-29T21:15:00Z,62.00,40.00
2025-07-29T21:32:00Z,62.00,40.00
2025-07-29T21:46:00Z,62.00,40.00
2025-07-29T21:57:00Z,62.00,40.00
2025-07-29T22:01:00Z,62.00,40.00
2025-07-29T22:09:00Z,62.00,40.00
2025-07-29T22:11:00Z,62.00,39.00
2025-07-29T22:21:00Z,62.00,40.00
2025-07-29T22:29:00Z,62.00,40.00
2025-07-29T22:30:00Z,62.00,40.00
2025-07-29T22:35:00Z,62.00,40.00
2025-07-29T22:37:00Z,62.00,40.00
2025-07-29T22:41:00Z,62.00,40.00
2025-07-29T22:44:00Z,62.00,40.00
2025-07-29T22:53:00Z,62.00,40.00
2025-07-29T22:55:00Z,62.00,40.00
2025-07-29T22:59:00Z,62.00,40.00
2025-07-29T23:00:00Z,62.00,40.00
2025-07-29T23:06:00Z,62.00,39.00
2025-07-29T23:10:00Z,64.75,39.00
2025-07-29T23:12:00Z,64.75,37.00
2025-07-29T23:13:00Z,65.50,34.00
2025-07-29T23:16:00Z,64.00,34.00
2025-07-29T23:18:00Z,66.00,34.00
2025-07-29T23:19:00Z,66.00,34.00
2025-07-29T23:20:00Z,66.00,34.00
2025-07-29T23:21:00Z,62.00,34.00
2025-07-29T23:22:00Z,62.00,39.00
2025-07-29T23:23:00Z,62.00,44.00
2025-07-29T23:24:00Z,62.00,44.06
2025-07-29T23:26:00Z,65.00,40.00
2025-07-29T23:27:00Z,65.00,38.00
2025-07-29T23:28:00Z,64.00,38.00
2025-07-29T23:29:00Z,64.00,38.21
2025-07-29T23:30:00Z,67.90,36.26
2025-07-29T23:31:00Z,72.03,33.00
2025-07-29T23:32:00Z,75.17,26.78
2025-07-29T23:33:00Z,79.08,25.43
2025-07-29T23:34:00Z,80.13,22.00
2025-07-29T23:35:00Z,81.00,21.00
2025-07-29T23:36:00Z,83.00,21.00
2025-07-29T23:37:00Z,80.01,21.00
2025-07-29T23:38:00Z,79.00,21.00
2025-07-29T23:40:00Z,73.00,32.75
2025-07-29T23:41:00Z,66.42,34.96
2025-07-29T23:42:00Z,66.00,34.67
2025-07-29T23:43:00Z,63.46,37.00
2025-07-29T23:44:00Z,60.51,42.26
2025-07-29T23:45:00Z,60.51,41.00
2025-07-29T23:46:00Z,60.51,39.00
2025-07-29T23:47:00Z,60.42,39.36
2025-07-29T23:48:00Z,78.44,37.00
2025-07-29T23:49:00Z,60.00,38.76
2025-07-29T23:50:00Z,59.00,40.04
2025-07-29T23:51:00Z,56.03,42.83
2025-07-29T23:52:00Z,49.80,48.38
2025-07-29T23:53:00Z,48.59,49.26
2025-07-29T23:54:00Z,50.00,47.00
2025-07-29T23:55:00Z,48.86,55.00
2025-07-29T23:56:00Z,42.97,56.51
2025-07-29T23:57:00Z,44.34,55.41
2025-07-29T23:58:00Z,38.52,62.66
2025-07-29T23:59:00Z,33.43,67.00
2025-07-30T00:00:00Z,32.00,67.00
2025-07-30T00:02:00Z,30.00,67.99
2025-07-30T00:03:00Z,26.46,71.95
2025-07-30T00:04:00Z,26.46,71.63
2025-07-30T00:05:00Z,33.00,70.00
2025-07-30T00:06:00Z,31.00,70.00
2025-07-30T00:07:00Z,31.90,68.10
2025-07-30T00:08:00Z,29.00,68.10
2025-07-30T00:09:00Z,32.23,70.28
2025-07-30T00:10:00Z,34.33,67.46
2025-07-30T00:11:00Z,34.59,67.46
2025-07-30T00:12:00Z,34.59,60.00
2025-07-30T00:13:00Z,48.96,60.00
2025-07-30T00:14:00Z,53.18,49.88
2025-07-30T00:15:00Z,53.98,48.00
2025-07-30T00:16:00Z,55.00,48.00
2025-07-30T00:17:00Z,44.39,54.82
2025-07-30T00:18:00Z,41.00,57.86
2025-07-30T00:19:00Z,29.00,69.11
2025-07-30T00:20:00Z,33.00,69.46
2025-07-30T00:21:00Z,34.00,70.38
2025-07-30T00:22:00Z,37.30,61.78
2025-07-30T00:23:00Z,43.97,56.16
2025-07-30T00:24:00Z,54.00,46.00
2025-07-30T00:25:00Z,55.08,44.55
2025-07-30T00:26:00Z,59.72,37.00
2025-07-30T00:27:00Z,59.72,37.00
2025-07-30T00:28:00Z,63.00,40.00
2025-07-30T00:29:00Z,63.00,41.00
2025-07-30T00:30:00Z,60.00,41.12
2025-07-30T00:31:00Z,57.29,43.69
2025-07-30T00:32:00Z,44.47,55.94
2025-07-30T00:33:00Z,43.45,53.93
2025-07-30T00:34:00Z,36.00,63.92
2025-07-30T00:35:00Z,31.81,73.31
2025-07-30T00:36:00Z,22.95,79.17
2025-07-30T00:37:00Z,30.00,66.65
2025-07-30T00:38:00Z,26.16,76.86
2025-07-30T00:39:00Z,26.10,74.83
2025-07-30T00:40:00Z,32.97,66.45
2025-07-30T00:41:00Z,29.00,71.69
2025-07-30T00:42:00Z,20.03,79.86
2025-07-30T00:43:00Z,21.16,85.01
2025-07-30T00:44:00Z,1.00,99.00
2025-07-30T00:45:00Z,1.00,99.00
