# event_ticker=KXATPCHALLENGERMATCH-26MAR10DUCSTR
# final_score=6-7(3) 6-4 6-4
# score_resolution=6-7 6-4 6-4
# match_winner=James Duckworth
# fav_player=James Duckworth
# dog_player=Jan-Lennard Struff
# kalshi_date=2026-03-10
timestamp,James Duckworth,Jan-Lennard Struff
2026-03-10T10:37:00Z,,67.00
2026-03-10T10:38:00Z,,68.00
2026-03-10T10:39:00Z,,67.00
2026-03-10T10:44:00Z,31.00,67.00
2026-03-10T10:54:00Z,31.00,74.00
2026-03-10T12:14:00Z,31.00,74.00
2026-03-10T12:19:00Z,31.00,74.00
2026-03-10T12:24:00Z,31.00,74.00
2026-03-10T12:28:00Z,31.00,74.00
2026-03-10T12:33:00Z,31.00,74.00
2026-03-10T12:38:00Z,31.00,74.00
2026-03-10T12:48:00Z,31.00,74.00
2026-03-10T12:52:00Z,31.00,74.00
2026-03-10T14:30:00Z,31.00,66.00
2026-03-10T15:46:00Z,31.00,67.00
2026-03-10T16:08:00Z,31.00,67.00
2026-03-10T16:16:00Z,35.00,67.00
2026-03-10T18:28:00Z,36.00,67.00
2026-03-10T18:39:00Z,36.00,66.00
2026-03-10T20:24:00Z,36.00,65.00
2026-03-10T20:38:00Z,36.00,66.69
2026-03-10T20:49:00Z,36.00,66.00
2026-03-10T20:51:00Z,36.00,66.00
2026-03-10T20:52:00Z,36.00,66.00
2026-03-10T21:56:00Z,36.00,66.99
2026-03-10T21:57:00Z,36.00,67.00
2026-03-10T21:58:00Z,36.00,65.19
2026-03-10T22:00:00Z,36.00,64.00
2026-03-10T22:01:00Z,39.86,63.96
2026-03-10T22:02:00Z,41.00,61.11
2026-03-10T22:03:00Z,46.97,61.11
2026-03-10T22:05:00Z,33.00,66.86
2026-03-10T22:06:00Z,30.82,75.80
2026-03-10T22:07:00Z,35.75,75.80
2026-03-10T22:08:00Z,40.00,75.80
2026-03-10T22:09:00Z,41.38,61.62
2026-03-10T22:10:00Z,47.33,58.00
2026-03-10T22:11:00Z,45.00,58.00
2026-03-10T22:12:00Z,34.93,60.00
2026-03-10T22:13:00Z,53.00,60.00
2026-03-10T22:14:00Z,41.00,60.00
2026-03-10T22:16:00Z,41.00,69.16
2026-03-10T22:17:00Z,31.89,70.38
2026-03-10T22:18:00Z,38.00,61.91
2026-03-10T22:19:00Z,41.28,61.92
2026-03-10T22:20:00Z,45.89,57.35
2026-03-10T22:21:00Z,45.89,62.00
2026-03-10T22:22:00Z,50.00,52.00
2026-03-10T22:23:00Z,39.00,60.82
2026-03-10T22:24:00Z,41.00,61.16
