# event_ticker=KXATPMATCH-26JAN03VACKOR
# final_score=7-6(1) 6-3
# score_resolution=7-6 6-3
# match_winner=Sebastian Korda
# fav_player=Sebastian Korda
# dog_player=Valentin Vacherot
# kalshi_date=2026-01-03
timestamp,Sebastian Korda,Valentin Vacherot
2026-01-04T14:54:00Z,,40.00
2026-01-04T16:10:00Z,,38.00
2026-01-04T16:39:00Z,,38.00
2026-01-04T18:01:00Z,61.00,38.00
2026-01-04T18:43:00Z,61.00,36.00
2026-01-04T19:02:00Z,65.00,36.00
2026-01-04T20:01:00Z,64.00,36.00
2026-01-04T20:31:00Z,64.00,36.00
2026-01-04T20:53:00Z,64.00,36.00
2026-01-04T20:57:00Z,64.00,36.00
2026-01-04T21:05:00Z,64.00,36.47
2026-01-04T21:41:00Z,64.00,36.47
2026-01-04T21:42:00Z,64.00,37.00
2026-01-04T21:46:00Z,64.00,37.00
2026-01-04T22:12:00Z,64.00,37.00
2026-01-04T22:25:00Z,64.00,37.00
2026-01-04T22:31:00Z,64.00,37.00
2026-01-04T22:52:00Z,64.00,37.00
2026-01-04T23:10:00Z,63.00,37.00
2026-01-04T23:12:00Z,63.00,37.39
2026-01-04T23:25:00Z,63.00,37.39
2026-01-04T23:50:00Z,63.26,38.00
2026-01-04T23:52:00Z,64.00,38.00
2026-01-04T23:53:00Z,64.00,38.00
2026-01-04T23:59:00Z,64.00,38.00
2026-01-05T00:02:00Z,64.00,38.00
2026-01-05T00:29:00Z,64.00,38.00
2026-01-05T00:30:00Z,64.00,38.00
2026-01-05T00:31:00Z,64.00,38.00
2026-01-05T00:41:00Z,63.52,38.00
2026-01-05T00:56:00Z,61.97,36.00
2026-01-05T00:59:00Z,64.00,38.00
2026-01-05T01:03:00Z,64.00,38.71
2026-01-05T01:06:00Z,64.00,39.00
2026-01-05T01:07:00Z,64.00,39.00
2026-01-05T01:08:00Z,63.00,39.00
2026-01-05T01:11:00Z,63.00,35.68
2026-01-05T01:12:00Z,62.13,41.00
2026-01-05T01:13:00Z,62.00,41.57
2026-01-05T01:14:00Z,61.33,41.57
2026-01-05T01:15:00Z,61.33,42.17
2026-01-05T01:16:00Z,63.00,40.00
2026-01-05T01:17:00Z,60.00,43.00
2026-01-05T01:19:00Z,60.00,43.00
2026-01-05T01:20:00Z,56.00,45.70
2026-01-05T01:22:00Z,59.00,41.00
2026-01-05T01:23:00Z,59.00,44.78
2026-01-05T01:25:00Z,57.00,44.78
2026-01-05T01:26:00Z,50.38,52.00
2026-01-05T01:27:00Z,48.00,51.76
2026-01-05T01:28:00Z,58.67,43.15
2026-01-05T01:29:00Z,60.30,39.57
2026-01-05T01:30:00Z,68.14,31.04
2026-01-05T01:31:00Z,68.14,36.74
2026-01-05T01:32:00Z,61.00,45.89
2026-01-05T01:33:00Z,56.00,44.00
2026-01-05T01:34:00Z,56.00,45.87
2026-01-05T01:35:00Z,58.00,45.87
2026-01-05T01:36:00Z,58.03,45.87
2026-01-05T01:37:00Z,57.86,44.32
2026-01-05T01:38:00Z,55.00,47.19
2026-01-05T01:39:00Z,54.00,50.00
2026-01-05T01:40:00Z,52.99,48.00
2026-01-05T01:41:00Z,56.07,45.00
2026-01-05T01:42:00Z,56.07,43.48
2026-01-05T01:43:00Z,56.07,40.00
2026-01-05T01:44:00Z,62.04,39.98
2026-01-05T01:45:00Z,58.00,39.98
2026-01-05T01:46:00Z,58.00,44.00
2026-01-05T01:47:00Z,62.00,44.00
2026-01-05T01:48:00Z,56.00,45.00
2026-01-05T01:49:00Z,56.00,44.00
2026-01-05T01:50:00Z,60.07,44.00
