# event_ticker=KXATPCHALLENGERMATCH-26APR07NIKABO
# final_score=6-1 6-4
# match_winner=Johan Nikles
# fav_player=Johan Nikles
# dog_player=Valerio Aboian
# kalshi_date=2026-04-07
timestamp,Johan Nikles,Valerio Aboian
2026-04-07T05:14:00Z,,47.52
2026-04-07T06:03:00Z,52.00,47.52
2026-04-07T12:53:00Z,53.00,47.52
2026-04-07T13:10:00Z,54.00,47.52
2026-04-07T13:21:00Z,54.00,45.50
2026-04-07T13:22:00Z,56.00,45.50
2026-04-07T13:25:00Z,55.00,45.50
2026-04-07T13:26:00Z,60.06,45.50
2026-04-07T13:31:00Z,57.00,45.50
2026-04-07T13:34:00Z,55.00,45.50
2026-04-07T13:39:00Z,55.00,48.00
2026-04-07T13:40:00Z,52.19,49.00
2026-04-07T13:41:00Z,56.00,47.44
2026-04-07T13:42:00Z,56.00,43.97
2026-04-07T13:43:00Z,51.00,45.56
2026-04-07T13:44:00Z,51.00,51.77
2026-04-07T13:45:00Z,51.00,55.00
2026-04-07T13:46:00Z,51.00,51.37
2026-04-07T13:47:00Z,57.00,42.00
2026-04-07T13:48:00Z,58.63,41.00
2026-04-07T13:49:00Z,54.15,46.00
2026-04-07T13:50:00Z,58.00,46.00
2026-04-07T13:52:00Z,58.00,44.00
2026-04-07T13:53:00Z,59.99,44.00
2026-04-07T13:54:00Z,61.00,41.93
2026-04-07T13:57:00Z,60.97,42.15
2026-04-07T13:58:00Z,63.00,42.15
2026-04-07T13:59:00Z,60.96,42.15
2026-04-07T14:00:00Z,62.31,43.00
2026-04-07T14:01:00Z,59.82,43.00
2026-04-07T14:02:00Z,63.28,36.10
2026-04-07T14:04:00Z,63.73,39.00
2026-04-07T14:07:00Z,65.01,37.00
2026-04-07T14:09:00Z,61.60,39.00
2026-04-07T14:10:00Z,64.59,37.84
2026-04-07T14:11:00Z,67.00,37.84
2026-04-07T14:12:00Z,67.00,41.63
2026-04-07T14:13:00Z,67.00,40.18
2026-04-07T14:14:00Z,69.29,33.53
2026-04-07T14:15:00Z,65.00,37.00
2026-04-07T14:16:00Z,72.79,28.14
2026-04-07T14:17:00Z,74.00,25.03
2026-04-07T14:18:00Z,74.00,28.00
2026-04-07T14:19:00Z,75.10,25.76
2026-04-07T14:20:00Z,75.00,25.76
2026-04-07T14:21:00Z,79.00,25.76
2026-04-07T14:22:00Z,79.00,21.00
2026-04-07T14:24:00Z,80.00,19.00
2026-04-07T14:25:00Z,80.00,17.06
2026-04-07T14:26:00Z,82.84,19.00
2026-04-07T14:30:00Z,85.00,16.00
2026-04-07T14:32:00Z,85.00,16.00
2026-04-07T14:33:00Z,85.00,16.00
2026-04-07T14:34:00Z,84.00,16.00
2026-04-07T14:35:00Z,83.00,15.00
2026-04-07T14:36:00Z,88.72,16.76
2026-04-07T14:37:00Z,91.67,15.80
2026-04-07T14:38:00Z,88.00,13.23
2026-04-07T14:39:00Z,90.00,11.00
2026-04-07T14:40:00Z,90.90,6.00
2026-04-07T14:41:00Z,93.00,8.64
2026-04-07T14:42:00Z,95.45,5.78
2026-04-07T14:43:00Z,91.45,10.96
2026-04-07T14:44:00Z,93.17,7.38
2026-04-07T14:45:00Z,94.14,5.31
2026-04-07T14:46:00Z,95.71,3.93
2026-04-07T14:47:00Z,97.30,3.19
2026-04-07T14:48:00Z,97.15,4.00
2026-04-07T14:49:00Z,98.04,1.09
2026-04-07T14:50:00Z,98.04,2.67
2026-04-07T14:51:00Z,98.04,1.00
2026-04-07T14:52:00Z,99.00,2.00
2026-04-07T14:53:00Z,97.07,1.00
2026-04-07T14:54:00Z,99.00,2.31
2026-04-07T14:55:00Z,99.00,2.00
2026-04-07T14:57:00Z,98.97,2.00
2026-04-07T14:58:00Z,98.66,2.18
2026-04-07T14:59:00Z,98.45,3.09
2026-04-07T15:00:00Z,96.07,7.40
2026-04-07T15:01:00Z,93.22,6.62
2026-04-07T15:02:00Z,96.00,3.58
2026-04-07T15:03:00Z,97.00,4.38
2026-04-07T15:05:00Z,97.16,4.67
2026-04-07T15:06:00Z,97.04,4.67
2026-04-07T15:07:00Z,95.99,2.80
2026-04-07T15:08:00Z,98.52,2.88
2026-04-07T15:09:00Z,99.00,1.37
2026-04-07T15:10:00Z,99.00,2.00
2026-04-07T15:11:00Z,98.00,3.04
2026-04-07T15:12:00Z,98.48,2.76
2026-04-07T15:13:00Z,97.22,4.52
2026-04-07T15:14:00Z,98.84,1.98
2026-04-07T15:15:00Z,98.99,1.01
2026-04-07T15:16:00Z,97.86,3.60
2026-04-07T15:17:00Z,96.25,4.50
2026-04-07T15:18:00Z,95.84,6.34
2026-04-07T15:19:00Z,94.65,6.46
2026-04-07T15:20:00Z,96.25,7.38
2026-04-07T15:21:00Z,95.85,4.36
2026-04-07T15:22:00Z,97.99,5.85
2026-04-07T15:23:00Z,91.15,8.83
2026-04-07T15:24:00Z,94.85,5.76
2026-04-07T15:25:00Z,96.58,7.02
2026-04-07T15:26:00Z,93.64,9.15
2026-04-07T15:27:00Z,98.68,1.81
2026-04-07T15:28:00Z,99.00,1.00
2026-04-07T15:29:00Z,99.00,1.00
2026-04-07T15:30:00Z,99.00,1.00
2026-04-07T15:32:00Z,99.00,1.00
