# event_ticker=KXATPMATCH-26MAR24MICSIN
# final_score=7-5 7-6(4)
# score_resolution=5-7 6-7
# match_winner=Jannik Sinner
# fav_player=Alex Michelsen
# dog_player=Jannik Sinner
# kalshi_date=2026-03-24
timestamp,Alex Michelsen,Jannik Sinner
2026-03-24T09:21:00Z,7.00,
2026-03-24T09:29:00Z,7.00,
2026-03-24T09:33:00Z,7.00,93.86
2026-03-24T09:34:00Z,7.00,94.00
2026-03-24T09:36:00Z,7.00,94.00
2026-03-24T10:19:00Z,7.00,94.00
2026-03-24T10:39:00Z,7.00,94.00
2026-03-24T10:45:00Z,7.00,94.00
2026-03-24T11:00:00Z,7.00,94.00
2026-03-24T11:17:00Z,7.00,94.00
2026-03-24T11:26:00Z,7.00,94.00
2026-03-24T11:27:00Z,7.00,94.00
2026-03-24T11:47:00Z,7.00,94.00
2026-03-24T11:53:00Z,7.00,94.74
2026-03-24T12:05:00Z,7.00,94.74
2026-03-24T12:19:00Z,7.00,94.74
2026-03-24T12:20:00Z,7.00,95.00
2026-03-24T12:23:00Z,7.00,95.00
2026-03-24T12:35:00Z,7.00,94.00
2026-03-24T12:37:00Z,7.00,95.00
2026-03-24T12:41:00Z,7.00,95.00
2026-03-24T12:44:00Z,7.00,95.00
2026-03-24T12:49:00Z,7.00,95.00
2026-03-24T12:52:00Z,7.00,95.00
2026-03-24T12:53:00Z,7.00,95.00
2026-03-24T12:59:00Z,7.00,95.00
2026-03-24T13:05:00Z,7.00,95.00
2026-03-24T13:14:00Z,7.00,95.00
2026-03-24T13:20:00Z,7.00,95.00
2026-03-24T13:30:00Z,7.00,95.00
2026-03-24T13:31:00Z,7.00,94.00
2026-03-24T13:42:00Z,7.00,95.00
2026-03-24T13:56:00Z,7.00,95.00
2026-03-24T14:00:00Z,7.00,95.00
2026-03-24T14:01:00Z,7.00,95.00
2026-03-24T14:05:00Z,7.00,95.00
2026-03-24T14:06:00Z,7.00,95.00
2026-03-24T14:07:00Z,7.00,95.00
2026-03-24T14:10:00Z,7.00,95.00
2026-03-24T14:14:00Z,7.00,95.00
