# event_ticker=KXATPMATCH-26FEB15ETCCOM
# final_score=3-6 6-3 6-4
# score_resolution=6-3 3-6 4-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Francisco Comesana
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-02-15
timestamp,Francisco Comesana,Tomas Martin Etcheverry
2026-02-17T07:57:00Z,,63.00
2026-02-17T08:33:00Z,,63.00
2026-02-17T08:39:00Z,,63.00
2026-02-17T09:04:00Z,,64.00
2026-02-17T09:33:00Z,,64.00
2026-02-17T09:55:00Z,,64.00
2026-02-17T11:05:00Z,,64.00
2026-02-17T11:56:00Z,,63.00
2026-02-17T12:03:00Z,,63.00
2026-02-17T12:28:00Z,,63.00
2026-02-17T12:38:00Z,,63.00
2026-02-17T13:09:00Z,,63.00
2026-02-17T13:17:00Z,,63.00
2026-02-17T14:02:00Z,,63.00
2026-02-17T14:08:00Z,,63.00
2026-02-17T14:13:00Z,,63.00
2026-02-17T14:38:00Z,,63.00
2026-02-17T14:41:00Z,,63.00
2026-02-17T14:55:00Z,,63.00
2026-02-17T14:57:00Z,,63.00
2026-02-17T15:03:00Z,,63.00
2026-02-17T15:12:00Z,39.00,63.00
2026-02-17T15:19:00Z,39.00,63.00
2026-02-17T15:30:00Z,39.00,63.00
2026-02-17T15:31:00Z,39.00,63.00
2026-02-17T15:41:00Z,39.00,63.00
2026-02-17T15:48:00Z,39.00,63.00
2026-02-17T15:50:00Z,39.00,64.00
2026-02-17T16:02:00Z,39.00,64.00
2026-02-17T16:03:00Z,39.00,64.00
2026-02-17T16:04:00Z,39.00,64.00
2026-02-17T16:18:00Z,39.00,64.00
2026-02-17T16:21:00Z,39.00,64.00
2026-02-17T16:23:00Z,39.00,64.00
2026-02-17T16:28:00Z,39.00,64.00
2026-02-17T16:29:00Z,39.00,64.00
2026-02-17T16:54:00Z,39.00,64.00
2026-02-17T16:55:00Z,39.00,64.00
2026-02-17T16:59:00Z,39.00,64.00
2026-02-17T17:11:00Z,39.00,64.00
2026-02-17T17:17:00Z,39.00,64.00
2026-02-17T17:24:00Z,39.00,64.00
2026-02-17T17:33:00Z,39.00,64.00
2026-02-17T17:36:00Z,39.00,64.00
2026-02-17T17:43:00Z,39.00,64.00
2026-02-17T17:45:00Z,39.00,64.00
2026-02-17T17:48:00Z,39.00,64.00
2026-02-17T17:50:00Z,39.00,64.00
2026-02-17T17:51:00Z,39.00,64.00
2026-02-17T17:56:00Z,39.00,64.00
2026-02-17T17:59:00Z,39.00,64.00
2026-02-17T18:08:00Z,36.00,64.00
2026-02-17T18:10:00Z,36.00,64.00
2026-02-17T18:11:00Z,36.00,64.00
2026-02-17T18:14:00Z,36.00,64.00
2026-02-17T18:16:00Z,37.00,64.00
2026-02-17T18:18:00Z,37.00,64.00
2026-02-17T18:22:00Z,37.00,64.00
2026-02-17T18:25:00Z,37.00,64.00
2026-02-17T18:26:00Z,37.00,64.00
2026-02-17T18:28:00Z,37.00,64.00
