# event_ticker=KXATPCHALLENGERMATCH-26APR07SUNCOO
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Fajing Sun
# fav_player=Ethan Cook
# dog_player=Fajing Sun
# kalshi_date=2026-04-07
timestamp,Ethan Cook,Fajing Sun
2026-04-06T17:37:00Z,10.33,
2026-04-06T17:45:00Z,10.33,92.00
2026-04-06T18:04:00Z,10.33,92.00
2026-04-06T18:25:00Z,10.13,92.00
2026-04-06T18:37:00Z,11.00,92.00
2026-04-06T18:54:00Z,10.00,92.00
2026-04-06T19:00:00Z,10.00,92.00
2026-04-06T19:22:00Z,10.00,92.00
2026-04-06T19:53:00Z,10.00,92.00
2026-04-06T19:54:00Z,10.00,92.00
2026-04-06T20:16:00Z,10.00,92.00
2026-04-06T20:17:00Z,10.00,92.00
2026-04-06T20:18:00Z,10.00,92.00
2026-04-06T20:38:00Z,10.00,92.00
2026-04-06T21:11:00Z,10.00,92.00
2026-04-06T21:24:00Z,10.00,92.00
2026-04-06T21:27:00Z,10.00,92.00
2026-04-06T21:46:00Z,10.00,92.00
2026-04-06T21:51:00Z,10.00,92.00
2026-04-06T21:57:00Z,10.00,92.00
2026-04-06T22:05:00Z,10.00,92.00
2026-04-06T22:13:00Z,10.00,92.00
2026-04-06T22:16:00Z,10.00,92.00
2026-04-06T22:19:00Z,10.00,92.00
2026-04-06T22:27:00Z,9.00,92.00
2026-04-06T22:38:00Z,9.68,92.00
2026-04-06T22:58:00Z,10.00,92.00
2026-04-06T22:59:00Z,10.00,92.00
2026-04-06T23:02:00Z,9.00,92.00
2026-04-06T23:16:00Z,10.00,92.00
2026-04-06T23:21:00Z,10.00,92.00
2026-04-06T23:37:00Z,10.00,92.00
2026-04-06T23:39:00Z,10.00,92.00
2026-04-06T23:43:00Z,11.82,89.92
2026-04-06T23:49:00Z,11.00,89.92
2026-04-06T23:58:00Z,11.00,89.92
2026-04-07T00:03:00Z,9.00,89.92
2026-04-07T00:04:00Z,9.00,89.92
2026-04-07T00:05:00Z,10.20,89.92
2026-04-07T00:07:00Z,11.00,89.92
2026-04-07T00:17:00Z,11.00,91.00
2026-04-07T00:18:00Z,10.45,91.00
2026-04-07T00:19:00Z,11.00,91.00
2026-04-07T00:26:00Z,11.00,91.00
2026-04-07T00:36:00Z,11.00,91.00
2026-04-07T00:51:00Z,11.00,91.00
2026-04-07T00:56:00Z,11.00,91.00
2026-04-07T00:58:00Z,11.00,91.00
2026-04-07T00:59:00Z,11.00,91.00
2026-04-07T01:05:00Z,11.00,91.00
2026-04-07T01:15:00Z,11.60,91.00
2026-04-07T01:18:00Z,11.00,91.00
2026-04-07T01:19:00Z,11.00,91.00
2026-04-07T01:21:00Z,11.00,91.00
2026-04-07T01:31:00Z,11.00,91.00
2026-04-07T01:33:00Z,10.00,91.00
2026-04-07T01:34:00Z,10.00,91.00
2026-04-07T01:37:00Z,10.00,91.00
2026-04-07T01:40:00Z,10.00,91.00
2026-04-07T01:43:00Z,11.00,91.00
2026-04-07T01:44:00Z,17.00,87.35
2026-04-07T01:47:00Z,12.00,87.35
2026-04-07T01:48:00Z,11.88,87.35
2026-04-07T01:55:00Z,11.88,89.00
2026-04-07T01:56:00Z,12.20,89.00
2026-04-07T01:58:00Z,12.00,89.00
2026-04-07T01:59:00Z,11.00,89.00
2026-04-07T02:01:00Z,13.00,89.00
2026-04-07T02:02:00Z,11.00,89.00
2026-04-07T02:03:00Z,12.00,89.00
2026-04-07T02:04:00Z,12.00,89.00
2026-04-07T02:05:00Z,12.00,89.00
2026-04-07T02:07:00Z,12.00,91.00
