# event_ticker=KXATPMATCH-25JUL28VUKMAR
# final_score=7-5 6-3
# match_winner=Aleksandar Vukic
# fav_player=Aleksandar Vukic
# dog_player=Pedro Martinez
# kalshi_date=2025-07-28
timestamp,Aleksandar Vukic,Pedro Martinez
2025-07-28T12:10:00Z,73.00,
2025-07-28T12:41:00Z,73.00,
2025-07-28T12:56:00Z,73.00,
2025-07-28T13:01:00Z,73.00,29.00
2025-07-28T13:23:00Z,72.00,29.00
2025-07-28T13:57:00Z,72.00,29.00
2025-07-28T14:02:00Z,72.00,29.00
2025-07-28T14:04:00Z,72.00,29.00
2025-07-28T14:06:00Z,72.00,29.00
2025-07-28T14:29:00Z,73.00,29.00
2025-07-28T14:30:00Z,73.00,29.00
2025-07-28T14:41:00Z,73.00,29.00
2025-07-28T14:43:00Z,73.00,29.00
2025-07-28T14:46:00Z,73.00,29.00
2025-07-28T14:52:00Z,73.00,29.00
2025-07-28T15:02:00Z,73.00,29.00
2025-07-28T15:06:00Z,73.00,29.00
2025-07-28T15:11:00Z,73.00,29.00
2025-07-28T15:14:00Z,73.00,29.00
2025-07-28T15:19:00Z,73.00,29.00
2025-07-28T15:28:00Z,73.00,29.00
2025-07-28T15:37:00Z,73.00,29.00
2025-07-28T15:44:00Z,73.00,29.00
2025-07-28T15:52:00Z,72.00,29.00
2025-07-28T16:11:00Z,72.00,29.00
2025-07-28T16:20:00Z,72.00,29.00
2025-07-28T16:24:00Z,72.00,30.00
2025-07-28T16:28:00Z,72.00,30.00
2025-07-28T16:39:00Z,72.00,30.00
2025-07-28T16:45:00Z,72.00,30.00
2025-07-28T16:48:00Z,72.00,30.75
2025-07-28T16:50:00Z,72.00,30.00
2025-07-28T16:56:00Z,72.00,30.00
2025-07-28T16:58:00Z,72.00,30.00
2025-07-28T17:01:00Z,72.00,30.00
2025-07-28T17:02:00Z,72.00,30.00
2025-07-28T17:04:00Z,72.00,31.00
2025-07-28T17:05:00Z,72.00,31.00
2025-07-28T17:06:00Z,72.00,31.00
2025-07-28T17:07:00Z,72.00,31.00
2025-07-28T17:08:00Z,72.00,31.00
2025-07-28T17:11:00Z,72.00,27.26
2025-07-28T17:12:00Z,72.00,29.78
2025-07-28T17:13:00Z,74.54,28.00
2025-07-28T17:14:00Z,74.54,27.01
2025-07-28T17:15:00Z,73.00,27.01
2025-07-28T17:16:00Z,73.00,27.01
2025-07-28T17:17:00Z,73.00,30.00
