# event_ticker=KXATPMATCH-25OCT14SPIMAR
# final_score=6-4 6-1
# match_winner=Eliot Spizzirri
# fav_player=Eliot Spizzirri
# dog_player=Pedro Martinez
# kalshi_date=2025-10-14
timestamp,Eliot Spizzirri,Pedro Martinez
2025-10-14T00:09:00Z,73.00,
2025-10-14T00:45:00Z,73.00,30.61
2025-10-14T01:47:00Z,73.00,31.00
2025-10-14T01:58:00Z,71.00,31.00
2025-10-14T02:11:00Z,71.00,31.00
2025-10-14T03:15:00Z,71.00,31.00
2025-10-14T03:32:00Z,71.00,29.00
2025-10-14T04:00:00Z,71.00,29.00
2025-10-14T04:07:00Z,71.00,29.00
2025-10-14T04:08:00Z,71.00,29.00
2025-10-14T04:12:00Z,71.00,29.00
2025-10-14T04:23:00Z,71.00,29.00
2025-10-14T04:46:00Z,71.00,29.00
2025-10-14T04:47:00Z,71.00,29.00
2025-10-14T04:54:00Z,71.00,29.00
2025-10-14T05:00:00Z,72.00,29.00
2025-10-14T05:01:00Z,72.00,29.00
2025-10-14T05:13:00Z,72.00,29.00
2025-10-14T05:18:00Z,72.00,29.00
2025-10-14T05:41:00Z,72.00,29.00
2025-10-14T05:49:00Z,72.00,29.00
2025-10-14T05:54:00Z,72.00,29.00
2025-10-14T06:12:00Z,72.00,28.00
2025-10-14T06:29:00Z,72.00,29.00
2025-10-14T06:30:00Z,71.00,29.00
2025-10-14T06:34:00Z,71.00,29.00
2025-10-14T06:39:00Z,71.00,29.00
2025-10-14T06:48:00Z,71.00,29.00
2025-10-14T07:00:00Z,71.00,29.00
2025-10-14T07:09:00Z,71.00,28.00
2025-10-14T07:12:00Z,72.70,27.00
2025-10-14T07:14:00Z,73.00,27.00
2025-10-14T07:20:00Z,73.00,28.00
2025-10-14T07:29:00Z,73.00,28.00
2025-10-14T07:30:00Z,73.00,28.00
2025-10-14T07:33:00Z,73.00,28.00
2025-10-14T07:42:00Z,73.00,28.00
2025-10-14T08:00:00Z,73.00,28.00
2025-10-14T08:12:00Z,73.00,28.00
2025-10-14T08:23:00Z,72.00,29.42
2025-10-14T08:27:00Z,72.00,29.42
2025-10-14T08:29:00Z,72.00,29.00
2025-10-14T08:36:00Z,72.00,29.00
2025-10-14T08:47:00Z,72.00,29.00
2025-10-14T08:58:00Z,72.00,29.00
2025-10-14T08:59:00Z,73.00,29.00
2025-10-14T09:00:00Z,73.00,29.00
2025-10-14T09:06:00Z,73.00,27.49
2025-10-14T09:07:00Z,74.00,27.49
2025-10-14T09:10:00Z,74.00,26.00
2025-10-14T09:11:00Z,76.70,24.55
2025-10-14T09:12:00Z,79.27,22.50
2025-10-14T09:13:00Z,81.00,22.50
2025-10-14T09:14:00Z,81.00,24.06
2025-10-14T09:15:00Z,78.00,22.00
2025-10-14T09:16:00Z,81.00,19.66
2025-10-14T09:18:00Z,81.00,21.00
2025-10-14T09:19:00Z,81.00,25.00
2025-10-14T09:20:00Z,81.00,25.67
2025-10-14T09:21:00Z,81.00,22.06
2025-10-14T09:22:00Z,81.00,21.00
2025-10-14T09:23:00Z,81.00,20.00
2025-10-14T09:24:00Z,82.50,18.01
2025-10-14T09:25:00Z,82.00,18.26
2025-10-14T09:26:00Z,82.00,22.79
2025-10-14T09:27:00Z,76.10,29.26
2025-10-14T09:28:00Z,76.00,23.76
2025-10-14T09:29:00Z,83.53,23.76
2025-10-14T09:30:00Z,83.53,21.62
2025-10-14T09:31:00Z,83.53,23.47
2025-10-14T09:32:00Z,83.53,24.92
2025-10-14T09:33:00Z,80.00,24.92
2025-10-14T09:35:00Z,80.95,19.00
2025-10-14T09:36:00Z,83.00,18.39
2025-10-14T09:38:00Z,85.00,18.00
2025-10-14T09:39:00Z,82.30,21.36
2025-10-14T09:40:00Z,78.00,22.04
2025-10-14T09:41:00Z,79.00,21.97
2025-10-14T09:42:00Z,76.70,22.11
