# event_ticker=KXATPCHALLENGERMATCH-26MAR12GENNES
# final_score=7-6(7) 6-2
# score_resolution=7-6 6-2
# match_winner=Petr Nesterov
# fav_player=Pyotr Nesterov
# dog_player=Tom Gentzsch
# kalshi_date=2026-03-12
timestamp,Pyotr Nesterov,Tom Gentzsch
2026-03-11T23:38:00Z,,57.00
2026-03-12T01:09:00Z,,56.00
2026-03-12T02:31:00Z,,56.00
2026-03-12T03:31:00Z,,56.00
2026-03-12T04:07:00Z,,56.00
2026-03-12T04:15:00Z,,56.00
2026-03-12T04:19:00Z,,58.00
2026-03-12T04:25:00Z,,58.00
2026-03-12T04:31:00Z,,58.00
2026-03-12T04:35:00Z,,57.00
2026-03-12T04:46:00Z,,58.36
2026-03-12T04:48:00Z,,58.00
2026-03-12T04:55:00Z,,58.00
2026-03-12T05:06:00Z,,58.00
2026-03-12T05:12:00Z,,58.00
2026-03-12T05:18:00Z,,58.00
2026-03-12T05:20:00Z,,58.00
2026-03-12T05:25:00Z,,58.00
2026-03-12T05:26:00Z,,58.00
2026-03-12T05:28:00Z,,58.00
2026-03-12T05:29:00Z,,58.65
2026-03-12T05:30:00Z,,59.00
2026-03-12T05:31:00Z,,58.33
2026-03-12T05:32:00Z,,58.00
2026-03-12T05:35:00Z,,59.00
2026-03-12T05:37:00Z,,59.00
2026-03-12T05:53:00Z,44.00,59.00
2026-03-12T06:04:00Z,44.00,58.00
2026-03-12T06:10:00Z,44.00,58.70
2026-03-12T06:17:00Z,44.00,58.00
2026-03-12T06:18:00Z,44.00,58.00
2026-03-12T06:19:00Z,44.00,58.00
2026-03-12T06:21:00Z,44.00,58.00
2026-03-12T06:22:00Z,44.00,58.00
2026-03-12T06:23:00Z,44.00,58.67
2026-03-12T06:24:00Z,44.00,58.00
2026-03-12T06:25:00Z,44.00,58.00
2026-03-12T06:27:00Z,44.00,58.37
2026-03-12T06:28:00Z,44.00,58.00
2026-03-12T06:29:00Z,44.00,58.00
2026-03-12T06:30:00Z,44.00,58.86
