# event_ticker=KXATPCHALLENGERMATCH-26MAY26HARKRU
# final_score=6-2 6-3
# match_winner=Jay Friend
# fav_player=Jay Friend
# dog_player=Mitchell Krueger
# kalshi_date=2026-05-26
timestamp,Jay Friend,Mitchell Krueger
2026-05-26T15:42:00Z,,59.00
2026-05-26T15:45:00Z,48.76,59.00
2026-05-26T16:18:00Z,48.76,52.00
2026-05-26T16:23:00Z,50.00,52.00
2026-05-26T16:34:00Z,50.00,50.08
2026-05-26T16:39:00Z,50.00,49.00
2026-05-26T16:54:00Z,55.00,49.00
2026-05-26T16:56:00Z,55.00,47.00
2026-05-26T16:58:00Z,55.00,66.63
2026-05-26T17:02:00Z,56.00,66.63
2026-05-26T17:03:00Z,55.00,48.00
2026-05-26T17:05:00Z,56.00,48.00
2026-05-26T17:06:00Z,57.00,48.00
2026-05-26T17:07:00Z,55.29,47.00
2026-05-26T17:08:00Z,58.38,41.00
2026-05-26T17:09:00Z,56.37,41.00
2026-05-26T17:10:00Z,55.33,46.81
2026-05-26T17:11:00Z,56.13,47.00
2026-05-26T17:12:00Z,56.52,45.02
2026-05-26T17:13:00Z,56.00,45.02
2026-05-26T17:14:00Z,59.96,43.23
2026-05-26T17:15:00Z,64.84,35.06
2026-05-26T17:16:00Z,67.00,33.82
2026-05-26T17:17:00Z,65.87,31.14
2026-05-26T17:18:00Z,68.00,33.66
2026-05-26T17:19:00Z,69.96,29.00
2026-05-26T17:20:00Z,71.00,29.00
2026-05-26T17:21:00Z,72.24,28.76
2026-05-26T17:22:00Z,72.96,27.14
2026-05-26T17:23:00Z,77.42,25.00
2026-05-26T17:24:00Z,79.00,20.27
2026-05-26T17:25:00Z,79.28,20.96
2026-05-26T17:26:00Z,80.00,21.00
2026-05-26T17:27:00Z,79.00,21.00
2026-05-26T17:28:00Z,76.30,22.83
2026-05-26T17:29:00Z,79.69,21.00
2026-05-26T17:30:00Z,80.14,20.00
2026-05-26T17:31:00Z,80.92,19.01
2026-05-26T17:32:00Z,81.01,20.00
2026-05-26T17:33:00Z,81.99,20.33
2026-05-26T17:34:00Z,81.67,20.33
2026-05-26T17:35:00Z,80.00,21.00
2026-05-26T17:36:00Z,80.00,22.08
2026-05-26T17:37:00Z,79.18,22.74
2026-05-26T17:38:00Z,79.18,21.92
2026-05-26T17:39:00Z,79.18,22.92
2026-05-26T17:40:00Z,73.73,24.39
2026-05-26T17:41:00Z,79.00,21.87
2026-05-26T17:42:00Z,80.79,20.00
2026-05-26T17:43:00Z,81.00,20.40
2026-05-26T17:44:00Z,79.00,22.00
2026-05-26T17:45:00Z,79.00,23.00
2026-05-26T17:46:00Z,77.00,23.58
2026-05-26T17:47:00Z,79.00,21.98
2026-05-26T17:48:00Z,79.00,25.39
2026-05-26T17:49:00Z,76.91,24.16
2026-05-26T17:50:00Z,80.93,22.30
2026-05-26T17:51:00Z,80.73,22.00
2026-05-26T17:52:00Z,80.09,22.00
2026-05-26T17:53:00Z,79.77,20.17
2026-05-26T17:54:00Z,79.04,21.44
2026-05-26T17:55:00Z,77.00,25.86
2026-05-26T17:56:00Z,76.00,25.82
2026-05-26T17:57:00Z,75.02,25.23
2026-05-26T17:58:00Z,77.75,24.97
2026-05-26T17:59:00Z,77.75,22.07
2026-05-26T18:00:00Z,79.00,22.16
2026-05-26T18:01:00Z,75.51,24.49
2026-05-26T18:02:00Z,72.54,26.62
2026-05-26T18:03:00Z,72.00,27.08
2026-05-26T18:04:00Z,73.87,27.05
2026-05-26T18:05:00Z,73.00,27.77
2026-05-26T18:06:00Z,74.12,30.44
2026-05-26T18:07:00Z,75.37,24.99
2026-05-26T18:08:00Z,76.00,23.76
2026-05-26T18:09:00Z,76.00,27.36
2026-05-26T18:10:00Z,73.00,28.00
2026-05-26T18:11:00Z,72.74,28.68
2026-05-26T18:12:00Z,69.00,29.64
2026-05-26T18:13:00Z,68.96,34.16
2026-05-26T18:14:00Z,74.26,25.77
2026-05-26T18:15:00Z,76.05,25.75
2026-05-26T18:16:00Z,75.00,25.51
2026-05-26T18:17:00Z,75.00,26.75
2026-05-26T18:18:00Z,79.80,26.59
2026-05-26T18:19:00Z,76.57,23.00
2026-05-26T18:20:00Z,76.83,25.86
2026-05-26T18:21:00Z,81.47,16.13
2026-05-26T18:22:00Z,76.19,24.97
2026-05-26T18:23:00Z,80.04,16.33
2026-05-26T18:24:00Z,80.44,16.89
2026-05-26T18:25:00Z,89.98,9.75
2026-05-26T18:26:00Z,92.47,9.41
2026-05-26T18:27:00Z,92.62,9.10
2026-05-26T18:28:00Z,89.76,10.07
2026-05-26T18:29:00Z,93.46,7.98
2026-05-26T18:30:00Z,95.53,5.37
2026-05-26T18:31:00Z,97.00,4.49
2026-05-26T18:32:00Z,97.15,3.33
2026-05-26T18:33:00Z,98.87,2.50
2026-05-26T18:34:00Z,99.00,2.50
2026-05-26T18:35:00Z,99.00,2.50
2026-05-26T18:41:00Z,99.00,2.50
