# event_ticker=KXATPCHALLENGERMATCH-26MAR08FICMEN
# final_score=6-4 6-2
# match_winner=Facundo Mena
# fav_player=Facundo Mena
# dog_player=Juan Pablo Ficovich
# kalshi_date=2026-03-08
timestamp,Facundo Mena,Juan Pablo Ficovich
2026-03-10T09:04:00Z,66.00,36.00
2026-03-10T12:10:00Z,70.57,36.00
2026-03-10T13:19:00Z,73.00,36.00
2026-03-10T13:39:00Z,73.00,41.00
2026-03-10T14:13:00Z,66.00,36.00
2026-03-10T14:18:00Z,66.00,36.00
2026-03-10T14:24:00Z,66.00,36.00
2026-03-10T14:27:00Z,66.00,36.00
2026-03-10T15:19:00Z,66.00,36.00
2026-03-10T15:41:00Z,65.00,36.00
2026-03-10T15:42:00Z,65.00,36.00
2026-03-10T15:48:00Z,65.00,36.00
2026-03-10T15:55:00Z,65.00,36.00
2026-03-10T16:08:00Z,65.00,41.00
2026-03-10T16:13:00Z,66.00,36.00
2026-03-10T16:29:00Z,65.00,36.00
2026-03-10T16:43:00Z,59.00,36.00
2026-03-10T16:58:00Z,62.00,36.00
2026-03-10T17:01:00Z,62.00,36.00
2026-03-10T17:16:00Z,62.00,40.00
2026-03-10T18:14:00Z,66.00,40.00
2026-03-10T18:31:00Z,66.00,39.96
2026-03-10T18:35:00Z,74.00,39.96
2026-03-10T18:36:00Z,51.08,43.52
2026-03-10T18:37:00Z,51.08,50.00
2026-03-10T18:38:00Z,56.00,50.00
2026-03-10T18:42:00Z,56.00,50.00
2026-03-10T18:43:00Z,54.00,50.00
2026-03-10T18:44:00Z,54.00,49.00
2026-03-10T18:45:00Z,54.00,50.00
2026-03-10T18:46:00Z,50.94,51.92
2026-03-10T18:47:00Z,50.94,50.55
2026-03-10T18:48:00Z,49.00,51.58
2026-03-10T18:49:00Z,60.00,48.91
2026-03-10T18:50:00Z,57.88,43.73
2026-03-10T18:51:00Z,60.67,43.73
2026-03-10T18:52:00Z,52.00,48.06
2026-03-10T18:53:00Z,52.00,49.58
2026-03-10T18:54:00Z,52.93,51.00
2026-03-10T18:55:00Z,56.84,46.93
2026-03-10T18:56:00Z,56.84,45.00
2026-03-10T18:57:00Z,55.17,45.53
2026-03-10T18:58:00Z,50.78,47.94
2026-03-10T18:59:00Z,50.78,49.00
2026-03-10T19:00:00Z,55.00,49.00
2026-03-10T19:01:00Z,56.00,46.00
2026-03-10T19:02:00Z,58.00,44.00
2026-03-10T19:03:00Z,63.00,40.00
2026-03-10T19:04:00Z,63.00,28.06
2026-03-10T19:05:00Z,73.99,26.00
2026-03-10T19:06:00Z,73.99,25.44
2026-03-10T19:08:00Z,74.75,21.04
2026-03-10T19:09:00Z,74.75,18.40
2026-03-10T19:10:00Z,74.75,22.00
2026-03-10T19:11:00Z,75.76,26.54
2026-03-10T19:12:00Z,74.00,29.00
2026-03-10T19:13:00Z,74.00,22.00
2026-03-10T19:14:00Z,80.00,22.00
2026-03-10T19:15:00Z,80.00,22.00
2026-03-10T19:16:00Z,80.00,22.00
2026-03-10T19:17:00Z,80.00,22.00
2026-03-10T19:18:00Z,80.00,22.00
2026-03-10T19:19:00Z,80.00,21.00
2026-03-10T19:20:00Z,82.00,22.60
2026-03-10T19:21:00Z,80.56,18.00
2026-03-10T19:22:00Z,80.00,14.09
2026-03-10T19:23:00Z,80.78,19.49
2026-03-10T19:24:00Z,79.78,21.71
2026-03-10T19:25:00Z,79.78,22.81
2026-03-10T19:26:00Z,84.00,13.00
2026-03-10T19:27:00Z,85.04,18.77
2026-03-10T19:28:00Z,85.04,24.54
2026-03-10T19:29:00Z,79.00,24.00
2026-03-10T19:30:00Z,79.00,23.87
2026-03-10T19:32:00Z,86.69,18.04
2026-03-10T19:33:00Z,82.87,17.07
2026-03-10T19:34:00Z,91.32,10.58
2026-03-10T19:35:00Z,92.06,9.89
2026-03-10T19:36:00Z,94.00,6.37
2026-03-10T19:37:00Z,93.00,6.37
2026-03-10T19:38:00Z,95.00,6.02
2026-03-10T19:39:00Z,95.00,6.00
2026-03-10T19:40:00Z,96.10,4.14
2026-03-10T19:41:00Z,98.95,2.00
2026-03-10T19:42:00Z,99.00,1.30
2026-03-10T19:44:00Z,95.12,8.33
2026-03-10T19:45:00Z,99.00,4.00
2026-03-10T19:46:00Z,99.00,1.95
2026-03-10T19:47:00Z,95.25,2.00
2026-03-10T19:48:00Z,99.00,1.04
2026-03-10T19:49:00Z,98.99,2.00
2026-03-10T19:50:00Z,99.00,1.00
2026-03-10T19:51:00Z,99.00,1.00
2026-03-10T19:52:00Z,99.00,4.00
