# event_ticker=KXATPCHALLENGERMATCH-26APR16TABMAR
# final_score=6-3 5-7 6-3
# score_resolution=3-6 7-5 3-6
# match_winner=Clement Tabur
# fav_player=Andres Martin
# dog_player=Clement Tabur
# kalshi_date=2026-04-16
timestamp,Andres Martin,Clement Tabur
2026-04-16T09:01:00Z,,63.29
2026-04-16T09:17:00Z,,73.00
2026-04-16T10:39:00Z,,75.00
2026-04-16T10:48:00Z,,75.00
2026-04-16T11:35:00Z,,75.00
2026-04-16T12:28:00Z,,74.00
2026-04-16T13:21:00Z,,75.00
2026-04-16T13:45:00Z,,75.00
2026-04-16T14:15:00Z,,75.00
2026-04-16T14:17:00Z,26.00,75.00
2026-04-16T14:20:00Z,26.00,75.00
2026-04-16T14:25:00Z,26.00,75.00
2026-04-16T14:29:00Z,26.00,75.00
2026-04-16T14:30:00Z,26.00,75.00
2026-04-16T14:40:00Z,26.00,75.00
2026-04-16T15:02:00Z,26.00,74.00
2026-04-16T15:38:00Z,26.00,74.00
2026-04-16T15:49:00Z,26.00,74.00
2026-04-16T15:59:00Z,26.00,75.00
2026-04-16T16:01:00Z,26.00,75.00
2026-04-16T16:02:00Z,26.00,73.00
2026-04-16T16:07:00Z,26.00,75.00
2026-04-16T16:22:00Z,26.00,75.00
2026-04-16T16:28:00Z,26.00,75.00
2026-04-16T16:45:00Z,26.00,75.00
2026-04-16T16:48:00Z,26.00,75.00
2026-04-16T16:52:00Z,26.00,75.00
2026-04-16T16:59:00Z,26.00,75.02
2026-04-16T17:10:00Z,26.00,75.02
2026-04-16T17:11:00Z,26.00,76.00
2026-04-16T17:29:00Z,26.00,76.00
2026-04-16T17:31:00Z,26.00,76.00
2026-04-16T17:36:00Z,26.00,76.00
2026-04-16T17:38:00Z,26.00,76.00
2026-04-16T17:40:00Z,26.00,76.00
2026-04-16T17:46:00Z,26.00,76.00
2026-04-16T17:50:00Z,26.00,75.00
2026-04-16T17:51:00Z,26.00,75.00
2026-04-16T17:52:00Z,26.00,75.23
2026-04-16T17:53:00Z,26.00,76.00
2026-04-16T17:56:00Z,26.00,76.00
2026-04-16T17:57:00Z,26.00,76.88
