# event_ticker=KXATPCHALLENGERMATCH-26MAY25MAYHUR
# final_score=6-4 6-4
# match_winner=Harold Mayot
# fav_player=Harold Mayot
# dog_player=Millen Hurrion
# kalshi_date=2026-05-25
timestamp,Harold Mayot,Millen Hurrion
2026-05-25T03:23:00Z,78.00,
2026-05-25T10:42:00Z,78.00,
2026-05-25T11:51:00Z,78.00,24.00
2026-05-25T12:48:00Z,78.84,24.00
2026-05-25T12:50:00Z,78.84,24.56
2026-05-25T12:51:00Z,78.84,24.68
2026-05-25T12:56:00Z,78.84,26.00
2026-05-25T12:58:00Z,78.84,26.00
2026-05-25T12:59:00Z,78.84,28.00
2026-05-25T13:00:00Z,78.84,30.51
2026-05-25T13:01:00Z,71.00,30.16
2026-05-25T13:02:00Z,73.00,32.00
2026-05-25T13:04:00Z,62.31,35.31
2026-05-25T13:05:00Z,61.00,35.31
2026-05-25T13:06:00Z,67.00,33.18
2026-05-25T13:07:00Z,67.00,30.00
2026-05-25T13:08:00Z,66.00,31.93
2026-05-25T13:09:00Z,69.43,31.48
2026-05-25T13:10:00Z,71.96,31.48
2026-05-25T13:11:00Z,70.00,29.12
2026-05-25T13:12:00Z,71.00,28.34
2026-05-25T13:13:00Z,71.82,29.01
2026-05-25T13:14:00Z,66.66,33.23
2026-05-25T13:15:00Z,68.12,30.29
2026-05-25T13:16:00Z,71.11,28.86
2026-05-25T13:17:00Z,70.03,31.00
2026-05-25T13:18:00Z,73.00,29.00
2026-05-25T13:19:00Z,72.02,27.27
2026-05-25T13:20:00Z,72.35,27.28
2026-05-25T13:21:00Z,76.37,23.72
2026-05-25T13:22:00Z,82.31,17.94
2026-05-25T13:23:00Z,85.05,16.00
2026-05-25T13:24:00Z,86.00,15.00
2026-05-25T13:25:00Z,86.00,15.00
2026-05-25T13:26:00Z,86.00,12.63
2026-05-25T13:27:00Z,85.08,14.24
2026-05-25T13:28:00Z,85.83,14.24
2026-05-25T13:29:00Z,85.69,14.24
2026-05-25T13:30:00Z,84.00,14.24
2026-05-25T13:31:00Z,81.68,19.21
2026-05-25T13:32:00Z,79.74,19.69
2026-05-25T13:33:00Z,85.60,16.06
2026-05-25T13:34:00Z,85.99,16.06
2026-05-25T13:36:00Z,86.56,13.40
2026-05-25T13:37:00Z,88.00,13.40
2026-05-25T13:38:00Z,86.00,13.67
2026-05-25T13:39:00Z,86.00,15.00
2026-05-25T13:40:00Z,87.19,15.00
2026-05-25T13:41:00Z,88.00,15.00
2026-05-25T13:42:00Z,87.00,12.71
2026-05-25T13:43:00Z,88.00,12.71
2026-05-25T13:44:00Z,89.00,12.00
2026-05-25T13:46:00Z,90.07,10.11
2026-05-25T13:47:00Z,94.47,8.00
2026-05-25T13:48:00Z,93.08,7.57
2026-05-25T13:49:00Z,90.07,9.27
2026-05-25T13:50:00Z,92.98,6.76
2026-05-25T13:51:00Z,94.90,5.52
2026-05-25T13:52:00Z,96.00,5.52
2026-05-25T13:53:00Z,96.00,5.29
2026-05-25T13:54:00Z,96.88,4.00
2026-05-25T13:55:00Z,97.51,2.34
2026-05-25T13:56:00Z,98.81,2.00
2026-05-25T13:57:00Z,98.00,2.00
2026-05-25T13:58:00Z,98.00,2.00
2026-05-25T13:59:00Z,98.80,1.24
2026-05-25T14:00:00Z,99.00,1.24
2026-05-25T14:01:00Z,99.00,1.00
2026-05-25T14:02:00Z,99.00,1.00
2026-05-25T14:03:00Z,99.00,1.00
2026-05-25T14:04:00Z,99.00,1.00
2026-05-25T14:05:00Z,99.00,1.00
2026-05-25T14:06:00Z,99.00,1.00
2026-05-25T14:07:00Z,99.00,1.00
2026-05-25T14:08:00Z,99.00,1.00
2026-05-25T14:09:00Z,98.86,1.31
2026-05-25T14:10:00Z,97.01,2.95
2026-05-25T14:11:00Z,98.00,2.95
2026-05-25T14:12:00Z,95.83,4.13
2026-05-25T14:13:00Z,96.00,3.49
2026-05-25T14:14:00Z,96.00,3.72
2026-05-25T14:15:00Z,95.45,4.88
2026-05-25T14:16:00Z,96.00,4.06
2026-05-25T14:17:00Z,96.09,4.82
2026-05-25T14:18:00Z,96.69,3.20
2026-05-25T14:19:00Z,95.95,5.48
2026-05-25T14:20:00Z,93.92,8.30
2026-05-25T14:21:00Z,95.22,7.73
2026-05-25T14:22:00Z,91.26,8.90
2026-05-25T14:23:00Z,93.57,5.21
2026-05-25T14:24:00Z,91.65,9.39
2026-05-25T14:25:00Z,92.79,6.86
2026-05-25T14:26:00Z,84.87,11.64
2026-05-25T14:27:00Z,82.63,14.46
2026-05-25T14:28:00Z,88.50,10.16
2026-05-25T14:29:00Z,94.41,4.26
2026-05-25T14:30:00Z,96.00,3.01
2026-05-25T14:31:00Z,97.00,3.29
2026-05-25T14:32:00Z,97.46,2.85
2026-05-25T14:33:00Z,98.92,1.00
