# event_ticker=KXATPCHALLENGERMATCH-26JUN05MIKMOE
# final_score=5-7 7-5 6-3
# match_winner=Luka Mikrut
# fav_player=Luka Mikrut
# dog_player=Marvin Moeller
# kalshi_date=2026-06-05
timestamp,Luka Mikrut,Marvin Moeller
2026-06-05T04:52:00Z,68.00,
2026-06-05T05:02:00Z,68.00,
2026-06-05T05:08:00Z,68.00,
2026-06-05T05:30:00Z,68.00,34.00
2026-06-05T05:33:00Z,68.00,34.00
2026-06-05T05:38:00Z,68.00,34.00
2026-06-05T05:44:00Z,66.00,34.00
2026-06-05T06:02:00Z,66.00,34.00
2026-06-05T06:36:00Z,66.00,34.00
2026-06-05T06:49:00Z,68.00,34.00
2026-06-05T07:23:00Z,68.00,34.00
2026-06-05T08:25:00Z,68.00,34.00
2026-06-05T11:53:00Z,68.00,34.00
2026-06-05T12:34:00Z,68.00,33.00
2026-06-05T12:49:00Z,68.00,33.00
2026-06-05T13:22:00Z,69.00,33.00
2026-06-05T13:25:00Z,69.00,33.00
2026-06-05T13:29:00Z,69.00,33.00
2026-06-05T13:33:00Z,69.00,33.00
2026-06-05T13:34:00Z,69.00,33.00
2026-06-05T13:55:00Z,69.00,33.00
2026-06-05T14:01:00Z,69.00,33.00
2026-06-05T14:05:00Z,69.00,33.00
2026-06-05T14:15:00Z,69.00,33.00
2026-06-05T14:19:00Z,69.00,33.00
2026-06-05T14:20:00Z,69.00,33.00
2026-06-05T14:36:00Z,69.00,32.00
2026-06-05T14:47:00Z,69.00,33.00
2026-06-05T14:51:00Z,69.00,33.00
2026-06-05T15:10:00Z,69.00,33.00
2026-06-05T15:30:00Z,69.00,33.00
2026-06-05T15:31:00Z,69.00,33.00
2026-06-05T15:32:00Z,67.00,33.00
2026-06-05T15:44:00Z,69.00,33.00
2026-06-05T15:53:00Z,69.00,33.00
2026-06-05T15:57:00Z,69.00,33.00
2026-06-05T15:58:00Z,69.00,33.00
2026-06-05T16:00:00Z,69.00,33.00
2026-06-05T16:01:00Z,69.00,33.00
2026-06-05T16:02:00Z,69.00,33.00
2026-06-05T16:04:00Z,69.00,32.00
2026-06-05T16:08:00Z,70.00,33.00
2026-06-05T16:09:00Z,70.00,33.00
2026-06-05T16:11:00Z,70.00,34.00
2026-06-05T16:13:00Z,70.00,30.02
2026-06-05T16:14:00Z,70.22,29.01
