# event_ticker=KXATPMATCH-25OCT03TIAHAN
# final_score=6-7(9) 6-2 6-1
# score_resolution=7-6 2-6 1-6
# match_winner=Yannick Hanfmann
# fav_player=Frances Tiafoe
# dog_player=Yannick Hanfmann
# kalshi_date=2025-10-03
timestamp,Frances Tiafoe,Yannick Hanfmann
2025-10-02T18:51:00Z,,45.00
2025-10-02T18:59:00Z,65.00,45.00
2025-10-02T19:17:00Z,60.00,45.00
2025-10-02T19:20:00Z,61.00,45.00
2025-10-02T19:22:00Z,61.00,45.00
2025-10-02T19:27:00Z,61.00,45.00
2025-10-02T19:28:00Z,61.00,45.00
2025-10-02T19:29:00Z,61.00,45.00
2025-10-02T19:35:00Z,61.00,45.00
2025-10-02T19:38:00Z,61.00,45.00
2025-10-02T19:40:00Z,61.00,45.00
2025-10-02T19:55:00Z,61.00,45.00
2025-10-02T19:59:00Z,61.00,45.00
2025-10-02T20:01:00Z,61.00,40.00
2025-10-02T20:08:00Z,61.00,40.00
2025-10-02T20:17:00Z,61.00,40.00
2025-10-02T20:19:00Z,61.00,40.00
2025-10-02T20:24:00Z,61.00,40.00
2025-10-02T20:28:00Z,62.00,40.00
2025-10-02T20:56:00Z,62.00,40.00
2025-10-02T20:57:00Z,62.00,40.00
2025-10-02T21:09:00Z,62.00,40.00
2025-10-02T21:17:00Z,62.00,40.00
2025-10-02T21:27:00Z,62.00,39.00
2025-10-02T21:36:00Z,62.00,39.00
2025-10-02T21:55:00Z,62.00,39.00
2025-10-02T22:03:00Z,62.00,39.00
2025-10-02T22:06:00Z,62.00,39.00
2025-10-02T22:09:00Z,62.00,39.00
2025-10-02T22:17:00Z,62.00,39.00
2025-10-02T22:36:00Z,62.00,39.00
2025-10-02T22:40:00Z,62.00,39.00
2025-10-02T22:43:00Z,62.00,39.00
2025-10-02T22:54:00Z,62.00,39.00
2025-10-02T22:57:00Z,62.00,39.00
2025-10-02T23:08:00Z,62.00,39.00
2025-10-02T23:09:00Z,62.00,39.00
2025-10-02T23:10:00Z,62.00,39.00
2025-10-02T23:16:00Z,62.00,39.00
2025-10-02T23:19:00Z,62.00,39.00
2025-10-02T23:26:00Z,62.00,39.00
2025-10-02T23:34:00Z,62.00,39.00
2025-10-02T23:35:00Z,62.00,39.00
2025-10-02T23:37:00Z,62.00,39.00
2025-10-02T23:40:00Z,62.00,39.00
2025-10-02T23:43:00Z,62.00,39.00
2025-10-02T23:48:00Z,62.00,39.00
2025-10-02T23:49:00Z,62.00,39.00
2025-10-02T23:55:00Z,62.00,39.00
2025-10-02T23:58:00Z,62.00,39.00
2025-10-03T00:14:00Z,62.00,39.00
2025-10-03T00:19:00Z,62.00,39.00
2025-10-03T00:20:00Z,62.00,39.00
2025-10-03T00:24:00Z,62.86,39.00
2025-10-03T00:26:00Z,62.86,39.00
