# event_ticker=KXATPCHALLENGERMATCH-26MAY13SQUALT
# final_score=6-3 6-3
# match_winner=Daniel Altmaier
# fav_player=Daniel Altmaier
# dog_player=Henri Squire
# kalshi_date=2026-05-13
timestamp,Henri Squire,Daniel Altmaier
2026-05-13T01:30:00Z,,73.00
2026-05-13T02:23:00Z,,73.00
2026-05-13T02:30:00Z,,73.00
2026-05-13T02:43:00Z,,73.00
2026-05-13T02:57:00Z,29.00,73.00
2026-05-13T02:58:00Z,29.00,73.00
2026-05-13T03:11:00Z,29.00,73.00
2026-05-13T03:19:00Z,29.00,73.00
2026-05-13T03:20:00Z,29.00,73.00
2026-05-13T03:42:00Z,29.00,73.00
2026-05-13T03:56:00Z,29.00,73.00
2026-05-13T04:11:00Z,29.00,73.00
2026-05-13T04:51:00Z,29.00,73.00
2026-05-13T04:52:00Z,29.00,73.00
2026-05-13T04:57:00Z,29.00,73.00
2026-05-13T05:40:00Z,29.00,73.00
2026-05-13T05:42:00Z,29.00,74.00
2026-05-13T05:43:00Z,27.00,74.00
2026-05-13T06:18:00Z,27.00,74.00
2026-05-13T08:22:00Z,27.00,74.56
2026-05-13T08:23:00Z,27.00,74.00
2026-05-13T08:40:00Z,27.00,74.00
2026-05-13T08:42:00Z,27.00,75.00
2026-05-13T09:18:00Z,27.00,74.00
2026-05-13T09:31:00Z,27.00,74.00
2026-05-13T09:58:00Z,27.00,74.00
2026-05-13T10:23:00Z,27.00,74.00
2026-05-13T10:25:00Z,27.00,74.00
2026-05-13T10:26:00Z,27.00,74.00
2026-05-13T10:31:00Z,27.00,74.00
2026-05-13T10:32:00Z,27.00,73.00
2026-05-13T10:36:00Z,27.00,74.00
2026-05-13T10:43:00Z,27.00,74.99
2026-05-13T10:50:00Z,27.00,75.00
2026-05-13T10:53:00Z,27.00,75.00
2026-05-13T10:58:00Z,27.00,73.00
2026-05-13T10:59:00Z,30.25,68.79
2026-05-13T11:00:00Z,30.25,66.28
2026-05-13T11:01:00Z,31.97,66.00
2026-05-13T11:04:00Z,28.00,74.00
2026-05-13T11:05:00Z,28.00,74.11
2026-05-13T11:06:00Z,28.00,77.66
2026-05-13T11:07:00Z,28.00,78.00
2026-05-13T11:08:00Z,28.00,72.00
2026-05-13T11:09:00Z,28.00,70.00
2026-05-13T11:40:00Z,22.00,78.00
2026-05-13T11:41:00Z,16.00,84.00
2026-05-13T11:42:00Z,11.50,92.13
2026-05-13T11:43:00Z,5.99,92.13
2026-05-13T11:44:00Z,5.00,92.13
2026-05-13T11:50:00Z,5.00,92.13
2026-05-13T11:51:00Z,14.00,96.00
2026-05-13T11:53:00Z,4.00,96.00
2026-05-13T11:54:00Z,6.00,96.00
2026-05-13T11:55:00Z,6.00,96.00
2026-05-13T11:56:00Z,8.00,91.37
2026-05-13T11:57:00Z,8.00,95.00
2026-05-13T11:58:00Z,5.23,95.00
2026-05-13T11:59:00Z,7.02,94.00
2026-05-13T12:00:00Z,8.77,94.33
2026-05-13T12:01:00Z,6.02,92.00
2026-05-13T12:02:00Z,6.02,95.69
2026-05-13T12:03:00Z,6.00,96.00
2026-05-13T12:04:00Z,6.00,94.05
2026-05-13T12:05:00Z,6.00,95.00
2026-05-13T12:06:00Z,9.00,94.00
2026-05-13T12:07:00Z,8.89,95.00
2026-05-13T12:08:00Z,5.00,95.00
2026-05-13T12:09:00Z,2.93,96.01
2026-05-13T12:10:00Z,2.93,97.00
2026-05-13T12:11:00Z,5.00,97.00
2026-05-13T12:12:00Z,4.56,97.00
2026-05-13T12:13:00Z,5.00,96.00
2026-05-13T12:14:00Z,5.00,96.91
2026-05-13T12:15:00Z,5.00,96.61
2026-05-13T12:16:00Z,8.00,96.61
2026-05-13T12:17:00Z,6.43,92.00
2026-05-13T12:18:00Z,8.32,90.00
2026-05-13T12:19:00Z,9.95,91.02
2026-05-13T12:20:00Z,10.81,91.82
2026-05-13T12:21:00Z,8.24,96.38
2026-05-13T12:22:00Z,4.00,97.89
2026-05-13T12:23:00Z,2.00,98.01
2026-05-13T12:24:00Z,1.23,98.90
2026-05-13T12:25:00Z,1.00,99.00
2026-05-13T12:26:00Z,1.00,99.00
