# event_ticker=KXATPCHALLENGERMATCH-26MAY06PDATOS
# final_score=6-0 6-1
# match_winner=Matheus Pucinelli De Almeida
# fav_player=Matheus Pucinelli de Almeida
# dog_player=Rafael Tosetto
# kalshi_date=2026-05-06
timestamp,Matheus Pucinelli de Almeida,Rafael Tosetto
2026-05-06T05:02:00Z,85.00,
2026-05-06T05:06:00Z,89.55,9.49
2026-05-06T06:06:00Z,89.55,12.66
2026-05-06T06:09:00Z,89.55,14.00
2026-05-06T06:41:00Z,89.55,14.00
2026-05-06T07:42:00Z,90.00,14.00
2026-05-06T08:00:00Z,89.00,11.00
2026-05-06T08:01:00Z,90.00,11.00
2026-05-06T08:06:00Z,90.00,11.00
2026-05-06T08:07:00Z,90.00,10.00
2026-05-06T09:15:00Z,92.00,10.00
2026-05-06T09:50:00Z,92.00,10.00
2026-05-06T09:55:00Z,92.00,10.00
2026-05-06T11:22:00Z,90.00,10.00
2026-05-06T11:49:00Z,90.34,9.00
2026-05-06T13:18:00Z,90.34,9.00
2026-05-06T13:28:00Z,90.34,10.00
2026-05-06T13:32:00Z,92.00,10.00
2026-05-06T13:44:00Z,92.00,10.00
2026-05-06T13:50:00Z,91.00,10.00
2026-05-06T14:35:00Z,91.00,10.00
2026-05-06T14:47:00Z,91.00,10.00
2026-05-06T14:48:00Z,91.00,10.00
2026-05-06T14:57:00Z,91.00,10.00
2026-05-06T15:11:00Z,91.00,10.00
2026-05-06T15:14:00Z,90.00,10.00
2026-05-06T15:27:00Z,90.00,10.00
2026-05-06T15:32:00Z,91.00,10.00
2026-05-06T15:34:00Z,91.00,10.00
2026-05-06T15:40:00Z,91.00,10.00
2026-05-06T15:45:00Z,91.00,10.00
2026-05-06T15:46:00Z,91.00,10.00
2026-05-06T15:59:00Z,91.00,10.00
2026-05-06T16:01:00Z,92.00,9.00
2026-05-06T16:04:00Z,92.00,10.00
2026-05-06T16:06:00Z,92.00,10.50
2026-05-06T16:17:00Z,90.00,10.50
2026-05-06T16:22:00Z,90.00,11.00
2026-05-06T16:23:00Z,90.00,11.00
2026-05-06T16:25:00Z,90.00,11.00
2026-05-06T16:26:00Z,91.00,11.00
2026-05-06T16:28:00Z,88.98,11.00
2026-05-06T16:30:00Z,88.98,11.00
2026-05-06T16:31:00Z,88.98,11.00
2026-05-06T16:33:00Z,88.98,11.00
2026-05-06T16:34:00Z,88.98,11.00
2026-05-06T16:35:00Z,90.01,9.99
2026-05-06T16:36:00Z,90.01,9.00
2026-05-06T16:37:00Z,93.00,8.00
2026-05-06T16:38:00Z,93.00,8.00
2026-05-06T16:39:00Z,93.00,7.00
2026-05-06T16:40:00Z,92.06,8.10
2026-05-06T16:41:00Z,93.13,7.97
2026-05-06T16:42:00Z,95.00,5.22
2026-05-06T16:43:00Z,96.00,5.22
2026-05-06T16:44:00Z,96.00,5.22
2026-05-06T16:45:00Z,95.89,5.22
2026-05-06T16:46:00Z,95.89,4.00
2026-05-06T16:47:00Z,97.00,4.00
2026-05-06T16:48:00Z,97.00,4.00
2026-05-06T16:49:00Z,96.61,3.00
2026-05-06T16:50:00Z,96.61,4.00
2026-05-06T16:51:00Z,96.99,4.00
2026-05-06T16:52:00Z,96.99,4.00
2026-05-06T16:53:00Z,98.00,4.00
2026-05-06T16:54:00Z,98.00,3.00
2026-05-06T16:55:00Z,98.00,3.00
2026-05-06T16:56:00Z,98.00,2.01
2026-05-06T16:57:00Z,98.00,3.00
2026-05-06T16:58:00Z,99.00,3.00
2026-05-06T17:00:00Z,99.00,3.00
2026-05-06T17:01:00Z,99.00,3.00
2026-05-06T17:02:00Z,99.00,2.91
2026-05-06T17:03:00Z,99.00,2.91
2026-05-06T17:04:00Z,99.00,2.00
2026-05-06T17:05:00Z,99.00,2.69
2026-05-06T17:06:00Z,99.00,2.69
2026-05-06T17:07:00Z,99.00,2.00
2026-05-06T17:08:00Z,99.00,1.30
2026-05-06T17:09:00Z,99.00,1.95
2026-05-06T17:10:00Z,98.78,1.00
2026-05-06T17:12:00Z,98.78,1.00
2026-05-06T17:13:00Z,98.78,1.00
2026-05-06T17:14:00Z,98.78,1.00
2026-05-06T17:15:00Z,99.00,1.00
2026-05-06T17:16:00Z,99.00,1.00
2026-05-06T17:17:00Z,98.74,1.00
2026-05-06T17:18:00Z,99.00,1.51
2026-05-06T17:19:00Z,98.99,1.00
2026-05-06T17:20:00Z,98.99,1.00
2026-05-06T17:21:00Z,98.99,1.00
2026-05-06T17:22:00Z,98.99,1.00
2026-05-06T17:23:00Z,98.99,1.00
2026-05-06T17:27:00Z,99.00,1.00
2026-05-06T17:28:00Z,99.00,1.00
2026-05-06T17:29:00Z,99.00,1.00
2026-05-06T17:30:00Z,99.00,1.00
2026-05-06T17:31:00Z,99.00,1.00
2026-05-06T17:32:00Z,99.00,1.00
2026-05-06T17:33:00Z,99.00,1.00
