# event_ticker=KXATPMATCH-25OCT14FONVAN
# final_score=7-5 7-6(2)
# score_resolution=7-5 7-6
# match_winner=Botic van de Zandschulp
# fav_player=Botic Van de Zandschulp
# dog_player=Joao Fonseca
# kalshi_date=2025-10-14
timestamp,Botic Van de Zandschulp,Joao Fonseca
2025-10-14T07:40:00Z,37.00,
2025-10-14T08:34:00Z,36.00,
2025-10-14T08:44:00Z,36.00,66.00
2025-10-14T11:54:00Z,36.00,66.00
2025-10-14T12:20:00Z,36.00,66.00
2025-10-14T12:23:00Z,36.00,66.00
2025-10-14T12:30:00Z,35.00,66.00
2025-10-14T12:32:00Z,35.00,66.00
2025-10-14T12:37:00Z,35.00,66.00
2025-10-14T13:11:00Z,35.66,66.00
2025-10-14T13:14:00Z,36.00,66.00
2025-10-14T13:24:00Z,36.00,66.00
2025-10-14T13:25:00Z,36.00,66.00
2025-10-14T13:28:00Z,36.00,66.00
2025-10-14T13:42:00Z,36.00,66.00
2025-10-14T13:43:00Z,36.00,66.00
2025-10-14T13:50:00Z,36.00,66.00
2025-10-14T13:54:00Z,36.00,66.00
2025-10-14T13:56:00Z,36.00,65.00
2025-10-14T13:57:00Z,36.00,65.00
2025-10-14T14:03:00Z,36.00,65.00
2025-10-14T14:09:00Z,36.00,65.00
2025-10-14T14:10:00Z,36.00,65.56
2025-10-14T14:12:00Z,36.00,65.56
2025-10-14T14:18:00Z,36.00,66.00
2025-10-14T14:19:00Z,36.00,66.00
2025-10-14T14:22:00Z,36.00,66.00
2025-10-14T14:23:00Z,36.00,66.00
2025-10-14T14:24:00Z,36.00,66.00
2025-10-14T14:29:00Z,36.00,66.00
2025-10-14T14:30:00Z,36.00,66.00
2025-10-14T14:36:00Z,36.00,66.00
2025-10-14T14:39:00Z,36.00,66.00
2025-10-14T14:41:00Z,36.00,66.00
2025-10-14T14:46:00Z,36.00,66.00
2025-10-14T14:57:00Z,36.00,66.00
2025-10-14T15:01:00Z,36.00,66.00
2025-10-14T15:05:00Z,36.00,64.00
2025-10-14T15:06:00Z,36.00,64.00
2025-10-14T15:11:00Z,36.00,65.00
2025-10-14T15:12:00Z,36.00,65.00
2025-10-14T15:18:00Z,36.00,65.00
2025-10-14T15:19:00Z,36.00,65.00
2025-10-14T15:25:00Z,36.00,65.00
2025-10-14T15:26:00Z,36.00,65.00
2025-10-14T15:27:00Z,37.00,65.00
2025-10-14T15:30:00Z,37.00,65.00
2025-10-14T15:31:00Z,37.00,65.00
2025-10-14T15:39:00Z,37.00,65.00
2025-10-14T15:48:00Z,37.00,65.00
2025-10-14T15:49:00Z,37.00,65.00
2025-10-14T15:50:00Z,37.00,65.00
2025-10-14T15:54:00Z,37.00,65.00
2025-10-14T15:56:00Z,36.00,65.00
2025-10-14T15:58:00Z,36.00,65.00
2025-10-14T16:00:00Z,36.00,65.00
2025-10-14T16:03:00Z,36.00,65.00
2025-10-14T16:06:00Z,36.00,65.00
2025-10-14T16:08:00Z,36.00,65.00
2025-10-14T16:09:00Z,36.00,65.00
2025-10-14T16:10:00Z,36.00,65.00
2025-10-14T16:12:00Z,36.67,64.25
2025-10-14T16:13:00Z,36.67,64.00
2025-10-14T16:15:00Z,36.00,65.00
2025-10-14T16:16:00Z,36.00,65.00
2025-10-14T16:17:00Z,36.48,65.00
2025-10-14T16:18:00Z,36.00,64.12
2025-10-14T16:19:00Z,37.00,64.00
2025-10-14T16:21:00Z,37.00,64.00
2025-10-14T16:24:00Z,37.00,64.00
2025-10-14T16:25:00Z,37.00,64.00
2025-10-14T16:26:00Z,37.00,64.09
2025-10-14T16:28:00Z,37.00,65.00
2025-10-14T16:29:00Z,36.08,65.00
2025-10-14T16:31:00Z,36.08,65.00
2025-10-14T16:32:00Z,36.08,65.00
2025-10-14T16:34:00Z,36.08,65.00
2025-10-14T16:39:00Z,36.08,66.00
2025-10-14T16:40:00Z,36.00,66.00
2025-10-14T16:41:00Z,36.00,66.00
2025-10-14T16:42:00Z,36.00,66.00
2025-10-14T16:43:00Z,36.00,66.00
