# event_ticker=KXATPCHALLENGERMATCH-26MAY20MARMON
# final_score=6-2 3-6 7-6(5)
# score_resolution=6-2 3-6 7-6
# match_winner=Thiago Monteiro
# fav_player=Thiago Monteiro
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-05-20
timestamp,Pol Martin Tiffon,Thiago Monteiro
2026-05-20T18:34:00Z,60.06,
2026-05-20T18:35:00Z,60.35,38.00
2026-05-20T18:36:00Z,62.00,38.00
2026-05-20T18:37:00Z,62.00,37.00
2026-05-20T18:38:00Z,60.05,37.00
2026-05-20T18:39:00Z,60.68,37.29
2026-05-20T18:40:00Z,60.00,39.00
2026-05-20T18:41:00Z,60.00,39.00
2026-05-20T18:42:00Z,60.00,38.94
2026-05-20T18:43:00Z,60.66,38.00
2026-05-20T18:44:00Z,61.00,38.00
2026-05-20T18:45:00Z,60.01,38.00
2026-05-20T18:47:00Z,60.56,39.00
2026-05-20T18:48:00Z,60.32,39.00
2026-05-20T18:49:00Z,60.14,38.21
2026-05-20T18:50:00Z,60.27,38.97
2026-05-20T18:51:00Z,60.00,38.00
2026-05-20T18:52:00Z,61.07,43.64
2026-05-20T18:53:00Z,61.90,34.03
2026-05-20T18:54:00Z,59.60,37.26
2026-05-20T18:55:00Z,60.60,37.26
2026-05-20T18:56:00Z,60.40,39.00
2026-05-20T18:57:00Z,59.66,39.00
2026-05-20T18:58:00Z,59.78,37.44
2026-05-20T18:59:00Z,60.02,38.00
2026-05-20T19:00:00Z,61.00,38.87
2026-05-20T19:01:00Z,61.00,39.00
2026-05-20T19:02:00Z,60.80,39.00
2026-05-20T19:03:00Z,60.81,39.00
2026-05-20T19:04:00Z,61.80,39.00
2026-05-20T19:05:00Z,62.00,39.00
2026-05-20T19:06:00Z,62.00,38.00
2026-05-20T19:08:00Z,61.85,39.00
2026-05-20T19:09:00Z,62.00,39.04
2026-05-20T19:10:00Z,62.02,39.75
2026-05-20T19:11:00Z,62.14,39.00
2026-05-20T19:12:00Z,62.37,37.03
2026-05-20T19:13:00Z,63.00,37.03
2026-05-20T19:14:00Z,62.96,37.10
2026-05-20T19:15:00Z,62.04,37.02
2026-05-20T19:16:00Z,62.01,37.02
2026-05-20T19:17:00Z,61.09,38.11
2026-05-20T19:18:00Z,60.82,40.00
2026-05-20T19:19:00Z,61.00,40.00
2026-05-20T19:20:00Z,60.59,40.00
2026-05-20T19:21:00Z,60.00,40.00
2026-05-20T19:22:00Z,62.24,40.00
2026-05-20T19:23:00Z,61.09,40.00
2026-05-20T19:24:00Z,62.74,38.37
2026-05-20T19:25:00Z,62.96,39.04
2026-05-20T19:26:00Z,62.72,39.19
2026-05-20T19:27:00Z,61.38,38.44
2026-05-20T19:28:00Z,61.15,39.82
2026-05-20T19:29:00Z,62.56,39.71
2026-05-20T19:30:00Z,61.05,40.00
2026-05-20T19:31:00Z,61.21,39.31
2026-05-20T19:32:00Z,62.41,39.72
2026-05-20T19:33:00Z,62.79,40.50
2026-05-20T19:34:00Z,62.07,40.00
2026-05-20T19:35:00Z,62.83,37.67
2026-05-20T19:36:00Z,62.14,40.00
2026-05-20T19:37:00Z,62.32,40.00
2026-05-20T19:38:00Z,62.39,40.00
2026-05-20T19:39:00Z,62.07,38.10
2026-05-20T19:40:00Z,62.00,38.71
2026-05-20T19:41:00Z,62.63,40.00
2026-05-20T19:42:00Z,62.83,37.42
2026-05-20T19:43:00Z,62.42,37.29
2026-05-20T19:44:00Z,62.94,39.78
2026-05-20T19:45:00Z,62.68,40.00
2026-05-20T19:46:00Z,62.22,40.00
2026-05-20T19:47:00Z,61.80,39.65
2026-05-20T19:48:00Z,62.67,38.20
2026-05-20T19:49:00Z,62.15,40.00
2026-05-20T19:50:00Z,62.51,37.76
2026-05-20T19:51:00Z,62.19,39.80
2026-05-20T19:52:00Z,60.82,38.00
2026-05-20T19:53:00Z,60.00,39.93
2026-05-20T19:54:00Z,62.00,40.00
2026-05-20T19:55:00Z,62.00,40.00
2026-05-20T19:56:00Z,63.44,39.81
2026-05-20T19:57:00Z,62.28,38.17
2026-05-20T19:58:00Z,61.50,38.36
2026-05-20T19:59:00Z,62.38,37.71
2026-05-20T20:00:00Z,61.01,38.00
2026-05-20T20:01:00Z,61.09,38.00
2026-05-20T20:02:00Z,62.14,38.00
2026-05-20T20:03:00Z,61.07,38.00
2026-05-20T20:04:00Z,61.63,39.00
2026-05-20T20:05:00Z,63.64,39.00
2026-05-20T20:06:00Z,63.25,39.00
2026-05-20T20:07:00Z,61.23,38.00
2026-05-20T20:08:00Z,61.62,37.00
2026-05-20T20:09:00Z,63.12,37.00
2026-05-20T20:10:00Z,63.68,37.00
2026-05-20T20:11:00Z,62.48,38.00
2026-05-20T20:12:00Z,63.69,38.00
2026-05-20T20:13:00Z,62.11,39.00
2026-05-20T20:14:00Z,62.41,38.04
2026-05-20T20:15:00Z,62.29,39.00
2026-05-20T20:16:00Z,62.07,39.00
2026-05-20T20:17:00Z,61.48,38.00
2026-05-20T20:18:00Z,61.63,38.00
2026-05-20T20:19:00Z,61.89,37.00
2026-05-20T20:20:00Z,62.40,37.00
2026-05-20T20:21:00Z,61.00,37.00
2026-05-20T20:22:00Z,63.87,37.00
2026-05-20T20:23:00Z,62.93,37.97
2026-05-20T20:24:00Z,64.10,39.00
2026-05-20T20:25:00Z,63.00,39.00
2026-05-20T20:26:00Z,62.00,38.62
2026-05-20T20:27:00Z,62.97,38.86
2026-05-20T20:28:00Z,62.00,37.15
2026-05-20T20:29:00Z,63.00,37.15
2026-05-20T20:30:00Z,63.00,37.15
2026-05-20T20:31:00Z,61.61,37.15
2026-05-20T20:32:00Z,61.46,39.00
2026-05-20T20:33:00Z,61.46,39.00
2026-05-20T20:34:00Z,64.41,39.00
2026-05-20T20:35:00Z,62.82,39.00
2026-05-20T20:36:00Z,63.00,39.00
2026-05-20T20:37:00Z,62.88,39.00
2026-05-20T20:38:00Z,62.09,39.00
2026-05-20T20:39:00Z,62.00,39.00
2026-05-20T20:40:00Z,62.64,38.00
2026-05-20T20:41:00Z,63.00,37.02
2026-05-20T20:42:00Z,63.00,38.54
2026-05-20T20:43:00Z,64.30,38.54
2026-05-20T20:44:00Z,64.56,38.54
2026-05-20T20:45:00Z,64.54,38.00
2026-05-20T20:46:00Z,64.00,38.00
2026-05-20T20:47:00Z,64.13,38.00
2026-05-20T20:48:00Z,63.00,38.00
2026-05-20T20:49:00Z,62.76,38.77
2026-05-20T20:50:00Z,62.62,37.00
2026-05-20T20:51:00Z,62.28,37.00
2026-05-20T20:52:00Z,63.06,37.00
2026-05-20T20:53:00Z,62.00,37.00
2026-05-20T20:54:00Z,63.00,38.00
2026-05-20T20:56:00Z,64.53,38.00
2026-05-20T20:57:00Z,62.16,37.24
2026-05-20T20:58:00Z,62.16,38.00
2026-05-20T20:59:00Z,63.46,36.59
2026-05-20T21:00:00Z,62.69,38.00
2026-05-20T21:01:00Z,62.00,38.00
2026-05-20T21:02:00Z,60.40,38.00
2026-05-20T21:03:00Z,61.26,37.47
2026-05-20T21:04:00Z,63.00,37.00
2026-05-20T21:05:00Z,63.00,38.00
2026-05-20T21:06:00Z,63.00,37.96
2026-05-20T21:07:00Z,62.77,37.96
2026-05-20T21:08:00Z,62.76,37.28
2026-05-20T21:09:00Z,63.00,37.00
2026-05-20T21:10:00Z,63.48,37.00
2026-05-20T21:11:00Z,63.05,36.68
2026-05-20T21:12:00Z,63.61,36.20
2026-05-20T21:13:00Z,63.00,38.00
2026-05-20T21:14:00Z,62.14,37.00
2026-05-20T21:15:00Z,61.94,38.00
2026-05-20T21:16:00Z,62.80,38.00
2026-05-20T21:17:00Z,61.20,38.00
2026-05-20T21:18:00Z,60.58,38.00
2026-05-20T21:19:00Z,61.00,38.00
2026-05-20T21:20:00Z,62.00,38.00
2026-05-20T21:21:00Z,60.87,37.78
2026-05-20T21:22:00Z,62.00,36.36
2026-05-20T21:23:00Z,61.50,38.00
2026-05-20T21:24:00Z,61.42,38.00
2026-05-20T21:25:00Z,62.83,37.00
2026-05-20T21:26:00Z,62.17,37.00
2026-05-20T21:27:00Z,61.00,38.00
2026-05-20T21:28:00Z,62.30,38.00
2026-05-20T21:29:00Z,61.00,37.00
2026-05-20T21:30:00Z,63.00,38.00
2026-05-20T21:31:00Z,61.00,37.96
2026-05-20T21:32:00Z,61.40,37.96
2026-05-20T21:33:00Z,62.50,38.00
2026-05-20T21:34:00Z,61.05,38.33
