# event_ticker=KXATPMATCH-25JUL17SHEBUB
# final_score=6-2 6-3
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Alexander Shevchenko
# kalshi_date=2025-07-17
timestamp,Alexander Bublik,Alexander Shevchenko
2025-07-17T02:28:00Z,62.00,
2025-07-17T03:27:00Z,62.00,
2025-07-17T04:25:00Z,61.00,
2025-07-17T04:27:00Z,61.00,
2025-07-17T04:44:00Z,61.00,
2025-07-17T04:58:00Z,61.00,
2025-07-17T05:19:00Z,61.00,40.00
2025-07-17T05:37:00Z,61.06,40.00
2025-07-17T05:41:00Z,61.51,40.00
2025-07-17T05:42:00Z,61.51,39.00
2025-07-17T05:43:00Z,62.00,39.00
2025-07-17T06:31:00Z,62.00,39.00
2025-07-17T06:34:00Z,62.00,39.00
2025-07-17T06:37:00Z,62.00,39.00
2025-07-17T06:53:00Z,62.00,39.00
2025-07-17T12:12:00Z,62.00,37.24
2025-07-17T12:14:00Z,65.00,37.00
2025-07-17T12:19:00Z,65.00,37.00
2025-07-17T12:20:00Z,65.00,37.00
2025-07-17T12:22:00Z,65.00,37.00
2025-07-17T12:24:00Z,65.00,37.00
2025-07-17T12:25:00Z,65.00,37.00
2025-07-17T12:27:00Z,65.00,37.00
2025-07-17T12:28:00Z,66.00,37.00
2025-07-17T12:36:00Z,66.00,37.00
2025-07-17T12:38:00Z,66.00,37.00
2025-07-17T12:39:00Z,66.00,36.00
2025-07-17T12:55:00Z,66.61,36.00
2025-07-17T13:00:00Z,66.00,36.00
2025-07-17T13:02:00Z,66.14,36.00
2025-07-17T13:03:00Z,66.00,36.00
2025-07-17T13:05:00Z,66.84,36.00
2025-07-17T13:06:00Z,66.84,35.00
2025-07-17T13:10:00Z,68.00,35.00
2025-07-17T13:12:00Z,68.00,35.00
2025-07-17T13:15:00Z,67.00,35.00
2025-07-17T13:18:00Z,67.00,35.00
2025-07-17T13:26:00Z,67.00,35.00
2025-07-17T13:31:00Z,67.00,35.00
2025-07-17T13:34:00Z,67.00,35.00
2025-07-17T13:35:00Z,67.00,34.52
2025-07-17T13:41:00Z,69.00,34.52
2025-07-17T13:42:00Z,71.72,34.52
2025-07-17T13:43:00Z,74.00,34.52
2025-07-17T13:45:00Z,74.00,35.92
2025-07-17T13:46:00Z,74.00,35.92
2025-07-17T13:47:00Z,74.00,34.00
2025-07-17T13:52:00Z,67.68,34.00
