# event_ticker=KXATPCHALLENGERMATCH-26MAY26SINDAL
# final_score=7-6(4) 4-1 RET
# match_winner=Guillaume Dalmasso
# fav_player=Karan (IND) Singh
# dog_player=Guillaume Dalmasso
# kalshi_date=2026-05-26
timestamp,Karan (IND) Singh,Guillaume Dalmasso
2026-05-26T02:29:00Z,,41.00
2026-05-26T10:22:00Z,62.00,41.00
2026-05-26T10:41:00Z,62.00,40.00
2026-05-26T10:59:00Z,62.00,40.00
2026-05-26T11:40:00Z,62.00,41.09
2026-05-26T11:45:00Z,62.00,41.09
2026-05-26T11:48:00Z,58.00,43.00
2026-05-26T11:49:00Z,52.07,47.71
2026-05-26T11:50:00Z,52.07,52.20
2026-05-26T11:51:00Z,52.07,51.30
2026-05-26T11:52:00Z,52.07,59.00
2026-05-26T11:53:00Z,39.00,61.77
2026-05-26T11:55:00Z,41.00,60.00
2026-05-26T11:58:00Z,37.50,60.00
2026-05-26T12:00:00Z,39.57,59.00
2026-05-26T12:01:00Z,46.33,53.73
2026-05-26T12:02:00Z,52.93,47.12
2026-05-26T12:03:00Z,57.22,43.00
2026-05-26T12:05:00Z,60.00,43.00
2026-05-26T12:07:00Z,63.00,39.54
2026-05-26T12:08:00Z,60.00,40.00
2026-05-26T12:09:00Z,58.00,42.00
2026-05-26T12:11:00Z,62.70,42.00
2026-05-26T12:12:00Z,64.00,37.00
2026-05-26T12:13:00Z,61.50,39.99
2026-05-26T12:15:00Z,61.00,43.00
2026-05-26T12:17:00Z,62.00,43.00
2026-05-26T12:18:00Z,64.06,39.00
2026-05-26T12:19:00Z,69.02,29.57
2026-05-26T12:20:00Z,66.00,32.98
2026-05-26T12:21:00Z,60.00,40.85
2026-05-26T12:22:00Z,59.50,40.86
2026-05-26T12:23:00Z,59.50,40.89
2026-05-26T12:24:00Z,60.68,47.53
2026-05-26T12:26:00Z,52.09,46.11
2026-05-26T12:27:00Z,42.72,56.88
2026-05-26T12:28:00Z,32.33,65.54
2026-05-26T12:29:00Z,29.91,68.00
2026-05-26T12:30:00Z,31.00,68.05
2026-05-26T12:31:00Z,26.00,70.95
2026-05-26T12:32:00Z,26.00,74.13
2026-05-26T12:33:00Z,26.00,73.00
2026-05-26T12:34:00Z,33.63,65.00
2026-05-26T12:35:00Z,35.48,64.00
2026-05-26T12:36:00Z,37.00,64.00
2026-05-26T12:37:00Z,38.08,64.35
2026-05-26T12:38:00Z,33.00,66.23
2026-05-26T12:39:00Z,32.92,68.00
2026-05-26T12:40:00Z,32.92,70.00
2026-05-26T12:41:00Z,21.38,74.40
2026-05-26T12:42:00Z,20.66,79.52
2026-05-26T12:43:00Z,23.17,77.52
2026-05-26T12:44:00Z,25.25,73.13
2026-05-26T12:45:00Z,27.00,74.40
2026-05-26T12:46:00Z,29.71,71.66
2026-05-26T12:47:00Z,27.00,71.39
2026-05-26T12:48:00Z,28.86,73.91
2026-05-26T12:49:00Z,28.86,74.48
2026-05-26T12:50:00Z,27.82,75.00
2026-05-26T12:51:00Z,23.09,83.63
2026-05-26T12:52:00Z,8.70,91.21
2026-05-26T12:53:00Z,5.11,94.90
2026-05-26T12:54:00Z,4.02,96.00
2026-05-26T12:55:00Z,1.38,98.56
2026-05-26T12:56:00Z,1.00,97.44
2026-05-26T13:02:00Z,1.00,92.00
2026-05-26T13:03:00Z,1.00,95.00
2026-05-26T13:04:00Z,4.00,95.00
2026-05-26T13:05:00Z,4.00,95.00
2026-05-26T13:06:00Z,4.00,95.96
2026-05-26T13:07:00Z,4.00,95.00
