# event_ticker=KXATPCHALLENGERMATCH-26APR21WISERH
# final_score=6-1 7-6(2)
# score_resolution=6-1 7-6
# match_winner=Max Wiskandt
# fav_player=Max Wiskandt
# dog_player=Mathys Erhard
# kalshi_date=2026-04-21
timestamp,Max Wiskandt,Mathys Erhard
2026-04-21T02:13:00Z,,70.00
2026-04-21T02:20:00Z,,70.00
2026-04-21T03:39:00Z,,70.00
2026-04-21T03:45:00Z,,70.00
2026-04-21T05:43:00Z,,69.00
2026-04-21T06:01:00Z,,69.00
2026-04-21T06:17:00Z,,69.22
2026-04-21T07:04:00Z,,68.33
2026-04-21T07:20:00Z,,69.00
2026-04-21T07:51:00Z,,70.00
2026-04-21T08:05:00Z,32.00,70.00
2026-04-21T10:31:00Z,32.00,70.00
2026-04-21T10:39:00Z,31.00,70.00
2026-04-21T10:41:00Z,30.00,70.00
2026-04-21T10:44:00Z,30.00,72.00
2026-04-21T10:45:00Z,26.17,72.00
2026-04-21T10:46:00Z,26.17,76.00
2026-04-21T10:47:00Z,23.05,79.90
2026-04-21T10:48:00Z,23.96,79.90
2026-04-21T10:49:00Z,27.00,79.90
2026-04-21T10:50:00Z,30.94,71.04
2026-04-21T10:51:00Z,30.94,69.00
2026-04-21T10:52:00Z,32.07,68.00
2026-04-21T10:53:00Z,31.00,69.00
2026-04-21T10:54:00Z,35.31,66.50
2026-04-21T10:55:00Z,36.00,65.00
2026-04-21T10:56:00Z,37.65,63.50
2026-04-21T10:57:00Z,43.85,60.91
2026-04-21T10:58:00Z,47.13,53.68
2026-04-21T10:59:00Z,50.00,52.25
2026-04-21T11:00:00Z,54.00,49.00
2026-04-21T11:01:00Z,55.00,49.00
2026-04-21T11:02:00Z,55.00,43.50
2026-04-21T11:03:00Z,57.00,43.50
2026-04-21T11:04:00Z,60.02,43.50
2026-04-21T11:05:00Z,62.76,35.05
2026-04-21T11:07:00Z,68.00,32.00
2026-04-21T11:08:00Z,68.00,32.00
2026-04-21T11:09:00Z,68.00,34.00
2026-04-21T11:10:00Z,68.52,34.00
2026-04-21T11:12:00Z,69.00,34.00
2026-04-21T11:13:00Z,69.70,27.98
2026-04-21T11:14:00Z,76.98,27.98
2026-04-21T11:15:00Z,79.92,27.98
2026-04-21T11:16:00Z,73.45,25.73
2026-04-21T11:17:00Z,73.45,35.00
2026-04-21T11:18:00Z,59.00,39.00
2026-04-21T11:19:00Z,50.85,43.85
2026-04-21T11:20:00Z,58.33,44.00
2026-04-21T11:21:00Z,64.00,37.95
2026-04-21T11:22:00Z,69.62,33.68
2026-04-21T11:24:00Z,70.00,32.00
2026-04-21T11:25:00Z,65.00,32.00
2026-04-21T11:26:00Z,65.00,35.00
2026-04-21T11:27:00Z,65.00,34.33
2026-04-21T11:29:00Z,66.00,38.00
2026-04-21T11:30:00Z,66.00,35.00
2026-04-21T11:31:00Z,57.60,37.52
2026-04-21T11:32:00Z,57.60,38.27
2026-04-21T11:33:00Z,62.00,38.27
2026-04-21T11:34:00Z,59.07,40.02
2026-04-21T11:35:00Z,59.07,43.00
2026-04-21T11:36:00Z,59.90,38.90
2026-04-21T11:37:00Z,59.90,36.00
2026-04-21T11:38:00Z,61.00,38.71
2026-04-21T11:39:00Z,61.00,40.00
2026-04-21T11:41:00Z,64.89,40.00
2026-04-21T11:42:00Z,64.00,32.64
2026-04-21T11:43:00Z,65.13,36.05
2026-04-21T11:44:00Z,57.00,40.02
2026-04-21T11:45:00Z,59.91,40.02
2026-04-21T11:46:00Z,62.40,40.02
2026-04-21T11:47:00Z,64.04,35.17
2026-04-21T11:48:00Z,65.34,34.86
2026-04-21T11:49:00Z,64.00,38.10
2026-04-21T11:50:00Z,64.00,39.00
2026-04-21T11:51:00Z,59.94,43.00
2026-04-21T11:52:00Z,62.94,43.00
2026-04-21T11:53:00Z,63.88,40.51
2026-04-21T11:54:00Z,49.11,47.80
2026-04-21T11:55:00Z,60.20,36.48
2026-04-21T11:56:00Z,70.08,28.44
2026-04-21T11:57:00Z,79.06,23.26
2026-04-21T11:58:00Z,77.44,19.36
2026-04-21T11:59:00Z,85.82,16.01
2026-04-21T12:00:00Z,93.76,9.08
2026-04-21T12:01:00Z,97.88,1.42
2026-04-21T12:02:00Z,99.00,1.42
2026-04-21T12:03:00Z,99.00,1.00
2026-04-21T12:04:00Z,99.00,1.00
2026-04-21T12:05:00Z,99.00,1.00
2026-04-21T12:06:00Z,99.00,1.00
2026-04-21T12:07:00Z,99.00,1.00
