# event_ticker=KXATPCHALLENGERMATCH-26MAY04SINBEC
# final_score=7-5 6-3
# match_winner=Digvijaypratap Singh
# fav_player=Digvijay Pratap Singh
# dog_player=Dillon Beckles
# kalshi_date=2026-05-04
timestamp,Digvijay Pratap Singh,Dillon Beckles
2026-05-04T07:14:00Z,,17.00
2026-05-04T07:31:00Z,86.00,15.73
2026-05-04T07:39:00Z,90.00,13.00
2026-05-04T07:40:00Z,90.00,12.00
2026-05-04T08:19:00Z,90.00,11.00
2026-05-04T10:58:00Z,93.00,8.55
2026-05-04T11:10:00Z,93.00,10.00
2026-05-04T11:58:00Z,93.00,10.00
2026-05-04T13:33:00Z,93.00,10.00
2026-05-04T13:34:00Z,93.00,10.00
2026-05-04T13:45:00Z,93.00,10.00
2026-05-04T13:59:00Z,93.00,10.00
2026-05-04T14:07:00Z,93.00,11.00
2026-05-04T14:33:00Z,90.00,11.00
2026-05-04T14:35:00Z,90.00,11.00
2026-05-04T14:44:00Z,90.00,11.00
2026-05-04T14:59:00Z,90.00,11.00
2026-05-04T15:04:00Z,90.00,9.00
2026-05-04T15:06:00Z,90.00,11.00
2026-05-04T15:42:00Z,90.00,11.00
2026-05-04T16:08:00Z,90.00,12.40
2026-05-04T16:09:00Z,90.00,12.00
2026-05-04T16:12:00Z,90.00,12.00
2026-05-04T16:14:00Z,90.00,13.00
2026-05-04T16:25:00Z,90.00,13.00
2026-05-04T16:49:00Z,90.00,10.00
2026-05-04T16:59:00Z,92.00,9.00
2026-05-04T17:06:00Z,92.00,14.69
2026-05-04T17:08:00Z,92.00,14.00
2026-05-04T17:15:00Z,86.00,17.72
2026-05-04T17:18:00Z,86.00,15.06
2026-05-04T17:19:00Z,85.00,15.81
2026-05-04T17:20:00Z,84.00,17.36
2026-05-04T17:21:00Z,84.00,12.00
2026-05-04T17:22:00Z,89.00,10.00
2026-05-04T17:25:00Z,89.00,14.00
2026-05-04T17:27:00Z,89.00,14.00
2026-05-04T17:28:00Z,89.00,15.00
2026-05-04T17:30:00Z,89.00,15.89
2026-05-04T17:32:00Z,88.00,15.89
2026-05-04T17:38:00Z,88.00,15.89
2026-05-04T17:42:00Z,85.00,15.89
2026-05-04T17:43:00Z,85.00,16.00
2026-05-04T17:47:00Z,85.00,16.68
2026-05-04T17:56:00Z,85.00,15.00
2026-05-04T17:58:00Z,85.00,15.00
2026-05-04T18:00:00Z,85.00,14.00
2026-05-04T18:03:00Z,88.00,14.00
2026-05-04T18:04:00Z,88.00,14.00
2026-05-04T18:07:00Z,88.00,14.00
2026-05-04T18:09:00Z,88.00,14.00
2026-05-04T18:10:00Z,85.00,14.00
2026-05-04T18:11:00Z,85.00,12.01
2026-05-04T18:12:00Z,88.00,12.01
2026-05-04T18:13:00Z,88.00,12.01
2026-05-04T18:15:00Z,88.00,12.01
2026-05-04T18:16:00Z,88.00,12.01
2026-05-04T18:19:00Z,89.00,12.01
2026-05-04T18:24:00Z,89.00,14.00
2026-05-04T18:27:00Z,94.00,13.26
2026-05-04T18:29:00Z,94.00,13.49
2026-05-04T18:31:00Z,91.00,9.01
2026-05-04T18:33:00Z,91.00,13.00
2026-05-04T18:34:00Z,91.00,11.00
2026-05-04T18:35:00Z,89.00,11.03
2026-05-04T18:36:00Z,91.00,10.54
2026-05-04T18:37:00Z,90.74,9.07
2026-05-04T18:38:00Z,92.00,9.00
2026-05-04T18:39:00Z,92.00,9.00
2026-05-04T18:40:00Z,90.04,9.84
2026-05-04T18:41:00Z,90.00,10.01
2026-05-04T18:42:00Z,88.86,12.33
2026-05-04T18:43:00Z,86.46,11.04
2026-05-04T18:44:00Z,91.00,10.82
2026-05-04T18:45:00Z,89.68,11.00
2026-05-04T18:46:00Z,89.68,10.23
2026-05-04T18:47:00Z,90.57,9.32
2026-05-04T18:48:00Z,90.57,6.17
2026-05-04T18:49:00Z,92.06,8.20
2026-05-04T18:50:00Z,90.27,10.09
2026-05-04T18:51:00Z,90.27,11.00
2026-05-04T18:52:00Z,90.27,11.09
2026-05-04T18:53:00Z,90.00,11.00
2026-05-04T18:54:00Z,90.00,10.46
2026-05-04T18:55:00Z,87.36,10.91
2026-05-04T18:56:00Z,89.98,11.99
2026-05-04T18:57:00Z,89.98,11.02
2026-05-04T18:58:00Z,89.91,11.92
2026-05-04T18:59:00Z,89.91,11.96
2026-05-04T19:00:00Z,90.88,10.32
2026-05-04T19:01:00Z,89.00,11.44
2026-05-04T19:02:00Z,89.00,12.00
2026-05-04T19:03:00Z,89.00,12.00
2026-05-04T19:04:00Z,89.41,12.00
2026-05-04T19:05:00Z,90.00,12.00
2026-05-04T19:06:00Z,90.00,12.00
2026-05-04T19:07:00Z,90.10,10.64
2026-05-04T19:08:00Z,92.29,9.43
2026-05-04T19:09:00Z,91.88,11.43
2026-05-04T19:10:00Z,88.00,13.64
2026-05-04T19:11:00Z,88.00,13.00
2026-05-04T19:12:00Z,86.97,15.06
2026-05-04T19:13:00Z,88.40,12.85
2026-05-04T19:14:00Z,89.00,11.71
2026-05-04T19:15:00Z,89.00,12.00
2026-05-04T19:16:00Z,89.94,12.56
2026-05-04T19:17:00Z,91.81,9.61
2026-05-04T19:18:00Z,88.16,13.33
2026-05-04T19:19:00Z,85.20,15.41
2026-05-04T19:20:00Z,83.95,18.29
2026-05-04T19:21:00Z,84.93,15.19
2026-05-04T19:22:00Z,85.24,15.97
2026-05-04T19:23:00Z,87.00,13.80
2026-05-04T19:24:00Z,87.97,13.47
2026-05-04T19:25:00Z,91.05,10.42
2026-05-04T19:26:00Z,90.39,9.18
2026-05-04T19:27:00Z,94.80,7.36
2026-05-04T19:28:00Z,95.00,4.97
2026-05-04T19:29:00Z,95.66,5.00
2026-05-04T19:30:00Z,96.00,4.99
2026-05-04T19:31:00Z,95.99,4.76
2026-05-04T19:32:00Z,96.10,4.15
2026-05-04T19:33:00Z,94.66,5.50
