# event_ticker=KXATPMATCH-25JUL24DZUDRO
# final_score=3-6 7-5 6-2
# match_winner=Damir Dzumhur
# fav_player=Damir Dzumhur
# dog_player=Titouan Droguet
# kalshi_date=2025-07-24
timestamp,Damir Dzumhur,Titouan Droguet
2025-07-24T13:53:00Z,48.00,
2025-07-24T14:08:00Z,48.00,55.00
2025-07-24T15:01:00Z,48.00,53.00
2025-07-24T15:25:00Z,49.00,53.00
2025-07-24T15:40:00Z,49.00,53.00
2025-07-24T15:48:00Z,48.00,53.00
2025-07-24T15:49:00Z,48.00,53.04
2025-07-24T15:56:00Z,49.00,53.04
2025-07-24T18:04:00Z,49.00,51.00
2025-07-24T18:05:00Z,49.00,51.00
2025-07-24T18:08:00Z,49.00,51.00
2025-07-24T18:15:00Z,49.00,51.00
2025-07-24T18:20:00Z,49.00,51.00
2025-07-24T18:27:00Z,49.00,51.00
2025-07-24T18:28:00Z,52.00,51.00
2025-07-24T18:33:00Z,52.00,51.00
2025-07-24T18:39:00Z,52.00,51.00
2025-07-24T18:42:00Z,53.00,51.00
2025-07-24T18:47:00Z,52.00,51.00
2025-07-24T18:48:00Z,52.00,51.00
2025-07-24T18:49:00Z,52.00,52.00
2025-07-24T18:53:00Z,52.00,52.00
2025-07-24T18:54:00Z,52.00,52.00
2025-07-24T19:01:00Z,52.00,52.00
2025-07-24T19:04:00Z,52.00,52.00
2025-07-24T19:05:00Z,58.00,53.00
2025-07-24T19:06:00Z,55.37,53.00
2025-07-24T19:07:00Z,56.00,53.00
2025-07-24T19:09:00Z,53.37,53.00
2025-07-24T19:11:00Z,47.85,53.78
2025-07-24T19:12:00Z,50.69,53.78
2025-07-24T19:13:00Z,47.00,53.78
2025-07-24T19:15:00Z,47.00,57.96
2025-07-24T19:17:00Z,49.47,57.96
2025-07-24T19:18:00Z,51.00,53.00
2025-07-24T19:19:00Z,52.05,50.62
2025-07-24T19:21:00Z,53.00,50.62
2025-07-24T19:25:00Z,57.26,50.62
2025-07-24T19:26:00Z,57.04,50.00
2025-07-24T19:27:00Z,63.00,50.00
2025-07-24T19:30:00Z,63.00,54.87
2025-07-24T19:31:00Z,54.00,55.00
2025-07-24T19:32:00Z,52.00,55.00
2025-07-24T19:34:00Z,41.00,55.00
2025-07-24T19:35:00Z,42.40,66.00
2025-07-24T19:37:00Z,41.17,66.00
2025-07-24T19:38:00Z,42.14,65.00
2025-07-24T19:39:00Z,47.00,65.00
2025-07-24T19:43:00Z,48.00,65.00
2025-07-24T19:44:00Z,48.00,65.00
2025-07-24T19:47:00Z,41.00,62.00
2025-07-24T19:49:00Z,52.13,62.00
2025-07-24T19:50:00Z,51.00,57.50
2025-07-24T19:51:00Z,39.01,74.61
2025-07-24T19:52:00Z,34.00,69.00
2025-07-24T19:53:00Z,33.32,70.25
2025-07-24T19:54:00Z,31.96,76.00
2025-07-24T19:55:00Z,28.67,76.00
2025-07-24T19:56:00Z,36.71,76.00
2025-07-24T19:57:00Z,36.71,69.78
2025-07-24T19:58:00Z,35.83,69.78
2025-07-24T19:59:00Z,33.93,67.99
2025-07-24T20:00:00Z,34.34,68.65
2025-07-24T20:01:00Z,36.15,71.14
2025-07-24T20:02:00Z,36.15,68.00
2025-07-24T20:03:00Z,33.44,72.00
2025-07-24T20:04:00Z,31.22,73.00
2025-07-24T20:05:00Z,30.28,75.38
2025-07-24T20:06:00Z,27.95,77.61
2025-07-24T20:07:00Z,31.60,73.80
2025-07-24T20:08:00Z,34.53,70.77
2025-07-24T20:09:00Z,32.34,72.41
2025-07-24T20:10:00Z,37.25,67.00
2025-07-24T20:11:00Z,32.92,70.19
2025-07-24T20:12:00Z,30.11,73.98
2025-07-24T20:13:00Z,24.96,78.58
2025-07-24T20:14:00Z,28.83,73.50
2025-07-24T20:15:00Z,31.92,75.28
2025-07-24T20:16:00Z,40.17,69.93
2025-07-24T20:17:00Z,36.41,67.75
2025-07-24T20:18:00Z,35.14,68.28
2025-07-24T20:19:00Z,34.67,70.76
2025-07-24T20:20:00Z,34.67,74.07
2025-07-24T20:21:00Z,34.01,70.52
2025-07-24T20:22:00Z,34.76,73.75
2025-07-24T20:23:00Z,35.69,69.50
2025-07-24T20:24:00Z,35.53,67.49
2025-07-24T20:25:00Z,36.21,67.00
2025-07-24T20:26:00Z,36.77,66.19
2025-07-24T20:27:00Z,34.65,69.10
2025-07-24T20:28:00Z,32.00,71.33
2025-07-24T20:29:00Z,33.17,65.20
2025-07-24T20:30:00Z,37.50,74.54
2025-07-24T20:31:00Z,36.63,74.61
2025-07-24T20:32:00Z,41.61,66.00
2025-07-24T20:33:00Z,39.12,65.99
2025-07-24T20:34:00Z,53.77,59.81
2025-07-24T20:35:00Z,43.76,68.13
2025-07-24T20:36:00Z,29.73,72.08
2025-07-24T20:37:00Z,29.02,74.44
2025-07-24T20:38:00Z,33.28,72.03
2025-07-24T20:39:00Z,34.45,74.39
2025-07-24T20:40:00Z,32.00,74.39
