# event_ticker=KXATPMATCH-26APR15RINFON
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Joao Fonseca
# fav_player=Arthur Rinderknech
# dog_player=Joao Fonseca
# kalshi_date=2026-04-15
timestamp,Arthur Rinderknech,Joao Fonseca
2026-04-14T21:23:00Z,,73.00
2026-04-14T21:24:00Z,27.00,73.00
2026-04-14T21:26:00Z,27.00,73.00
2026-04-14T21:31:00Z,27.00,74.00
2026-04-14T21:35:00Z,27.00,74.00
2026-04-14T21:37:00Z,27.00,74.00
2026-04-14T21:41:00Z,27.00,73.00
2026-04-14T21:42:00Z,27.00,74.00
2026-04-14T21:44:00Z,27.00,74.00
2026-04-14T21:51:00Z,27.00,74.00
2026-04-14T21:52:00Z,27.00,74.00
2026-04-14T22:03:00Z,27.00,74.00
2026-04-14T22:05:00Z,27.00,74.00
2026-04-14T22:06:00Z,26.00,74.00
2026-04-14T22:07:00Z,26.00,74.00
2026-04-14T22:16:00Z,26.00,74.00
2026-04-14T22:22:00Z,26.00,74.00
2026-04-14T22:23:00Z,26.00,73.50
2026-04-14T22:26:00Z,26.00,74.00
2026-04-14T22:29:00Z,26.00,74.00
2026-04-14T22:30:00Z,26.00,74.00
2026-04-14T22:31:00Z,26.00,74.00
2026-04-14T22:33:00Z,26.00,74.00
2026-04-14T22:36:00Z,27.00,74.00
2026-04-14T22:47:00Z,27.00,74.00
2026-04-14T22:48:00Z,27.00,75.00
2026-04-14T22:57:00Z,27.00,75.00
2026-04-14T23:00:00Z,27.00,75.00
2026-04-14T23:01:00Z,27.00,75.00
2026-04-14T23:04:00Z,27.00,73.00
2026-04-14T23:11:00Z,27.00,75.00
2026-04-14T23:12:00Z,27.00,75.00
2026-04-14T23:31:00Z,27.00,75.00
2026-04-14T23:34:00Z,27.00,75.00
2026-04-14T23:36:00Z,27.00,75.00
2026-04-14T23:38:00Z,27.00,75.00
2026-04-14T23:39:00Z,27.00,73.00
2026-04-14T23:49:00Z,27.00,73.00
2026-04-14T23:51:00Z,25.25,73.00
2026-04-14T23:52:00Z,27.00,75.00
2026-04-15T00:00:00Z,27.00,75.00
2026-04-15T00:01:00Z,25.00,75.00
2026-04-15T00:08:00Z,25.00,75.00
2026-04-15T00:12:00Z,25.00,75.00
2026-04-15T00:13:00Z,25.00,73.00
2026-04-15T00:17:00Z,27.00,73.00
2026-04-15T00:18:00Z,27.00,73.00
2026-04-15T00:23:00Z,27.00,73.00
