# event_ticker=KXATPMATCH-26MAY12DARZVE
# final_score=1-6 7-6(10) 6-0
# score_resolution=6-1 6-7 0-6
# match_winner=Luciano Darderi
# fav_player=Alexander Zverev
# dog_player=Luciano Darderi
# kalshi_date=2026-05-12
timestamp,Luciano Darderi,Alexander Zverev
2026-05-12T00:32:00Z,,82.00
2026-05-12T00:33:00Z,,82.00
2026-05-12T00:35:00Z,,82.00
2026-05-12T00:43:00Z,,82.00
2026-05-12T00:49:00Z,,82.00
2026-05-12T00:55:00Z,,82.00
2026-05-12T00:57:00Z,19.00,82.00
2026-05-12T00:58:00Z,19.00,82.00
2026-05-12T00:59:00Z,18.00,82.00
2026-05-12T01:00:00Z,18.00,82.00
2026-05-12T01:01:00Z,18.00,82.00
2026-05-12T01:02:00Z,18.00,82.00
2026-05-12T01:03:00Z,19.00,82.00
2026-05-12T01:08:00Z,19.00,82.00
2026-05-12T01:14:00Z,19.00,81.00
2026-05-12T01:16:00Z,19.00,82.00
2026-05-12T01:18:00Z,19.00,82.00
2026-05-12T01:20:00Z,19.00,82.00
2026-05-12T01:26:00Z,19.00,82.00
2026-05-12T01:27:00Z,19.00,82.00
2026-05-12T01:29:00Z,19.00,82.00
2026-05-12T01:31:00Z,19.00,82.00
2026-05-12T01:32:00Z,19.00,82.00
2026-05-12T01:35:00Z,19.00,82.00
2026-05-12T01:36:00Z,19.00,82.00
2026-05-12T01:45:00Z,19.00,82.00
2026-05-12T01:49:00Z,19.00,82.00
2026-05-12T01:58:00Z,19.00,82.00
2026-05-12T02:05:00Z,19.00,82.00
2026-05-12T02:13:00Z,19.00,82.00
2026-05-12T02:16:00Z,19.00,82.00
2026-05-12T02:17:00Z,19.00,82.00
2026-05-12T02:21:00Z,19.00,82.00
2026-05-12T02:23:00Z,19.00,82.00
2026-05-12T02:24:00Z,19.00,82.00
2026-05-12T02:25:00Z,19.00,82.00
2026-05-12T02:34:00Z,19.00,82.00
2026-05-12T02:38:00Z,19.00,82.00
2026-05-12T02:39:00Z,19.00,81.00
2026-05-12T02:41:00Z,19.00,82.00
2026-05-12T02:42:00Z,19.00,82.00
2026-05-12T02:45:00Z,19.00,82.00
2026-05-12T02:47:00Z,19.00,82.00
2026-05-12T02:50:00Z,19.00,82.00
2026-05-12T02:53:00Z,19.00,82.00
2026-05-12T02:55:00Z,19.00,82.00
2026-05-12T02:56:00Z,19.00,82.00
2026-05-12T02:58:00Z,19.00,82.00
2026-05-12T03:00:00Z,19.00,82.00
2026-05-12T03:01:00Z,19.00,82.00
2026-05-12T03:04:00Z,19.00,82.00
2026-05-12T03:05:00Z,19.00,82.00
2026-05-12T03:06:00Z,19.00,82.00
2026-05-12T03:07:00Z,19.00,82.00
2026-05-12T03:14:00Z,19.00,82.00
2026-05-12T03:18:00Z,19.00,82.00
